"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7","microRNA 8","microRNA 9","microRNA 10","microRNA 11"
"ALDOA","0.00434","0.251","0.366","9","hsa-miR-6131","hsa-miR-4787-5p","hsa-miR-4419b","hsa-miR-125a-3p","hsa-miR-6869-5p","hsa-miR-1233-5p","hsa-miR-4481","hsa-miR-4687-5p","hsa-miR-6805-5p","",""
"GRK5","0.00421","0.251","0.0519","2","hsa-miR-1238-5p","hsa-miR-4481","","","","","","","","",""
"NFIC","0.00446","0.251","0.419","11","hsa-miR-6088","hsa-miR-4687-5p","hsa-miR-125a-3p","hsa-miR-1343-3p","hsa-miR-4481","hsa-miR-4532","hsa-miR-6805-5p","hsa-miR-6857-5p","hsa-miR-7110-5p","hsa-miR-92a-2-5p","hsa-miR-92b-5p"
"RHOB","0.00446","0.251","0.265","6","hsa-miR-3180","hsa-miR-4787-5p","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","",""
"SYNGR1","0.00442","0.251","0.222","5","hsa-miR-1228-5p","hsa-miR-3180","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-3184-5p","","","","","",""
"MSI1","0.00455","0.251","0.173","4","hsa-miR-6805-5p","hsa-miR-3180","hsa-miR-5572","hsa-miR-6857-5p","","","","","","",""
"MTA1","0.00498","0.270","0.177","4","hsa-miR-125a-3p","hsa-miR-92a-2-5p","hsa-miR-3184-5p","hsa-miR-3180","","","","","","",""
"NACC1","0.00530","0.273","0.428","11","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-1233-5p","hsa-miR-3180","hsa-miR-3184-5p","hsa-miR-4419b","hsa-miR-6131","hsa-miR-6802-5p","hsa-miR-6857-5p","hsa-miR-7110-5p","hsa-miR-92a-2-5p"
"SPECC1L","0.00519","0.273","0.121","3","hsa-miR-4706","hsa-miR-4734","hsa-miR-4787-5p","","","","","","","",""
"UNK","0.00523","0.273","0.274","6","hsa-miR-4481","hsa-miR-3180","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-3184-5p","hsa-miR-6784-5p","","","","",""
"MUL1","0.00583","0.295","0.0606","2","hsa-miR-3184-5p","hsa-miR-125a-3p","","","","","","","","",""
"NUBP1","0.00594","0.296","0.127","3","hsa-miR-4732-5p","hsa-miR-6131","hsa-miR-1203","","","","","","","",""
"DHTKD1","0.00611","0.300","0.239","5","hsa-miR-1228-5p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-125a-3p","hsa-miR-1343-3p","","","","","",""
"AKNA","0.00674","0.301","0.133","3","hsa-miR-575","hsa-miR-6746-5p","hsa-miR-4419b","","","","","","","",""
"EN1","0.00674","0.301","0.133","3","hsa-miR-128-1-5p","hsa-miR-6746-5p","hsa-miR-3184-5p","","","","","","","",""
"FSCN1","0.00640","0.301","0.286","6","hsa-miR-3180","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-6088","hsa-miR-6805-5p","","","","",""
"MLLT1","0.00683","0.301","0.361","8","hsa-miR-4675","hsa-miR-4706","hsa-miR-4481","hsa-miR-1233-5p","hsa-miR-4734","hsa-miR-6746-5p","hsa-miR-6857-5p","hsa-miR-92a-2-5p","","",""
"REPIN1","0.00649","0.301","0.242","5","hsa-miR-1233-5p","hsa-miR-6805-5p","hsa-miR-4787-3p","hsa-miR-3180","hsa-miR-575","","","","","",""
"SCAMP4","0.00668","0.301","0.326","7","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-1228-5p","hsa-miR-1343-3p","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","",""
"VPS18","0.00643","0.301","0.190","4","hsa-miR-3180","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-1307-3p","","","","","","",""
"DOT1L","0.00753","0.306","0.199","4","hsa-miR-1203","hsa-miR-128-1-5p","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","","","",""
"HIST1H2BO","0.00762","0.306","0.139","3","hsa-miR-92b-5p","hsa-miR-1238-5p","hsa-miR-4481","","","","","","","",""
"KCNK3","0.00753","0.306","0.199","4","hsa-miR-1233-5p","hsa-miR-7110-5p","hsa-miR-3180","hsa-miR-3184-5p","","","","","","",""
"LNX2","0.00762","0.306","0.139","3","hsa-miR-1233-5p","hsa-miR-4419b","hsa-miR-6746-5p","","","","","","","",""
"RAC3","0.00762","0.306","0.139","3","hsa-miR-6802-5p","hsa-miR-4258","hsa-miR-4687-5p","","","","","","","",""
"RPTN","0.00762","0.306","0.139","3","hsa-miR-5572","hsa-miR-3940-5p","hsa-miR-128-1-5p","","","","","","","",""
"TOR4A","0.00732","0.306","0.249","5","hsa-miR-128-1-5p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-3180","","","","","",""
"SBK1","0.00775","0.307","0.253","5","hsa-miR-3180","hsa-miR-3184-5p","hsa-miR-4706","hsa-miR-663a","hsa-miR-6787-5p","","","","","",""
