Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5
CHCHD3,0.06896551724137934,0.0115,0.415,0.0837,2,hsa-miR-4439,hsa-miR-6857-3p,,,
AKR7A2,0.06896551724137934,0.167,0.458,0.369,2,hsa-miR-4439,hsa-miR-6857-3p,,,
AKT1S1,0.06896551724137934,0.0413,0.458,0.164,2,hsa-miR-139-3p,hsa-miR-4749-5p,,,
ANKRD52,0.06896551724137934,0.177,0.458,0.384,2,hsa-miR-4462,hsa-miR-7846-3p,,,
ANP32B,0.06896551724137934,0.0709,0.458,0.222,2,hsa-miR-548h-5p,hsa-miR-6769b-5p,,,
ANP32E,0.06896551724137934,0.106,0.458,0.28,2,hsa-miR-6895-3p,hsa-miR-4647,,,
AP2M1,0.06896551724137934,0.0584,0.458,0.199,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
ASB6,0.06896551724137934,0.111,0.458,0.289,2,hsa-miR-4749-5p,hsa-miR-3178,,,
ATXN2,0.06896551724137934,0.0413,0.458,0.164,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
B4GALT5,0.06896551724137934,0.0374,0.458,0.156,2,hsa-miR-4472,hsa-miR-139-3p,,,
MOB1A,0.06896551724137934,0.0123,0.415,0.0866,2,hsa-miR-4439,hsa-miR-6857-3p,,,
TMEM54,0.06896551724137934,0.00933,0.405,0.075,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
LRTOMT,0.06896551724137934,0.044,0.458,0.17,2,hsa-miR-6769b-5p,hsa-miR-139-3p,,,
RFC5,0.06896551724137934,0.00502,0.332,0.0548,2,hsa-miR-4439,hsa-miR-6857-3p,,,
FBXL4,0.06896551724137934,0.00166,0.332,0.0317,2,hsa-miR-4439,hsa-miR-6857-3p,,,
FBXO33,0.06896551724137934,0.00234,0.332,0.0375,2,hsa-miR-4439,hsa-miR-6857-3p,,,
FKRP,0.06896551724137934,0.00556,0.332,0.0577,2,hsa-miR-4439,hsa-miR-6857-3p,,,
INO80B,0.06896551724137934,0.00272,0.332,0.0404,2,hsa-miR-4439,hsa-miR-6857-3p,,,
KAT6B,0.06896551724137934,0.00402,0.332,0.0491,2,hsa-miR-4439,hsa-miR-6857-3p,,,
KIAA0040,0.06896551724137934,0.00556,0.332,0.0577,2,hsa-miR-4439,hsa-miR-6857-3p,,,
MICALL1,0.06896551724137934,0.00451,0.332,0.0519,2,hsa-miR-4439,hsa-miR-6857-3p,,,
RBBP5,0.06896551724137934,0.00502,0.332,0.0548,2,hsa-miR-4439,hsa-miR-6857-3p,,,
RBX1,0.06896551724137934,0.00234,0.332,0.0375,2,hsa-miR-4439,hsa-miR-6857-3p,,,
SCRT1,0.06896551724137934,0.00402,0.332,0.0491,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
PDZD4,0.06896551724137934,0.0108,0.405,0.0808,2,hsa-miR-4749-5p,hsa-miR-6869-3p,,,
TULP1,0.06896551724137934,0.00502,0.332,0.0548,2,hsa-miR-3178,hsa-miR-4749-5p,,,
UPF3A,0.06896551724137934,0.00402,0.332,0.0491,2,hsa-miR-4439,hsa-miR-6857-3p,,,
SSX5,0.06896551724137934,0.00613,0.341,0.0606,2,hsa-miR-4439,hsa-miR-6857-3p,,,
F8A2,0.06896551724137934,0.00933,0.405,0.075,2,hsa-miR-4439,hsa-miR-6857-3p,,,
F8A3,0.06896551724137934,0.01,0.405,0.0779,2,hsa-miR-4439,hsa-miR-6857-3p,,,
FGF1,0.06896551724137934,0.00864,0.405,0.0721,2,hsa-miR-4439,hsa-miR-6857-3p,,,
FMO4,0.06896551724137934,0.0108,0.405,0.0808,2,hsa-miR-4439,hsa-miR-6857-3p,,,
GINS3,0.06896551724137934,0.0108,0.405,0.0808,2,hsa-miR-3155b,hsa-miR-6769b-5p,,,
HSPD1,0.06896551724137934,0.01,0.405,0.0779,2,hsa-miR-4439,hsa-miR-6857-3p,,,
BCAS4,0.06896551724137934,0.0984,0.458,0.268,2,hsa-miR-937-5p,hsa-miR-3155b,,,
BCL7A,0.06896551724137934,0.0645,0.458,0.211,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
BNC2,0.06896551724137934,0.0454,0.458,0.173,2,hsa-miR-4439,hsa-miR-6857-3p,,,
GPAT4,0.06896551724137934,0.107,0.458,0.283,2,hsa-miR-4472,hsa-miR-3178,,,
FAM126B,0.06896551724137934,0.194,0.458,0.407,2,hsa-miR-6857-3p,hsa-miR-4439,,,
FAM129B,0.06896551724137934,0.0966,0.458,0.265,2,hsa-miR-4439,hsa-miR-6857-3p,,,
FAM136A,0.06896551724137934,0.0214,0.458,0.115,2,hsa-miR-6769b-5p,hsa-miR-4647,,,
FLVCR1,0.06896551724137934,0.0895,0.458,0.254,2,hsa-miR-937-5p,hsa-miR-4439,,,
FSTL4,0.06896551724137934,0.0224,0.458,0.118,2,hsa-miR-4472,hsa-miR-4647,,,
GATAD2A,0.06896551724137934,0.117,0.458,0.297,2,hsa-miR-4472,hsa-miR-4749-5p,,,
GDI1,0.06896551724137934,0.044,0.458,0.17,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
GOLGA8A,0.06896551724137934,0.0234,0.458,0.121,2,hsa-miR-4439,hsa-miR-6857-3p,,,
GOLGA8B,0.06896551724137934,0.0374,0.458,0.156,2,hsa-miR-4439,hsa-miR-6857-3p,,,
GRB2,0.06896551724137934,0.104,0.458,0.277,2,hsa-miR-4749-5p,hsa-miR-3155b,,,
BRPF1,0.06896551724137934,0.0175,0.458,0.104,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
HIST1H2AH,0.06896551724137934,0.063,0.458,0.208,2,hsa-miR-139-3p,hsa-miR-6869-3p,,,
ICOSLG,0.06896551724137934,0.148,0.458,0.343,2,hsa-miR-937-5p,hsa-miR-6895-3p,,,
IL17REL,0.06896551724137934,0.0278,0.458,0.133,2,hsa-miR-4439,hsa-miR-6857-3p,,,
IL2RA,0.06896551724137934,0.0325,0.458,0.144,2,hsa-miR-4439,hsa-miR-6857-3p,,,
KIAA1456,0.06896551724137934,0.181,0.458,0.39,2,hsa-miR-4472,hsa-miR-3178,,,
KLHL12,0.06896551724137934,0.04,0.458,0.162,2,hsa-miR-4472,hsa-miR-6895-3p,,,
KREMEN1,0.06896551724137934,0.192,0.458,0.404,2,hsa-miR-4439,hsa-miR-6857-3p,,,
LETMD1,0.06896551724137934,0.0267,0.458,0.13,2,hsa-miR-4647,hsa-miR-6869-3p,,,
LPP,0.06896551724137934,0.16,0.458,0.361,2,hsa-miR-4647,hsa-miR-7846-3p,,,
ELP2,0.06896551724137934,0.0758,0.458,0.231,2,hsa-miR-3178,hsa-miR-3155b,,,
ELFN2,0.06896551724137934,0.106,0.458,0.28,2,hsa-miR-4439,hsa-miR-6857-3p,,,
EIF4EBP2,0.06896551724137934,0.0725,0.458,0.225,2,hsa-miR-4439,hsa-miR-6857-3p,,,
EBNA1BP2,0.06896551724137934,0.107,0.458,0.283,2,hsa-miR-6895-3p,hsa-miR-548h-5p,,,
C10orf76,0.06896551724137934,0.0725,0.458,0.225,2,hsa-miR-6769b-5p,hsa-miR-7846-3p,,,
C12orf49,0.06896551724137934,0.15,0.458,0.346,2,hsa-miR-3155b,hsa-miR-4749-5p,,,
C6orf223,0.06896551724137934,0.0325,0.458,0.144,2,hsa-miR-6869-3p,hsa-miR-6769b-5p,,,
CADM2,0.06896551724137934,0.0539,0.458,0.19,2,hsa-miR-4439,hsa-miR-6857-3p,,,
CALR,0.06896551724137934,0.136,0.458,0.326,2,hsa-miR-4472,hsa-miR-4749-5p,,,
CD276,0.06896551724137934,0.0204,0.458,0.113,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
CDC37,0.06896551724137934,0.0214,0.458,0.115,2,hsa-miR-139-3p,hsa-miR-3178,,,
CDK9,0.06896551724137934,0.0374,0.458,0.156,2,hsa-miR-6895-3p,hsa-miR-7846-3p,,,
CELSR3,0.06896551724137934,0.0614,0.458,0.205,2,hsa-miR-548h-5p,hsa-miR-6769b-5p,,,
CHAC1,0.06896551724137934,0.146,0.458,0.341,2,hsa-miR-4472,hsa-miR-6857-3p,,,
CHERP,0.06896551724137934,0.0984,0.458,0.268,2,hsa-miR-4749-5p,hsa-miR-6769b-5p,,,
CMTM4,0.06896551724137934,0.0413,0.458,0.164,2,hsa-miR-4439,hsa-miR-6857-3p,,,
CMTM6,0.06896551724137934,0.0362,0.458,0.153,2,hsa-miR-4439,hsa-miR-6857-3p,,,
CREB3L2,0.06896551724137934,0.0599,0.458,0.202,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
CYP4F11,0.06896551724137934,0.0194,0.458,0.11,2,hsa-miR-4439,hsa-miR-6857-3p,,,
DBN1,0.06896551724137934,0.044,0.458,0.17,2,hsa-miR-4439,hsa-miR-6857-3p,,,
DCP2,0.06896551724137934,0.0468,0.458,0.176,2,hsa-miR-4439,hsa-miR-6857-3p,,,
DDX39B,0.06896551724137934,0.0482,0.458,0.179,2,hsa-miR-4472,hsa-miR-4647,,,
DISC1,0.06896551724137934,0.0289,0.458,0.136,2,hsa-miR-4749-5p,hsa-miR-6895-3p,,,
NACC1,0.06896551724137934,0.476,0.531,0.785,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
