"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6"
"DCTN5","0.236","0.639","0.562","3","hsa-miR-516b-3p","hsa-miR-512-3p","hsa-miR-520b","","",""
"DCTN6","0.366","0.639","0.636","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"DDI2","0.0226","0.639","0.276","4","hsa-miR-506-3p","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-199b-5p","",""
"DDR2","0.175","0.639","0.379","2","hsa-miR-520b","hsa-miR-548ar-3p","","","",""
"DDX19B","0.324","0.639","0.580","2","hsa-miR-199b-5p","hsa-miR-490-3p","","","",""
"DDX21","0.0819","0.639","0.240","2","hsa-miR-580-5p","hsa-miR-548ar-3p","","","",""
"DDX3X","0.142","0.639","0.439","3","hsa-miR-548l","hsa-miR-548ar-3p","hsa-miR-199b-5p","","",""
"DDX52","0.136","0.639","0.324","2","hsa-miR-506-3p","hsa-miR-498","","","",""
"DFFA","0.0893","0.639","0.357","3","hsa-miR-490-3p","hsa-miR-2276-3p","hsa-miR-498","","",""
"DGKH","0.113","0.639","0.290","2","hsa-miR-568","hsa-miR-1207-3p","","","",""
"DIRAS1","0.0431","0.639","0.167","2","hsa-miR-491-5p","hsa-miR-27a-5p","","","",""
"DIS3L","0.136","0.639","0.324","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"DNAAF3","0.0819","0.639","0.240","2","hsa-miR-1302","hsa-miR-516b-3p","","","",""
"DNAJB13","0.0291","0.639","0.227","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-1208","","",""
"DNAJB14","0.0154","0.639","0.179","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-548ar-3p","","",""
"DNAJB4","0.103","0.639","0.379","3","hsa-miR-1255a","hsa-miR-512-3p","hsa-miR-520b","","",""
"DNAJC10","0.379","0.639","0.733","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-4680-5p","","",""
"DNAJC24","0.0599","0.639","0.201","2","hsa-miR-1255a","hsa-miR-490-3p","","","",""
"DNAJC28","0.366","0.639","0.636","2","hsa-miR-2276-3p","hsa-miR-1207-3p","","","",""
"DNAL1","0.0364","0.639","0.377","5","hsa-miR-1302","hsa-miR-580-5p","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-5583-3p",""
"DOT1L","0.0920","0.639","0.257","2","hsa-miR-1208","hsa-miR-452-5p","","","",""
"DPP9","0.106","0.639","0.279","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"DPYSL2","0.121","0.639","0.301","2","hsa-miR-452-5p","hsa-miR-520b","","","",""
"DRAXIN","0.216","0.639","0.435","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"DUSP2","0.187","0.639","0.396","2","hsa-miR-568","hsa-miR-520b","","","",""
"E2F3","0.186","0.639","0.498","3","hsa-miR-4715-3p","hsa-miR-5583-3p","hsa-miR-199b-5p","","",""
"ECE1","0.249","0.639","0.480","2","hsa-miR-491-5p","hsa-miR-198","","","",""
"EFCAB11","0.0493","0.639","0.279","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-1208","","",""
"EFCAB14","0.00689","0.639","0.195","4","hsa-miR-506-3p","hsa-miR-498","hsa-miR-4424","hsa-miR-548l","",""
"EGFR","0.00936","0.639","0.149","3","hsa-miR-491-5p","hsa-miR-27a-5p","hsa-miR-520b","","",""
"EI24","0.0380","0.639","0.156","2","hsa-miR-1302","hsa-miR-490-3p","","","",""
"EIF1AX","0.370","0.639","0.642","2","hsa-miR-568","hsa-miR-580-5p","","","",""
"EIF2B2","0.159","0.639","0.357","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"EIF5","0.113","0.639","0.290","2","hsa-miR-568","hsa-miR-1302","","","",""
"EIF5A","0.0955","0.639","0.262","2","hsa-miR-1255a","hsa-miR-491-5p","","","",""
"EIF5AL1","0.370","0.639","0.642","2","hsa-miR-491-5p","hsa-miR-1255a","","","",""
"ELAVL2","0.167","0.639","0.368","2","hsa-miR-520b","hsa-miR-548l","","","",""
"ELK4","0.316","0.639","0.569","2","hsa-miR-498","hsa-miR-520b","","","",""
"ELOC","0.0201","0.639","0.197","3","hsa-miR-4424","hsa-miR-512-3p","hsa-miR-520b","","",""
"EMC1","0.187","0.639","0.396","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"ENPP5","0.366","0.639","0.636","2","hsa-miR-548l","hsa-miR-516b-3p","","","",""
"ENTHD1","0.171","0.639","0.374","2","hsa-miR-2276-3p","hsa-miR-516b-3p","","","",""
"ENTPD4","0.0400","0.639","0.257","3","hsa-miR-548ar-3p","hsa-miR-520b","hsa-miR-1207-3p","","",""
"EPHA4","0.199","0.639","0.413","2","hsa-miR-1255a","hsa-miR-498","","","",""
"EPM2AIP1","0.155","0.639","0.351","2","hsa-miR-1208","hsa-miR-452-5p","","","",""
"ERBB2","0.195","0.639","0.407","2","hsa-miR-199b-5p","hsa-miR-498","","","",""
"ERGIC1","0.270","0.639","0.508","2","hsa-miR-2276-3p","hsa-miR-1302","","","",""
"ERN1","0.106","0.639","0.279","2","hsa-miR-490-3p","hsa-miR-4680-5p","","","",""
"ESF1","0.124","0.639","0.307","2","hsa-miR-1208","hsa-miR-490-3p","","","",""
"ESR2","0.147","0.639","0.340","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"ESYT1","0.0477","0.639","0.275","3","hsa-miR-548ar-3p","hsa-miR-548l","hsa-miR-491-5p","","",""
"ETNK1","0.262","0.639","0.497","2","hsa-miR-548l","hsa-miR-520b","","","",""
"ETS1","0.136","0.639","0.324","2","hsa-miR-2276-3p","hsa-miR-506-3p","","","",""
"ETV3","0.287","0.639","0.530","2","hsa-miR-568","hsa-miR-548l","","","",""
"EXO5","0.0233","0.639","0.208","3","hsa-miR-520b","hsa-miR-548l","hsa-miR-1208","","",""
"F2RL1","0.245","0.639","0.474","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"F2RL3","0.0415","0.639","0.260","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-498","","",""
"FAAP24","0.128","0.639","0.312","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"FAHD1","0.00731","0.639","0.252","5","hsa-miR-1302","hsa-miR-4424","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-490-3p",""
"FAM160B1","0.00559","0.639","0.184","4","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-1207-3p","hsa-miR-548ar-3p","",""
"FAM213A","0.147","0.639","0.340","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"FAM227A","0.0129","0.639","0.167","3","hsa-miR-516b-3p","hsa-miR-498","hsa-miR-198","","",""
"FAM241A","0.307","0.639","0.647","3","hsa-miR-1255a","hsa-miR-490-3p","hsa-miR-520b","","",""
"FAM89A","0.132","0.639","0.318","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"FANCA","0.0279","0.639","0.223","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-2276-3p","","",""
"FBXL2","0.124","0.639","0.307","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"FEM1A","0.249","0.639","0.639","4","hsa-miR-4424","hsa-miR-491-5p","hsa-miR-520b","hsa-miR-2276-3p","",""
"FEM1C","0.0338","0.639","0.312","4","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-548l","hsa-miR-548ar-3p","",""
"FHDC1","0.0886","0.639","0.251","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"FIBCD1","0.102","0.639","0.273","2","hsa-miR-491-5p","hsa-miR-4285","","","",""
"FKBP14","0.117","0.639","0.402","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-4680-5p","","",""
"FOXK1","0.0618","0.639","0.482","6","hsa-miR-548l","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-198","hsa-miR-4285","hsa-miR-490-3p"
"FOXP4","0.132","0.639","0.318","2","hsa-miR-1255a","hsa-miR-490-3p","","","",""
"FOXRED2","0.207","0.639","0.424","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"FSTL1","0.0660","0.639","0.212","2","hsa-miR-198","hsa-miR-1208","","","",""
"FTSJ3","0.0513","0.639","0.184","2","hsa-miR-491-5p","hsa-miR-27a-5p","","","",""
"FUT11","0.333","0.639","0.591","2","hsa-miR-1207-3p","hsa-miR-498","","","",""
"FXN","0.124","0.639","0.413","3","hsa-miR-506-3p","hsa-miR-4680-5p","hsa-miR-8056","","",""
"FXYD5","0.0691","0.639","0.218","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"GABPB1","0.269","0.639","0.603","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-4680-5p","","",""
"GALNT3","0.0920","0.639","0.257","2","hsa-miR-520b","hsa-miR-512-3p","","","",""
"GATAD1","0.0850","0.639","0.350","3","hsa-miR-4680-5p","hsa-miR-512-3p","hsa-miR-520b","","",""
"GCNT3","0.113","0.639","0.290","2","hsa-miR-490-3p","hsa-miR-520b","","","",""
"GDF5OS","0.147","0.639","0.340","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"GEMIN6","0.117","0.639","0.296","2","hsa-miR-548l","hsa-miR-2276-3p","","","",""
"GEMIN8","0.0405","0.639","0.162","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"GIGYF1","0.305","0.639","0.700","4","hsa-miR-4424","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-4715-3p","",""
"GJD3","0.0551","0.639","0.365","4","hsa-miR-580-5p","hsa-miR-548ar-3p","hsa-miR-498","hsa-miR-512-3p","",""
"GK5","0.215","0.639","0.536","3","hsa-miR-498","hsa-miR-1207-3p","hsa-miR-512-3p","","",""
"GNB5","0.106","0.639","0.279","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"GNG12","0.132","0.639","0.318","2","hsa-miR-580-5p","hsa-miR-548l","","","",""
"GNL3L","0.320","0.639","0.575","2","hsa-miR-1302","hsa-miR-506-3p","","","",""
"GOLGA2","0.00328","0.639","0.159","4","hsa-miR-4715-3p","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-498","",""
"GOSR1","0.278","0.639","0.519","2","hsa-miR-198","hsa-miR-491-5p","","","",""
"GOT1","0.0355","0.639","0.151","2","hsa-miR-452-5p","hsa-miR-548ar-3p","","","",""
"GPR137B","0.121","0.639","0.301","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"GPR155","0.0850","0.639","0.350","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-498","","",""
"GPRIN3","0.0560","0.639","0.294","3","hsa-miR-1207-3p","hsa-miR-512-3p","hsa-miR-520b","","",""
"GRAMD1C","0.00412","0.639","0.0502","2","hsa-miR-4424","hsa-miR-548ar-3p","","","",""
"GRB10","0.106","0.639","0.279","2","hsa-miR-199b-5p","hsa-miR-520b","","","",""
"GRK7","0.0380","0.639","0.156","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"GTF2H3","0.106","0.639","0.279","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"GTF2IRD2","0.0886","0.639","0.251","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"GTF2IRD2B","0.0570","0.639","0.195","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"GTF3C6","0.183","0.639","0.391","2","hsa-miR-4680-5p","hsa-miR-498","","","",""
"GXYLT1","0.0385","0.639","0.253","3","hsa-miR-516b-3p","hsa-miR-568","hsa-miR-506-3p","","",""
"HACE1","0.228","0.639","0.452","2","hsa-miR-452-5p","hsa-miR-4424","","","",""
"HARBI1","0.0485","0.639","0.179","2","hsa-miR-4680-5p","hsa-miR-490-3p","","","",""
"HAS2","0.191","0.639","0.402","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"HES2","0.0920","0.639","0.257","2","hsa-miR-490-3p","hsa-miR-4680-5p","","","",""
"HEYL","0.236","0.639","0.463","2","hsa-miR-2276-3p","hsa-miR-452-5p","","","",""
"HIC2","0.0761","0.639","0.407","4","hsa-miR-4680-5p","hsa-miR-2276-3p","hsa-miR-1255a","hsa-miR-491-5p","",""
"HIP1","0.199","0.639","0.413","2","hsa-miR-520b","hsa-miR-512-3p","","","",""
"HIST1H2BD","0.358","0.639","0.625","2","hsa-miR-490-3p","hsa-miR-516b-3p","","","",""
"HIST1H2BG","0.159","0.639","0.357","2","hsa-miR-520b","hsa-miR-548ar-3p","","","",""
"HIST1H2BJ","0.0461","0.639","0.272","3","hsa-miR-498","hsa-miR-512-3p","hsa-miR-520b","","",""
"HMGA2","0.163","0.639","0.469","3","hsa-miR-491-5p","hsa-miR-490-3p","hsa-miR-548ar-3p","","",""
"HMGB1","0.119","0.639","0.477","4","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-4424","hsa-miR-548ar-3p","",""
"HNRNPA1L2","0.232","0.639","0.457","2","hsa-miR-4715-3p","hsa-miR-490-3p","","","",""
"HNRNPF","0.270","0.639","0.508","2","hsa-miR-580-5p","hsa-miR-516b-3p","","","",""
"HOOK3","0.335","0.639","0.681","3","hsa-miR-520b","hsa-miR-512-3p","hsa-miR-452-5p","","",""
"HOXC8","0.287","0.639","0.530","2","hsa-miR-498","hsa-miR-518b","","","",""
"HS3ST1","0.0431","0.639","0.338","4","hsa-miR-4680-5p","hsa-miR-548ar-3p","hsa-miR-512-3p","hsa-miR-520b","",""
"HSPA13","0.163","0.639","0.363","2","hsa-miR-5583-3p","hsa-miR-520b","","","",""
"HSPA4L","0.0181","0.639","0.315","5","hsa-miR-1208","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-4680-5p","hsa-miR-516b-3p",""
"HSPE1-MOB4","0.0689","0.639","0.320","3","hsa-miR-580-5p","hsa-miR-512-3p","hsa-miR-498","","",""
"HYPK","0.0461","0.639","0.272","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-498","","",""
"ICA1L","0.0130","0.639","0.234","4","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-2276-3p","hsa-miR-4715-3p","",""
"ICMT","0.163","0.639","0.363","2","hsa-miR-506-3p","hsa-miR-520b","","","",""
"ICOSLG","0.386","0.639","0.664","2","hsa-miR-491-5p","hsa-miR-490-3p","","","",""
"IDE","0.106","0.639","0.279","2","hsa-miR-2276-3p","hsa-miR-4680-5p","","","",""
"IFNAR2","0.119","0.639","0.405","3","hsa-miR-516b-3p","hsa-miR-520b","hsa-miR-506-3p","","",""
"IGF2BP1","0.278","0.639","0.519","2","hsa-miR-548ar-3p","hsa-miR-491-5p","","","",""
"IGFBP4","0.124","0.639","0.307","2","hsa-miR-8056","hsa-miR-491-5p","","","",""
"IL6ST","0.291","0.639","0.536","2","hsa-miR-512-3p","hsa-miR-548l","","","",""
"IPP","0.110","0.639","0.391","3","hsa-miR-1207-3p","hsa-miR-520b","hsa-miR-498","","",""
"IRAK4","0.0543","0.639","0.290","3","hsa-miR-490-3p","hsa-miR-512-3p","hsa-miR-520b","","",""
"ISCA2","0.0330","0.639","0.238","3","hsa-miR-4715-3p","hsa-miR-512-3p","hsa-miR-520b","","",""
"ISY1","0.0509","0.639","0.283","3","hsa-miR-1302","hsa-miR-512-3p","hsa-miR-520b","","",""
"ITGA2","0.337","0.639","0.597","2","hsa-miR-1255a","hsa-miR-520b","","","",""
"ITGA3","0.312","0.639","0.563","2","hsa-miR-199b-5p","hsa-miR-1255a","","","",""
"ITPRIPL2","0.262","0.639","0.497","2","hsa-miR-4680-5p","hsa-miR-4715-3p","","","",""
"IVD","0.0722","0.639","0.223","2","hsa-miR-1208","hsa-miR-4680-5p","","","",""
