"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6"
"LACTB","0.0172","0.530","0.186","3","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-4680-5p","","",""
"LCTL","0.0115","0.530","0.0837","2","hsa-miR-498","hsa-miR-4722-3p","","","",""
"LRRC58","0.0200","0.530","0.370","6","hsa-miR-5583-3p","hsa-miR-4802-3p","hsa-miR-124-5p","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-512-3p"
"MRE11","0.0120","0.530","0.229","4","hsa-miR-498","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-3124-3p","",""
"MSRB2","0.0212","0.530","0.201","3","hsa-miR-512-3p","hsa-miR-4722-3p","hsa-miR-498","","",""
"NMNAT2","0.0182","0.530","0.190","3","hsa-miR-1255a","hsa-miR-6717-5p","hsa-miR-8072","","",""
"PAWR","0.0222","0.530","0.205","3","hsa-miR-4680-5p","hsa-miR-548l","hsa-miR-124-5p","","",""
"PCCB","0.0184","0.530","0.259","4","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-490-3p","",""
"PCYT2","0.0165","0.530","0.100","2","hsa-miR-8072","hsa-miR-4285","","","",""
"PIAS2","0.0163","0.530","0.182","3","hsa-miR-498","hsa-miR-4722-3p","hsa-miR-6829-3p","","",""
"PIK3CB","0.0115","0.530","0.0837","2","hsa-miR-1207-3p","hsa-miR-3124-3p","","","",""
"PLXNA3","0.0105","0.530","0.220","4","hsa-miR-1207-3p","hsa-miR-3124-3p","hsa-miR-196a-3p","hsa-miR-490-3p","",""
"PRC1","0.0147","0.530","0.0948","2","hsa-miR-2277-3p","hsa-miR-512-3p","","","",""
"RAB6B","0.0221","0.530","0.117","2","hsa-miR-1254","hsa-miR-3140-5p","","","",""
"REEP2","0.0183","0.530","0.106","2","hsa-miR-6829-3p","hsa-miR-1207-3p","","","",""
"RFC2","0.0136","0.530","0.237","4","hsa-miR-106a-3p","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-6829-3p","",""
"RSPH3","0.0165","0.530","0.100","2","hsa-miR-498","hsa-miR-124-5p","","","",""
"SAMD8","0.0108","0.530","0.277","5","hsa-miR-548l","hsa-miR-6829-3p","hsa-miR-512-3p","hsa-miR-3973","hsa-miR-4722-3p",""
"SIGLEC9","0.0165","0.530","0.251","4","hsa-miR-4722-3p","hsa-miR-196a-3p","hsa-miR-106a-3p","hsa-miR-498","",""
"SIRPB2","0.0115","0.530","0.0837","2","hsa-miR-4680-5p","hsa-miR-3140-5p","","","",""
"SLC28A2","0.0165","0.530","0.100","2","hsa-miR-106a-3p","hsa-miR-4722-3p","","","",""
"SLC7A14","0.0137","0.530","0.171","3","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-106a-3p","","",""
"SLC9A3","0.0147","0.530","0.0948","2","hsa-miR-8072","hsa-miR-2277-3p","","","",""
"SNX20","0.0101","0.530","0.0781","2","hsa-miR-1254","hsa-miR-1207-3p","","","",""
"TACR2","0.0165","0.530","0.100","2","hsa-miR-1254","hsa-miR-4722-3p","","","",""
"TMED7","0.0222","0.530","0.205","3","hsa-miR-451a","hsa-miR-498","hsa-miR-4680-5p","","",""
"TMEM59","0.0153","0.530","0.245","4","hsa-miR-3140-5p","hsa-miR-1254","hsa-miR-4281","hsa-miR-490-3p","",""
"TOP3A","0.0131","0.530","0.0893","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"UGGT2","0.0202","0.530","0.112","2","hsa-miR-4722-3p","hsa-miR-6829-3p","","","",""
"ZNF517","0.0165","0.530","0.100","2","hsa-miR-6829-3p","hsa-miR-4680-5p","","","",""
"ZNF554","0.0136","0.530","0.237","4","hsa-miR-1208","hsa-miR-3973","hsa-miR-490-3p","hsa-miR-4722-3p","",""
"ZNF786","0.0115","0.530","0.226","4","hsa-miR-6829-3p","hsa-miR-498","hsa-miR-4722-3p","hsa-miR-512-3p","",""
"C1orf220","0.0242","0.531","0.123","2","hsa-miR-512-3p","hsa-miR-4722-3p","","","",""
"EXO5","0.0233","0.531","0.208","3","hsa-miR-3973","hsa-miR-548l","hsa-miR-1208","","",""
"FIG4","0.0244","0.531","0.212","3","hsa-miR-106a-3p","hsa-miR-498","hsa-miR-4722-3p","","",""
"FLYWCH2","0.0233","0.531","0.208","3","hsa-miR-106a-3p","hsa-miR-3124-3p","hsa-miR-6829-3p","","",""
