"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7"
"C17orf105","0.281","0.592","0.523","2","hsa-miR-371b-5p","hsa-miR-7703","","","","",""
"C17orf58","0.132","0.592","0.140","1","hsa-miR-5585-3p","","","","","",""
"C17orf82","0.0630","0.592","0.0646","1","hsa-miR-6802-3p","","","","","",""
"C1orf106","0.187","0.592","0.205","1","hsa-miR-6847-3p","","","","","",""
"C1orf158","0.187","0.592","0.205","1","hsa-miR-6829-3p","","","","","",""
"C1orf220","0.213","0.592","0.237","1","hsa-miR-4722-3p","","","","","",""
"C1orf229","0.00811","0.592","0.0700","2","hsa-miR-6722-3p","hsa-miR-134-3p","","","","",""
"C1orf35","0.221","0.592","0.248","1","hsa-miR-7703","","","","","",""
"C1orf56","0.0246","0.592","0.124","2","hsa-miR-7151-5p","hsa-miR-660-5p","","","","",""
"C20orf144","0.310","0.592","0.366","1","hsa-miR-6829-3p","","","","","",""
"C20orf27","0.221","0.592","0.248","1","hsa-miR-7854-3p","","","","","",""
"C21orf59","0.230","0.592","0.259","1","hsa-miR-4722-3p","","","","","",""
"C2CD2L","0.246","0.592","0.280","1","hsa-miR-6829-3p","","","","","",""
"C2CD4B","0.103","0.592","0.108","1","hsa-miR-660-5p","","","","","",""
"C2orf68","0.160","0.592","0.172","1","hsa-miR-5587-5p","","","","","",""
"C2orf69","0.238","0.592","0.269","1","hsa-miR-449c-3p","","","","","",""
"C3orf36","0.158","0.592","0.356","2","hsa-miR-4282","hsa-miR-4749-5p","","","","",""
"C3orf38","0.230","0.592","0.259","1","hsa-miR-4524b-5p","","","","","",""
"C3orf62","0.0771","0.592","0.232","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"C3orf70","0.160","0.592","0.172","1","hsa-miR-7703","","","","","",""
"C5AR2","0.0899","0.592","0.253","2","hsa-miR-7703","hsa-miR-371b-5p","","","","",""
"C5orf38","0.141","0.592","0.151","1","hsa-miR-6769b-5p","","","","","",""
"C6orf120","0.317","0.592","0.377","1","hsa-miR-5585-3p","","","","","",""
"C6orf47","0.187","0.592","0.205","1","hsa-miR-4722-3p","","","","","",""
"C6orf89","0.279","0.592","0.323","1","hsa-miR-6802-3p","","","","","",""
"C7orf65","0.178","0.592","0.194","1","hsa-miR-6829-3p","","","","","",""
