"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7"
"SKI","0.0216","0.592","0.377","6","hsa-miR-4524b-5p","hsa-miR-6722-3p","hsa-miR-4282","hsa-miR-371b-5p","hsa-miR-1227-5p","hsa-miR-4741",""
"SKP1","0.246","0.592","0.280","1","hsa-miR-4282","","","","","",""
"SLAMF1","0.0189","0.592","0.108","2","hsa-miR-6802-3p","hsa-miR-412-3p","","","","",""
"SLC10A6","0.326","0.592","0.582","2","hsa-miR-6829-3p","hsa-miR-1253","","","","",""
"SLC10A7","0.158","0.592","0.356","2","hsa-miR-4749-5p","hsa-miR-4282","","","","",""
"SLC12A5","0.339","0.592","0.409","1","hsa-miR-7703","","","","","",""
"SLC13A4","0.113","0.592","0.119","1","hsa-miR-7854-3p","","","","","",""
"SLC16A13","0.246","0.592","0.280","1","hsa-miR-1229-3p","","","","","",""
"SLC16A3","0.287","0.592","0.334","1","hsa-miR-4722-3p","","","","","",""
"SLC16A6","0.230","0.592","0.259","1","hsa-miR-4282","","","","","",""
"SLC1A5","0.288","0.592","0.625","3","hsa-miR-3130-3p","hsa-miR-4722-3p","hsa-miR-6847-3p","","","",""
"SLC22A9","0.113","0.592","0.119","1","hsa-miR-6829-3p","","","","","",""
"SLC23A1","0.279","0.592","0.323","1","hsa-miR-6829-3p","","","","","",""
"SLC24A4","0.330","0.592","0.587","2","hsa-miR-371b-5p","hsa-miR-7703","","","","",""
"SLC25A15","0.287","0.592","0.334","1","hsa-miR-4722-3p","","","","","",""
"SLC25A22","0.0834","0.592","0.242","2","hsa-miR-1227-5p","hsa-miR-6722-3p","","","","",""
"SLC25A23","0.230","0.592","0.259","1","hsa-miR-6722-3p","","","","","",""
"SLC25A33","0.314","0.592","0.566","2","hsa-miR-134-3p","hsa-miR-4722-3p","","","","",""
"SLC25A45","0.241","0.592","0.469","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"SLC26A2","0.146","0.592","0.339","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"SLC28A1","0.241","0.592","0.469","2","hsa-miR-371b-5p","hsa-miR-3130-3p","","","","",""
"SLC28A2","0.178","0.592","0.194","1","hsa-miR-4722-3p","","","","","",""
"SLC2A3","0.0899","0.592","0.253","2","hsa-miR-6847-3p","hsa-miR-4524b-5p","","","","",""
"SLC2A8","0.294","0.592","0.345","1","hsa-miR-4741","","","","","",""
"SLC35B3","0.339","0.592","0.409","1","hsa-miR-6829-3p","","","","","",""
"SLC35E1","0.128","0.592","0.312","2","hsa-miR-7703","hsa-miR-6829-3p","","","","",""
"SLC35E2","0.314","0.592","0.566","2","hsa-miR-371b-5p","hsa-miR-7703","","","","",""
"SLC38A4","0.160","0.592","0.172","1","hsa-miR-6722-3p","","","","","",""
"SLC38A5","0.287","0.592","0.334","1","hsa-miR-6829-3p","","","","","",""
"SLC38A9","0.189","0.592","0.399","2","hsa-miR-371b-5p","hsa-miR-4722-3p","","","","",""
"SLC39A1","0.287","0.592","0.334","1","hsa-miR-1227-5p","","","","","",""
"SLC39A7","0.113","0.592","0.119","1","hsa-miR-1229-3p","","","","","",""
"SLC3A2","0.132","0.592","0.140","1","hsa-miR-412-3p","","","","","",""
"SLC43A2","0.173","0.592","0.377","2","hsa-miR-4722-3p","hsa-miR-1253","","","","",""
"SLC47A1","0.107","0.592","0.280","2","hsa-miR-5591-5p","hsa-miR-4749-5p","","","","",""
"SLC4A2","0.0999","0.592","0.269","2","hsa-miR-1253","hsa-miR-6722-3p","","","","",""
"SLC5A2","0.103","0.592","0.108","1","hsa-miR-6802-3p","","","","","",""
"SLC6A17","0.0899","0.592","0.253","2","hsa-miR-7151-5p","hsa-miR-7854-3p","","","","",""
"SLC7A11","0.0925","0.592","0.363","3","hsa-miR-4282","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"SLC7A14","0.0866","0.592","0.248","2","hsa-miR-5585-3p","hsa-miR-4722-3p","","","","",""
"SLC9A3","0.169","0.592","0.183","1","hsa-miR-4749-5p","","","","","",""
"SLC9A4","0.294","0.592","0.345","1","hsa-miR-548h-5p","","","","","",""
"SLCO3A1","0.146","0.592","0.339","2","hsa-miR-371b-5p","hsa-miR-4524b-5p","","","","",""
"SLFN13","0.238","0.592","0.269","1","hsa-miR-6829-3p","","","","","",""
"SLFN5","0.317","0.592","0.377","1","hsa-miR-6847-3p","","","","","",""
"SLIT1","0.0679","0.592","0.215","2","hsa-miR-6769b-5p","hsa-miR-4722-3p","","","","",""
"SLIT3","0.195","0.592","0.215","1","hsa-miR-218-2-3p","","","","","",""
"SLITRK3","0.0930","0.592","0.0970","1","hsa-miR-3130-3p","","","","","",""
"SMAGP","0.302","0.592","0.356","1","hsa-miR-6829-3p","","","","","",""
"SMARCC1","0.160","0.592","0.172","1","hsa-miR-3130-3p","","","","","",""
"SMN1","0.0930","0.592","0.0970","1","hsa-miR-660-5p","","","","","",""
"SMN2","0.113","0.592","0.119","1","hsa-miR-660-5p","","","","","",""
"SMOC2","0.221","0.592","0.248","1","hsa-miR-6722-3p","","","","","",""
"SMS","0.0932","0.592","0.259","2","hsa-miR-371b-5p","hsa-miR-4282","","","","",""
"SMU1","0.309","0.592","0.560","2","hsa-miR-7703","hsa-miR-4282","","","","",""
"SMYD1","0.00848","0.592","0.144","3","hsa-miR-5585-3p","hsa-miR-3130-3p","hsa-miR-7854-3p","","","",""
"SMYD2","0.141","0.592","0.151","1","hsa-miR-1253","","","","","",""
"SMYD5","0.221","0.592","0.248","1","hsa-miR-1227-5p","","","","","",""
"SNIP1","0.230","0.592","0.259","1","hsa-miR-4722-3p","","","","","",""
"SNRNP48","0.0333","0.592","0.145","2","hsa-miR-7703","hsa-miR-3130-3p","","","","",""
"SNRPB2","0.279","0.592","0.323","1","hsa-miR-4524b-5p","","","","","",""
"SNX12","0.263","0.592","0.302","1","hsa-miR-1229-3p","","","","","",""
"SOBP","0.287","0.592","0.334","1","hsa-miR-218-2-3p","","","","","",""
"SON","0.139","0.592","0.435","3","hsa-miR-412-3p","hsa-miR-4282","hsa-miR-218-2-3p","","","",""
"SORBS2","0.141","0.592","0.151","1","hsa-miR-6829-3p","","","","","",""
"SORBS3","0.178","0.592","0.194","1","hsa-miR-1229-3p","","","","","",""
"SORD","0.0202","0.592","0.198","3","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-6847-3p","","","",""
"SORL1","0.0214","0.592","0.0215","1","hsa-miR-1229-3p","","","","","",""
"SOWAHA","0.279","0.592","0.323","1","hsa-miR-6769b-5p","","","","","",""
"SP110","0.117","0.592","0.296","2","hsa-miR-4722-3p","hsa-miR-6769b-5p","","","","",""
"SP2","0.0529","0.592","0.287","3","hsa-miR-6722-3p","hsa-miR-7854-3p","hsa-miR-6802-3p","","","",""
"SP4","0.0740","0.592","0.226","2","hsa-miR-4282","hsa-miR-371b-5p","","","","",""
"SPART","0.339","0.592","0.409","1","hsa-miR-6769b-5p","","","","","",""
"SPATA3","0.0731","0.592","0.0754","1","hsa-miR-5585-3p","","","","","",""
"SPECC1","0.213","0.592","0.237","1","hsa-miR-6847-3p","","","","","",""
"SPECC1L","0.204","0.592","0.226","1","hsa-miR-4749-5p","","","","","",""
"SPIC","0.287","0.592","0.334","1","hsa-miR-4722-3p","","","","","",""
"SPIDR","0.0831","0.592","0.0862","1","hsa-miR-4282","","","","","",""
"SPIRE2","0.0404","0.592","0.162","2","hsa-miR-4722-3p","hsa-miR-371b-5p","","","","",""
"SPNS3","0.122","0.592","0.129","1","hsa-miR-4722-3p","","","","","",""
"SPOUT1","0.195","0.592","0.215","1","hsa-miR-1229-3p","","","","","",""
"SPRTN","0.325","0.592","0.388","1","hsa-miR-7151-5p","","","","","",""
"SPRYD4","0.0705","0.592","0.323","3","hsa-miR-548h-5p","hsa-miR-7703","hsa-miR-371b-5p","","","",""
"SPTY2D1","0.128","0.592","0.312","2","hsa-miR-4282","hsa-miR-4722-3p","","","","",""
"SRF","0.0743","0.592","0.330","3","hsa-miR-1229-3p","hsa-miR-6802-3p","hsa-miR-4722-3p","","","",""
"SRP14","0.0930","0.592","0.0970","1","hsa-miR-6847-3p","","","","","",""
"SRP54","0.113","0.592","0.119","1","hsa-miR-1253","","","","","",""
"SRP72","0.113","0.592","0.119","1","hsa-miR-1229-3p","","","","","",""
"SRPK2","0.122","0.592","0.129","1","hsa-miR-4282","","","","","",""
"SRRM1","0.0731","0.592","0.0754","1","hsa-miR-4282","","","","","",""
"SRSF10","0.0899","0.592","0.253","2","hsa-miR-5587-5p","hsa-miR-1253","","","","",""
"SS18L1","0.132","0.592","0.140","1","hsa-miR-5587-5p","","","","","",""
"SSBP2","0.149","0.592","0.449","3","hsa-miR-7854-3p","hsa-miR-6829-3p","hsa-miR-7703","","","",""
"SSH3","0.302","0.592","0.356","1","hsa-miR-7703","","","","","",""
"ST3GAL2","0.213","0.592","0.237","1","hsa-miR-6829-3p","","","","","",""
"STAMBP","0.294","0.592","0.345","1","hsa-miR-218-2-3p","","","","","",""
"STAMBPL1","0.230","0.592","0.259","1","hsa-miR-412-3p","","","","","",""
"STAR","0.230","0.592","0.259","1","hsa-miR-3130-3p","","","","","",""
"STARD3NL","0.302","0.592","0.356","1","hsa-miR-412-3p","","","","","",""
"STAT2","0.146","0.592","0.339","2","hsa-miR-371b-5p","hsa-miR-7703","","","","",""
"STAT5B","0.238","0.592","0.269","1","hsa-miR-1229-3p","","","","","",""
"STAU1","0.279","0.592","0.323","1","hsa-miR-218-2-3p","","","","","",""
"STEAP3","0.302","0.592","0.356","1","hsa-miR-7854-3p","","","","","",""
"STIP1","0.230","0.592","0.259","1","hsa-miR-6722-3p","","","","","",""
"STK11","0.339","0.592","0.409","1","hsa-miR-4722-3p","","","","","",""
"STK25","0.255","0.592","0.291","1","hsa-miR-7151-5p","","","","","",""
"STK32A","0.221","0.592","0.248","1","hsa-miR-7703","","","","","",""
"STMP1","0.162","0.592","0.361","2","hsa-miR-7854-3p","hsa-miR-371b-5p","","","","",""
"STOML1","0.0771","0.592","0.232","2","hsa-miR-412-3p","hsa-miR-371b-5p","","","","",""
"STPG1","0.0591","0.592","0.199","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"STX4","0.253","0.592","0.485","2","hsa-miR-6847-3p","hsa-miR-3130-3p","","","","",""
"SULF2","0.113","0.592","0.119","1","hsa-miR-5585-3p","","","","","",""
"SULT1B1","0.165","0.592","0.470","3","hsa-miR-371b-5p","hsa-miR-6847-3p","hsa-miR-1253","","","",""
"SUPT5H","0.122","0.592","0.129","1","hsa-miR-1229-3p","","","","","",""
"SURF2","0.150","0.592","0.162","1","hsa-miR-3130-3p","","","","","",""
"SUSD5","0.0481","0.592","0.178","2","hsa-miR-7703","hsa-miR-412-3p","","","","",""
"SVIP","0.246","0.592","0.280","1","hsa-miR-6847-3p","","","","","",""
"SVOP","0.322","0.592","0.576","2","hsa-miR-548h-5p","hsa-miR-6829-3p","","","","",""
"SYAP1","0.0597","0.592","0.302","3","hsa-miR-5587-5p","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"SYDE2","0.221","0.592","0.248","1","hsa-miR-371b-5p","","","","","",""
"SYK","0.317","0.592","0.377","1","hsa-miR-4722-3p","","","","","",""
"SYT9","0.187","0.592","0.205","1","hsa-miR-1253","","","","","",""
"SYTL3","0.287","0.592","0.334","1","hsa-miR-449c-3p","","","","","",""
"SYTL4","0.302","0.592","0.356","1","hsa-miR-412-3p","","","","","",""
"TACC3","0.238","0.592","0.269","1","hsa-miR-4749-5p","","","","","",""
"TACO1","0.200","0.592","0.415","2","hsa-miR-7703","hsa-miR-1229-3p","","","","",""
"TACR2","0.0154","0.592","0.0970","2","hsa-miR-7703","hsa-miR-4722-3p","","","","",""
"TADA3","0.195","0.592","0.215","1","hsa-miR-7703","","","","","",""
"TAF11","0.141","0.592","0.151","1","hsa-miR-7703","","","","","",""
"TAF13","0.150","0.592","0.345","2","hsa-miR-4722-3p","hsa-miR-7703","","","","",""
"TAF1B","0.204","0.592","0.226","1","hsa-miR-6829-3p","","","","","",""
"TAF8","0.0990","0.592","0.373","3","hsa-miR-7703","hsa-miR-4741","hsa-miR-6847-3p","","","",""
"TANGO2","0.220","0.592","0.442","2","hsa-miR-7703","hsa-miR-371b-5p","","","","",""
"TARDBP","0.0999","0.592","0.269","2","hsa-miR-1229-3p","hsa-miR-4282","","","","",""
"TARS","0.169","0.592","0.183","1","hsa-miR-1253","","","","","",""
"TAS2R5","0.325","0.592","0.388","1","hsa-miR-4722-3p","","","","","",""
"TATDN3","0.230","0.592","0.259","1","hsa-miR-7703","","","","","",""
"TAX1BP3","0.141","0.592","0.151","1","hsa-miR-5587-5p","","","","","",""
"TBC1D15","0.121","0.592","0.302","2","hsa-miR-7703","hsa-miR-371b-5p","","","","",""
"TBC1D4","0.150","0.592","0.162","1","hsa-miR-6722-3p","","","","","",""
"TBL3","0.332","0.592","0.399","1","hsa-miR-4722-3p","","","","","",""
"TBR1","0.0831","0.592","0.0862","1","hsa-miR-7151-5p","","","","","",""
"TBX18","0.302","0.592","0.356","1","hsa-miR-5585-3p","","","","","",""
"TCF15","0.122","0.592","0.129","1","hsa-miR-4282","","","","","",""
"TCN2","0.339","0.592","0.409","1","hsa-miR-5591-5p","","","","","",""
"TEDDM1","0.150","0.592","0.162","1","hsa-miR-7854-3p","","","","","",""
"TEF","0.0110","0.592","0.158","3","hsa-miR-4282","hsa-miR-7703","hsa-miR-4524b-5p","","","",""
"TERF2","0.245","0.592","0.474","2","hsa-miR-7854-3p","hsa-miR-7703","","","","",""
"TES","0.135","0.592","0.323","2","hsa-miR-7151-5p","hsa-miR-371b-5p","","","","",""
"TESK2","0.169","0.592","0.183","1","hsa-miR-6829-3p","","","","","",""
"TESMIN","0.317","0.592","0.377","1","hsa-miR-134-3p","","","","","",""
"TESPA1","0.332","0.592","0.399","1","hsa-miR-4741","","","","","",""
"TET3","0.318","0.592","0.571","2","hsa-miR-218-2-3p","hsa-miR-1253","","","","",""
"TEX9","0.263","0.592","0.302","1","hsa-miR-4282","","","","","",""
"TFAP2B","0.339","0.592","0.409","1","hsa-miR-6722-3p","","","","","",""
"TFCP2","0.317","0.592","0.377","1","hsa-miR-660-5p","","","","","",""
"TFDP2","0.139","0.592","0.435","3","hsa-miR-7703","hsa-miR-371b-5p","hsa-miR-4282","","","",""
"TGFA","0.339","0.592","0.409","1","hsa-miR-4749-5p","","","","","",""
"TGIF1","0.154","0.592","0.350","2","hsa-miR-1253","hsa-miR-371b-5p","","","","",""
"TGOLN2","0.293","0.592","0.539","2","hsa-miR-4282","hsa-miR-4722-3p","","","","",""
"THY1","0.294","0.592","0.345","1","hsa-miR-6829-3p","","","","","",""
"TIA1","0.0731","0.592","0.0754","1","hsa-miR-1229-3p","","","","","",""
"TIGIT","0.195","0.592","0.215","1","hsa-miR-6802-3p","","","","","",""
"TIMD4","0.0108","0.592","0.0108","1","hsa-miR-4282","","","","","",""
"TIMM10B","0.263","0.592","0.302","1","hsa-miR-7703","","","","","",""
"TIMM22","0.160","0.592","0.172","1","hsa-miR-7151-5p","","","","","",""
"TIMM29","0.277","0.592","0.517","2","hsa-miR-7703","hsa-miR-4722-3p","","","","",""
"TIMM8A","0.0106","0.592","0.276","5","hsa-miR-7703","hsa-miR-4722-3p","hsa-miR-7151-5p","hsa-miR-1229-3p","hsa-miR-6829-3p","",""
"TIMM8B","0.0267","0.592","0.129","2","hsa-miR-4741","hsa-miR-5587-5p","","","","",""
"TIRAP","0.139","0.592","0.329","2","hsa-miR-7703","hsa-miR-6829-3p","","","","",""
"TLCD2","0.249","0.592","0.479","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"TLK1","0.294","0.592","0.345","1","hsa-miR-4524b-5p","","","","","",""
"TLL1","0.204","0.592","0.226","1","hsa-miR-4524b-5p","","","","","",""
"TLN1","0.0802","0.592","0.341","3","hsa-miR-371b-5p","hsa-miR-4282","hsa-miR-5591-5p","","","",""
"TLR10","0.187","0.592","0.205","1","hsa-miR-4722-3p","","","","","",""
"TM4SF20","0.271","0.592","0.312","1","hsa-miR-371b-5p","","","","","",""
"TM6SF1","0.310","0.592","0.366","1","hsa-miR-548h-5p","","","","","",""
"TM6SF2","0.221","0.592","0.248","1","hsa-miR-134-3p","","","","","",""
"TM7SF3","0.332","0.592","0.399","1","hsa-miR-4722-3p","","","","","",""
"TMCC2","0.238","0.592","0.269","1","hsa-miR-6829-3p","","","","","",""
"TMED8","0.00580","0.592","0.0593","2","hsa-miR-7703","hsa-miR-134-3p","","","","",""
"TMEM105","0.302","0.592","0.356","1","hsa-miR-412-3p","","","","","",""
"TMEM145","0.0455","0.592","0.172","2","hsa-miR-6722-3p","hsa-miR-7703","","","","",""
"TMEM151A","0.0157","0.592","0.180","3","hsa-miR-6722-3p","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"TMEM154","0.0130","0.592","0.234","4","hsa-miR-371b-5p","hsa-miR-4722-3p","hsa-miR-5585-3p","hsa-miR-6829-3p","","",""
"TMEM168","0.221","0.592","0.248","1","hsa-miR-6829-3p","","","","","",""
"TMEM170A","0.314","0.592","0.566","2","hsa-miR-6829-3p","hsa-miR-7703","","","","",""
"TMEM184C","0.197","0.592","0.409","2","hsa-miR-7703","hsa-miR-371b-5p","","","","",""
"TMEM192","0.110","0.592","0.285","2","hsa-miR-4282","hsa-miR-6847-3p","","","","",""
"TMEM231","0.178","0.592","0.194","1","hsa-miR-4722-3p","","","","","",""
"TMEM233","0.0356","0.592","0.151","2","hsa-miR-4722-3p","hsa-miR-449c-3p","","","","",""
"TMEM239","0.265","0.592","0.501","2","hsa-miR-7703","hsa-miR-6769b-5p","","","","",""
"TMEM248","0.287","0.592","0.334","1","hsa-miR-218-2-3p","","","","","",""
"TMEM263","0.0930","0.592","0.0970","1","hsa-miR-218-2-3p","","","","","",""
"TMEM33","0.241","0.592","0.469","2","hsa-miR-3130-3p","hsa-miR-7703","","","","",""
"TMEM44","0.00790","0.592","0.140","3","hsa-miR-4524b-5p","hsa-miR-371b-5p","hsa-miR-7703","","","",""
"TMEM50B","0.122","0.592","0.129","1","hsa-miR-7854-3p","","","","","",""
"TMEM54","0.246","0.592","0.280","1","hsa-miR-6769b-5p","","","","","",""
"TMEM63A","0.317","0.592","0.377","1","hsa-miR-1253","","","","","",""
"TMEM65","0.0620","0.592","0.205","2","hsa-miR-371b-5p","hsa-miR-7703","","","","",""
"TMEM78","0.317","0.592","0.377","1","hsa-miR-4722-3p","","","","","",""
"TMEM81","0.0834","0.592","0.242","2","hsa-miR-4722-3p","hsa-miR-218-2-3p","","","","",""
"TMOD1","0.0424","0.592","0.0431","1","hsa-miR-412-3p","","","","","",""
"TMOD3","0.139","0.592","0.435","3","hsa-miR-4282","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"TMPO","0.271","0.592","0.312","1","hsa-miR-371b-5p","","","","","",""
"TMSB4X","0.255","0.592","0.291","1","hsa-miR-412-3p","","","","","",""
"TMTC2","0.178","0.592","0.194","1","hsa-miR-1253","","","","","",""
"TNFAIP2","0.230","0.592","0.259","1","hsa-miR-3130-3p","","","","","",""
"TNFAIP8","0.221","0.592","0.248","1","hsa-miR-6769b-5p","","","","","",""
"TNFAIP8L1","0.297","0.592","0.544","2","hsa-miR-371b-5p","hsa-miR-4722-3p","","","","",""
"TNPO2","0.149","0.592","0.449","3","hsa-miR-6722-3p","hsa-miR-1253","hsa-miR-4722-3p","","","",""
"TOM1","0.263","0.592","0.302","1","hsa-miR-1227-5p","","","","","",""
"TOM1L2","0.246","0.592","0.280","1","hsa-miR-371b-5p","","","","","",""
"TONSL","0.113","0.592","0.119","1","hsa-miR-4722-3p","","","","","",""
"TOP3A","0.0122","0.592","0.0862","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"TOR1B","0.165","0.592","0.366","2","hsa-miR-218-2-3p","hsa-miR-371b-5p","","","","",""
"TOR4A","0.00670","0.592","0.194","4","hsa-miR-4749-5p","hsa-miR-7703","hsa-miR-6774-3p","hsa-miR-1253","","",""
"TPD52L2","0.0709","0.592","0.221","2","hsa-miR-5591-5p","hsa-miR-1253","","","","",""
"TPGS1","0.0591","0.592","0.199","2","hsa-miR-6829-3p","hsa-miR-7703","","","","",""
"TPGS2","0.122","0.592","0.129","1","hsa-miR-218-2-3p","","","","","",""
"TPMT","0.230","0.592","0.259","1","hsa-miR-4722-3p","","","","","",""
"TPRA1","0.317","0.592","0.377","1","hsa-miR-548h-5p","","","","","",""
"TRA2B","0.189","0.592","0.399","2","hsa-miR-4282","hsa-miR-548h-5p","","","","",""
"TRABD2A","0.332","0.592","0.399","1","hsa-miR-371b-5p","","","","","",""
"TRAF3IP1","0.0289","0.592","0.226","3","hsa-miR-6847-3p","hsa-miR-371b-5p","hsa-miR-7703","","","",""
"TRAF3IP2","0.269","0.592","0.506","2","hsa-miR-6847-3p","hsa-miR-1253","","","","",""
"TRAF6","0.177","0.592","0.382","2","hsa-miR-1253","hsa-miR-6769b-5p","","","","",""
"TRAF7","0.0529","0.592","0.287","3","hsa-miR-1229-3p","hsa-miR-6802-3p","hsa-miR-6722-3p","","","",""
"TRAK1","0.160","0.592","0.172","1","hsa-miR-4524b-5p","","","","","",""
"TRAPPC2","0.124","0.592","0.413","3","hsa-miR-7703","hsa-miR-6769b-5p","hsa-miR-7854-3p","","","",""
"TRAPPC4","0.0831","0.592","0.0862","1","hsa-miR-6847-3p","","","","","",""
"TRAT1","0.317","0.592","0.377","1","hsa-miR-5587-5p","","","","","",""
"TRDN","0.169","0.592","0.183","1","hsa-miR-7703","","","","","",""
"TRIM16L","0.230","0.592","0.259","1","hsa-miR-7703","","","","","",""
"TRIM27","0.221","0.592","0.248","1","hsa-miR-1229-3p","","","","","",""
"TRIM35","0.128","0.592","0.312","2","hsa-miR-4524b-5p","hsa-miR-6829-3p","","","","",""
"TRIM56","0.325","0.592","0.388","1","hsa-miR-1253","","","","","",""
"TRIM58","0.195","0.592","0.215","1","hsa-miR-3130-3p","","","","","",""
"TRIR","0.0965","0.592","0.264","2","hsa-miR-7854-3p","hsa-miR-1253","","","","",""
"TRMT10C","0.317","0.592","0.377","1","hsa-miR-371b-5p","","","","","",""
"TRMT2B","0.124","0.592","0.307","2","hsa-miR-6722-3p","hsa-miR-7703","","","","",""
"TRNP1","0.113","0.592","0.119","1","hsa-miR-7703","","","","","",""
"TRPV1","0.294","0.592","0.345","1","hsa-miR-7703","","","","","",""
"TRRAP","0.169","0.592","0.183","1","hsa-miR-1229-3p","","","","","",""
"TSC22D3","0.317","0.592","0.377","1","hsa-miR-1229-3p","","","","","",""
"TSPAN15","0.132","0.592","0.140","1","hsa-miR-1253","","","","","",""
"TSPAN2","0.230","0.592","0.259","1","hsa-miR-4282","","","","","",""
"TSPEAR-AS2","0.0333","0.592","0.145","2","hsa-miR-371b-5p","hsa-miR-7703","","","","",""
"TTC31","0.221","0.592","0.248","1","hsa-miR-371b-5p","","","","","",""
"TTC33","0.317","0.592","0.377","1","hsa-miR-4722-3p","","","","","",""
"TTC39A","0.122","0.592","0.129","1","hsa-miR-7703","","","","","",""
"TTC9C","0.169","0.592","0.372","2","hsa-miR-5591-5p","hsa-miR-4722-3p","","","","",""
"TTLL12","0.297","0.592","0.544","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"TTPAL","0.128","0.592","0.312","2","hsa-miR-4282","hsa-miR-371b-5p","","","","",""
"TUBA1A","0.0930","0.592","0.0970","1","hsa-miR-412-3p","","","","","",""
"TUBB","0.277","0.592","0.517","2","hsa-miR-1253","hsa-miR-7854-3p","","","","",""
"TUBG1","0.187","0.592","0.205","1","hsa-miR-1229-3p","","","","","",""
"TUBGCP5","0.150","0.592","0.162","1","hsa-miR-6829-3p","","","","","",""
"TUFT1","0.287","0.592","0.334","1","hsa-miR-7703","","","","","",""
"TULP1","0.187","0.592","0.205","1","hsa-miR-4749-5p","","","","","",""
"TULP3","0.169","0.592","0.183","1","hsa-miR-6769b-5p","","","","","",""
"TUSC3","0.0630","0.592","0.0646","1","hsa-miR-1229-3p","","","","","",""
"TWISTNB","0.0591","0.592","0.199","2","hsa-miR-4282","hsa-miR-371b-5p","","","","",""
"TXNL1","0.212","0.592","0.431","2","hsa-miR-6829-3p","hsa-miR-371b-5p","","","","",""
"TXNRD1","0.238","0.592","0.269","1","hsa-miR-5587-5p","","","","","",""
"TXNRD3NB","0.0508","0.592","0.183","2","hsa-miR-134-3p","hsa-miR-6829-3p","","","","",""
"UBA6","0.302","0.592","0.356","1","hsa-miR-660-5p","","","","","",""
"UBALD1","0.238","0.592","0.269","1","hsa-miR-6722-3p","","","","","",""
"UBALD2","0.230","0.592","0.259","1","hsa-miR-4741","","","","","",""
"UBBP4","0.0649","0.592","0.210","2","hsa-miR-1227-5p","hsa-miR-6722-3p","","","","",""
"UBE2K","0.302","0.592","0.356","1","hsa-miR-660-5p","","","","","",""
"UBE4A","0.204","0.592","0.226","1","hsa-miR-7703","","","","","",""
"UBL3","0.0740","0.592","0.226","2","hsa-miR-6847-3p","hsa-miR-5587-5p","","","","",""
"UBLCP1","0.263","0.592","0.302","1","hsa-miR-6769b-5p","","","","","",""
"UBN1","0.178","0.592","0.194","1","hsa-miR-3130-3p","","","","","",""
"UBR3","0.302","0.592","0.356","1","hsa-miR-4524b-5p","","","","","",""
"UCHL3","0.332","0.592","0.399","1","hsa-miR-371b-5p","","","","","",""
"UGGT2","0.0189","0.592","0.108","2","hsa-miR-4722-3p","hsa-miR-6829-3p","","","","",""
"UGT2B11","0.0424","0.592","0.0431","1","hsa-miR-4282","","","","","",""
"UGT2B4","0.143","0.592","0.334","2","hsa-miR-4524b-5p","hsa-miR-1229-3p","","","","",""
"UNC80","0.113","0.592","0.119","1","hsa-miR-371b-5p","","","","","",""
"UNKL","0.0333","0.592","0.145","2","hsa-miR-4282","hsa-miR-7703","","","","",""
"UPP2","0.0630","0.592","0.0646","1","hsa-miR-134-3p","","","","","",""
"UQCR11","0.0649","0.592","0.210","2","hsa-miR-4722-3p","hsa-miR-7703","","","","",""
"USP12P1","0.103","0.592","0.108","1","hsa-miR-1253","","","","","",""
"USP49","0.255","0.592","0.291","1","hsa-miR-6829-3p","","","","","",""
"USP53","0.107","0.592","0.280","2","hsa-miR-548h-5p","hsa-miR-4524b-5p","","","","",""
"UTP20","0.132","0.592","0.140","1","hsa-miR-371b-5p","","","","","",""
"UTP6","0.0148","0.592","0.176","3","hsa-miR-7703","hsa-miR-1253","hsa-miR-371b-5p","","","",""
"VAT1","0.287","0.592","0.334","1","hsa-miR-412-3p","","","","","",""
"VAV2","0.317","0.592","0.377","1","hsa-miR-5591-5p","","","","","",""
"VEGFC","0.279","0.592","0.323","1","hsa-miR-7703","","","","","",""
"VEZT","0.0771","0.592","0.232","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"VGLL3","0.178","0.592","0.194","1","hsa-miR-7703","","","","","",""
"VGLL4","0.139","0.592","0.329","2","hsa-miR-4749-5p","hsa-miR-1253","","","","",""
"VHL","0.0289","0.592","0.226","3","hsa-miR-4282","hsa-miR-6802-3p","hsa-miR-371b-5p","","","",""
"VHLL","0.177","0.592","0.382","2","hsa-miR-134-3p","hsa-miR-7703","","","","",""
"VLDLR","0.200","0.592","0.415","2","hsa-miR-548h-5p","hsa-miR-371b-5p","","","","",""
"VOPP1","0.271","0.592","0.312","1","hsa-miR-4524b-5p","","","","","",""
"VPS37A","0.0563","0.592","0.194","2","hsa-miR-4282","hsa-miR-371b-5p","","","","",""
