Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7
MAP3K2,0.07692307692307687,0.014,0.61,0.24,4,hsa-miR-5582-5p,hsa-miR-4511,hsa-miR-4727-5p,hsa-miR-6734-3p,,,
MAFK,0.07692307692307687,0.0242,0.61,0.283,4,hsa-miR-6734-3p,hsa-miR-134-3p,hsa-miR-6756-5p,hsa-miR-6815-5p,,,
DNAJC10,0.07692307692307687,0.129,0.61,0.493,4,hsa-miR-4516,hsa-miR-520d-3p,hsa-miR-548ah-5p,hsa-miR-1225-3p,,,
KIAA0513,0.07692307692307687,0.0215,0.61,0.273,4,hsa-miR-520d-3p,hsa-miR-548ah-5p,hsa-miR-1225-3p,hsa-miR-4511,,,
FGFR1OP,0.07692307692307687,0.0335,0.61,0.313,4,hsa-miR-548ah-5p,hsa-miR-1205,hsa-miR-6715b-5p,hsa-miR-6734-3p,,,
IGF1R,0.07692307692307687,0.225,0.61,0.613,4,hsa-miR-548ah-5p,hsa-miR-520d-3p,hsa-miR-4511,hsa-miR-4727-5p,,,
HMGN2,0.07692307692307687,0.0757,0.61,0.408,4,hsa-miR-548h-5p,hsa-miR-4516,hsa-miR-6715b-5p,hsa-miR-6815-5p,,,
NFIX,0.07692307692307687,0.0389,0.61,0.328,4,hsa-miR-5582-5p,hsa-miR-6769b-5p,hsa-miR-6756-5p,hsa-miR-139-3p,,,
ELFN2,0.07692307692307687,0.0145,0.61,0.243,4,hsa-miR-1225-3p,hsa-miR-1250-5p,hsa-miR-512-5p,hsa-miR-922,,,
DGAT2,0.07692307692307687,5.1e-05,0.136,0.055,4,hsa-miR-4511,hsa-miR-3975,hsa-miR-5582-5p,hsa-miR-548ah-5p,,,
PABPN1,0.07692307692307687,0.0278,0.61,0.295,4,hsa-miR-922,hsa-miR-4516,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,
NUDT3,0.07692307692307687,0.11,0.61,0.465,4,hsa-miR-6734-3p,hsa-miR-520d-3p,hsa-miR-6769b-5p,hsa-miR-6735-5p,,,
C16orf58,0.07692307692307687,0.0271,0.61,0.293,4,hsa-miR-1205,hsa-miR-5582-5p,hsa-miR-6715b-5p,hsa-miR-6756-5p,,,
CDKN1A,0.07692307692307687,0.427,0.622,0.828,4,hsa-miR-4516,hsa-miR-6815-5p,hsa-miR-512-5p,hsa-miR-6735-5p,,,
ZBTB33,0.07692307692307687,0.00882,0.61,0.21,4,hsa-miR-520d-3p,hsa-miR-922,hsa-miR-5582-5p,hsa-miR-548ah-5p,,,
YIPF4,0.07692307692307687,0.106,0.61,0.458,4,hsa-miR-520d-3p,hsa-miR-6715b-5p,hsa-miR-6769b-5p,hsa-miR-3975,,,
UNC5B,0.07692307692307687,0.00711,0.61,0.198,4,hsa-miR-6715b-5p,hsa-miR-5582-5p,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,
ULK1,0.07692307692307687,0.00279,0.61,0.153,4,hsa-miR-520d-3p,hsa-miR-548ah-5p,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,
UBE2H,0.07692307692307687,0.0104,0.61,0.22,4,hsa-miR-4803,hsa-miR-548h-5p,hsa-miR-922,hsa-miR-1205,,,
TRAF6,0.07692307692307687,0.00485,0.61,0.178,4,hsa-miR-6769b-5p,hsa-miR-6756-5p,hsa-miR-4516,hsa-miR-1225-3p,,,
TAOK1,0.07692307692307687,0.187,0.61,0.568,4,hsa-miR-6756-5p,hsa-miR-6769b-5p,hsa-miR-4511,hsa-miR-520d-3p,,,
SF3B3,0.07692307692307687,0.0757,0.61,0.408,4,hsa-miR-6769b-5p,hsa-miR-6756-5p,hsa-miR-6815-5p,hsa-miR-520d-3p,,,
SELENON,0.07692307692307687,0.0126,0.61,0.233,4,hsa-miR-1205,hsa-miR-6756-5p,hsa-miR-5582-5p,hsa-miR-6715b-5p,,,
RUFY2,0.07692307692307687,0.00165,0.61,0.133,4,hsa-miR-1205,hsa-miR-6715b-5p,hsa-miR-548ah-5p,hsa-miR-29b-1-5p,,,
REST,0.07692307692307687,0.0161,0.61,0.25,4,hsa-miR-548ah-5p,hsa-miR-520d-3p,hsa-miR-378c,hsa-miR-4516,,,
RAB5B,0.07692307692307687,0.104,0.61,0.455,4,hsa-miR-1205,hsa-miR-548ah-5p,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,
PTBP1,0.07692307692307687,0.0166,0.61,0.253,4,hsa-miR-548h-5p,hsa-miR-5582-5p,hsa-miR-1205,hsa-miR-6734-3p,,,
PAFAH1B2,0.07692307692307687,0.0458,0.61,0.345,4,hsa-miR-548h-5p,hsa-miR-922,hsa-miR-548ah-5p,hsa-miR-6715b-5p,,,
CRY2,0.07692307692307687,0.0215,0.61,0.273,4,hsa-miR-6734-3p,hsa-miR-3975,hsa-miR-4474-3p,hsa-miR-5582-5p,,,
ORAI2,0.07692307692307687,0.161,0.61,0.535,4,hsa-miR-6769b-5p,hsa-miR-520d-3p,hsa-miR-139-3p,hsa-miR-1225-3p,,,
ABI2,0.07692307692307687,0.114,0.61,0.47,4,hsa-miR-6769b-5p,hsa-miR-6756-5p,hsa-miR-520d-3p,hsa-miR-134-3p,,,
AGO2,0.07692307692307687,0.353,0.61,0.75,4,hsa-miR-548h-5p,hsa-miR-6769b-5p,hsa-miR-5582-5p,hsa-miR-4803,,,
ACOX1,0.07692307692307687,0.0242,0.61,0.283,4,hsa-miR-4474-3p,hsa-miR-520d-3p,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,
ATP5A1,0.07692307692307687,0.00919,0.61,0.213,4,hsa-miR-139-3p,hsa-miR-6715b-5p,hsa-miR-5582-5p,hsa-miR-134-3p,,,
ZNF394,0.05769230769230771,0.12,0.61,0.407,3,hsa-miR-6715b-5p,hsa-miR-5582-5p,hsa-miR-512-5p,,,,
FAM83F,0.05769230769230771,0.12,0.61,0.407,3,hsa-miR-6734-3p,hsa-miR-6769b-5p,hsa-miR-6756-5p,,,,
FAM83H,0.05769230769230771,0.0114,0.61,0.16,3,hsa-miR-4516,hsa-miR-5582-5p,hsa-miR-139-3p,,,,
ZNF641,0.05769230769230771,0.0496,0.61,0.28,3,hsa-miR-922,hsa-miR-6769b-5p,hsa-miR-6756-5p,,,,
ZNF585B,0.05769230769230771,0.0541,0.61,0.29,3,hsa-miR-139-3p,hsa-miR-1225-3p,hsa-miR-512-5p,,,,
ZNF451,0.05769230769230771,0.172,0.61,0.48,3,hsa-miR-6815-5p,hsa-miR-512-5p,hsa-miR-4474-3p,,,,
FEM1C,0.05769230769230771,0.0987,0.61,0.373,3,hsa-miR-548h-5p,hsa-miR-520d-3p,hsa-miR-548ah-5p,,,,
ZNF385A,0.05769230769230771,0.133,0.61,0.427,3,hsa-miR-6756-5p,hsa-miR-520d-3p,hsa-miR-3975,,,,
FAM212B,0.05769230769230771,0.0165,0.61,0.183,3,hsa-miR-5582-5p,hsa-miR-6715b-5p,hsa-miR-6734-3p,,,,
FOLR1,0.05769230769230771,0.0301,0.61,0.23,3,hsa-miR-134-3p,hsa-miR-29b-1-5p,hsa-miR-6735-5p,,,,
FOXC1,0.05769230769230771,0.0869,0.61,0.353,3,hsa-miR-548ah-5p,hsa-miR-139-3p,hsa-miR-6715b-5p,,,,
ZBTB7A,0.05769230769230771,0.197,0.61,0.514,3,hsa-miR-139-3p,hsa-miR-6734-3p,hsa-miR-6756-5p,,,,
ZBTB46,0.05769230769230771,0.0888,0.61,0.357,3,hsa-miR-29b-1-5p,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,,
SLC6A4,0.05769230769230771,0.0399,0.61,0.257,3,hsa-miR-1205,hsa-miR-520d-3p,hsa-miR-6756-5p,,,,
FZD9,0.05769230769230771,0.0301,0.61,0.23,3,hsa-miR-548ah-5p,hsa-miR-520d-3p,hsa-miR-922,,,,
FZR1,0.05769230769230771,0.0209,0.61,0.2,3,hsa-miR-6735-5p,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,,
ZBTB37,0.05769230769230771,0.205,0.61,0.524,3,hsa-miR-548ah-5p,hsa-miR-548h-5p,hsa-miR-5582-5p,,,,
NACC2,0.05769230769230771,0.259,0.61,0.59,3,hsa-miR-548ah-5p,hsa-miR-548h-5p,hsa-miR-6735-5p,,,,
RBMS2,0.05769230769230771,0.143,0.61,0.44,3,hsa-miR-6735-5p,hsa-miR-3975,hsa-miR-548h-5p,,,,
GATA6,0.05769230769230771,0.343,0.61,0.69,3,hsa-miR-4516,hsa-miR-548ah-5p,hsa-miR-520d-3p,,,,
SH3GLB1,0.05769230769230771,0.0467,0.61,0.273,3,hsa-miR-520d-3p,hsa-miR-6735-5p,hsa-miR-548ah-5p,,,,
BCL2L1,0.05769230769230771,0.197,0.61,0.514,3,hsa-miR-6735-5p,hsa-miR-6756-5p,hsa-miR-922,,,,
NUP62,0.05769230769230771,0.0312,0.61,0.233,3,hsa-miR-6735-5p,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,,
NUMBL,0.05769230769230771,0.00302,0.61,0.1,3,hsa-miR-6734-3p,hsa-miR-6715b-5p,hsa-miR-6735-5p,,,,
SGPL1,0.05769230769230771,0.0794,0.61,0.34,3,hsa-miR-548ah-5p,hsa-miR-6769b-5p,hsa-miR-6715b-5p,,,,
NUCB1,0.05769230769230771,0.0588,0.61,0.3,3,hsa-miR-6756-5p,hsa-miR-6769b-5p,hsa-miR-512-5p,,,,
DSN1,0.05769230769230771,0.169,0.61,0.477,3,hsa-miR-6715b-5p,hsa-miR-6756-5p,hsa-miR-3975,,,,
DUSP2,0.05769230769230771,0.0324,0.61,0.237,3,hsa-miR-922,hsa-miR-548ah-5p,hsa-miR-520d-3p,,,,
SHISA9,0.05769230769230771,0.0927,0.61,0.363,3,hsa-miR-4516,hsa-miR-548h-5p,hsa-miR-6734-3p,,,,
F2RL3,0.05769230769230771,0.0312,0.61,0.233,3,hsa-miR-1205,hsa-miR-520d-3p,hsa-miR-548ah-5p,,,,
SHOC2,0.05769230769230771,0.253,0.61,0.584,3,hsa-miR-922,hsa-miR-512-5p,hsa-miR-4803,,,,
SIK1,0.05769230769230771,0.0637,0.61,0.31,3,hsa-miR-520d-3p,hsa-miR-548ah-5p,hsa-miR-548h-5p,,,,
NFIB,0.05769230769230771,0.074,0.61,0.33,3,hsa-miR-6769b-5p,hsa-miR-4803,hsa-miR-520d-3p,,,,
ENPP5,0.05769230769230771,0.103,0.61,0.38,3,hsa-miR-1205,hsa-miR-548ah-5p,hsa-miR-548h-5p,,,,
KIAA1456,0.05769230769230771,0.15,0.61,0.45,3,hsa-miR-4516,hsa-miR-922,hsa-miR-134-3p,,,,
ZWINT,0.05769230769230771,0.0722,0.61,0.327,3,hsa-miR-548h-5p,hsa-miR-5582-5p,hsa-miR-4511,,,,
SLC12A7,0.05769230769230771,0.0813,0.61,0.343,3,hsa-miR-6734-3p,hsa-miR-4511,hsa-miR-29b-1-5p,,,,
FAM102B,0.05769230769230771,0.036,0.61,0.247,3,hsa-miR-520d-3p,hsa-miR-139-3p,hsa-miR-5582-5p,,,,
MNT,0.05769230769230771,0.0888,0.61,0.357,3,hsa-miR-922,hsa-miR-6756-5p,hsa-miR-4516,,,,
SETD1B,0.05769230769230771,0.164,0.61,0.47,3,hsa-miR-6756-5p,hsa-miR-1205,hsa-miR-6769b-5p,,,,
HIST2H2BE,0.05769230769230771,0.00687,0.61,0.133,3,hsa-miR-6769b-5p,hsa-miR-6756-5p,hsa-miR-6815-5p,,,,
LZIC,0.05769230769230771,0.15,0.61,0.45,3,hsa-miR-548ah-5p,hsa-miR-29b-1-5p,hsa-miR-4516,,,,
LSM14A,0.05769230769230771,0.0258,0.61,0.217,3,hsa-miR-1205,hsa-miR-4474-3p,hsa-miR-134-3p,,,,
HOOK3,0.05769230769230771,0.275,0.61,0.61,3,hsa-miR-520d-3p,hsa-miR-512-5p,hsa-miR-134-3p,,,,
LRTOMT,0.05769230769230771,0.0199,0.61,0.197,3,hsa-miR-6769b-5p,hsa-miR-6756-5p,hsa-miR-139-3p,,,,
TMEM241,0.05769230769230771,0.0165,0.61,0.183,3,hsa-miR-548h-5p,hsa-miR-6715b-5p,hsa-miR-5582-5p,,,,
TMEM214,0.05769230769230771,0.0114,0.61,0.16,3,hsa-miR-6715b-5p,hsa-miR-3975,hsa-miR-6735-5p,,,,
TMEM184A,0.05769230769230771,0.015,0.61,0.177,3,hsa-miR-134-3p,hsa-miR-5582-5p,hsa-miR-6715b-5p,,,,
AVL9,0.05769230769230771,0.0947,0.61,0.367,3,hsa-miR-922,hsa-miR-520d-3p,hsa-miR-4511,,,,
STAT3,0.05769230769230771,0.0439,0.61,0.267,3,hsa-miR-4516,hsa-miR-922,hsa-miR-29b-1-5p,,,,
INO80D,0.05769230769230771,0.0237,0.61,0.21,3,hsa-miR-4511,hsa-miR-520d-3p,hsa-miR-5582-5p,,,,
SYT7,0.05769230769230771,0.0412,0.61,0.26,3,hsa-miR-6735-5p,hsa-miR-139-3p,hsa-miR-4516,,,,
TAF1D,0.05769230769230771,0.062,0.61,0.307,3,hsa-miR-922,hsa-miR-3975,hsa-miR-1225-3p,,,,
KREMEN1,0.05769230769230771,0.162,0.61,0.467,3,hsa-miR-520d-3p,hsa-miR-922,hsa-miR-5582-5p,,,,
KMT2A,0.05769230769230771,0.0967,0.61,0.37,3,hsa-miR-6735-5p,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,,
KDELR1,0.05769230769230771,0.124,0.61,0.413,3,hsa-miR-1205,hsa-miR-922,hsa-miR-4516,,,,
ATP1B3,0.05769230769230771,0.0572,0.61,0.297,3,hsa-miR-520d-3p,hsa-miR-922,hsa-miR-6735-5p,,,,
RDH11,0.05769230769230771,0.103,0.61,0.38,3,hsa-miR-29b-1-5p,hsa-miR-378c,hsa-miR-548h-5p,,,,
MLLT1,0.05769230769230771,0.231,0.61,0.557,3,hsa-miR-1225-3p,hsa-miR-6735-5p,hsa-miR-6756-5p,,,,
SPRY4,0.05769230769230771,0.154,0.61,0.457,3,hsa-miR-4516,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,,
MKNK2,0.05769230769230771,0.309,0.61,0.65,3,hsa-miR-548ah-5p,hsa-miR-520d-3p,hsa-miR-1225-3p,,,,
WSB1,0.05769230769230771,0.0687,0.61,0.32,3,hsa-miR-520d-3p,hsa-miR-6815-5p,hsa-miR-512-5p,,,,
MINK1,0.05769230769230771,0.074,0.61,0.33,3,hsa-miR-520d-3p,hsa-miR-548ah-5p,hsa-miR-922,,,,
ACACA,0.05769230769230771,0.0526,0.61,0.287,3,hsa-miR-378c,hsa-miR-6735-5p,hsa-miR-6769b-5p,,,,
MEX3A,0.05769230769230771,0.067,0.61,0.317,3,hsa-miR-6769b-5p,hsa-miR-6735-5p,hsa-miR-6734-3p,,,,
UBXN2A,0.05769230769230771,0.273,0.61,0.607,3,hsa-miR-548ah-5p,hsa-miR-520d-3p,hsa-miR-4516,,,,
METTL8,0.05769230769230771,0.085,0.61,0.35,3,hsa-miR-4803,hsa-miR-548h-5p,hsa-miR-520d-3p,,,,
UBE2G1,0.05769230769230771,0.0108,0.61,0.157,3,hsa-miR-1205,hsa-miR-4516,hsa-miR-139-3p,,,,
METTL14,0.05769230769230771,0.0481,0.61,0.277,3,hsa-miR-6769b-5p,hsa-miR-6756-5p,hsa-miR-6715b-5p,,,,
MDM2,0.05769230769230771,0.332,0.61,0.677,3,hsa-miR-6715b-5p,hsa-miR-548ah-5p,hsa-miR-1225-3p,,,,
TSR1,0.05769230769230771,0.0481,0.61,0.277,3,hsa-miR-520d-3p,hsa-miR-548ah-5p,hsa-miR-3975,,,,
TRIOBP,0.05769230769230771,0.0336,0.61,0.24,3,hsa-miR-6769b-5p,hsa-miR-520d-3p,hsa-miR-5582-5p,,,,
MDFI,0.05769230769230771,0.0051,0.61,0.12,3,hsa-miR-6734-3p,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,,
MCFD2,0.05769230769230771,0.0637,0.61,0.31,3,hsa-miR-6815-5p,hsa-miR-1225-3p,hsa-miR-6735-5p,,,,
TP53,0.05769230769230771,0.138,0.61,0.434,3,hsa-miR-6756-5p,hsa-miR-4516,hsa-miR-1225-3p,,,,
AHCYL2,0.05769230769230771,0.0526,0.61,0.287,3,hsa-miR-4516,hsa-miR-1225-3p,hsa-miR-6734-3p,,,,
NEK7,0.05769230769230771,0.0165,0.61,0.183,3,hsa-miR-4803,hsa-miR-5582-5p,hsa-miR-548h-5p,,,,
NACC1,0.05769230769230771,0.522,0.632,0.907,3,hsa-miR-6756-5p,hsa-miR-6769b-5p,hsa-miR-6815-5p,,,,
CAPZA2,0.05769230769230771,0.0947,0.61,0.367,3,hsa-miR-6715b-5p,hsa-miR-5582-5p,hsa-miR-520d-3p,,,,
PLCE1,0.05769230769230771,0.0324,0.61,0.237,3,hsa-miR-6715b-5p,hsa-miR-5582-5p,hsa-miR-3975,,,,
SBF1,0.05769230769230771,0.0496,0.61,0.28,3,hsa-miR-520d-3p,hsa-miR-5582-5p,hsa-miR-6715b-5p,,,,
PLEKHM1,0.05769230769230771,0.0813,0.61,0.343,3,hsa-miR-29b-1-5p,hsa-miR-520d-3p,hsa-miR-6756-5p,,,,
C2orf48,0.05769230769230771,0.0157,0.61,0.18,3,hsa-miR-6734-3p,hsa-miR-1225-3p,hsa-miR-512-5p,,,,
POLR1B,0.05769230769230771,0.0425,0.61,0.263,3,hsa-miR-548h-5p,hsa-miR-6715b-5p,hsa-miR-5582-5p,,,,
SOD2,0.05769230769230771,0.482,0.628,0.857,3,hsa-miR-4516,hsa-miR-6735-5p,hsa-miR-4803,,,,
CLPB,0.05769230769230771,0.138,0.61,0.434,3,hsa-miR-512-5p,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,,
RLIM,0.05769230769230771,0.0776,0.61,0.337,3,hsa-miR-4803,hsa-miR-548ah-5p,hsa-miR-922,,,,
SAMD8,0.05769230769230771,0.124,0.61,0.413,3,hsa-miR-548h-5p,hsa-miR-548ah-5p,hsa-miR-520d-3p,,,,
PPARGC1B,0.05769230769230771,0.0051,0.61,0.12,3,hsa-miR-6715b-5p,hsa-miR-5582-5p,hsa-miR-378c,,,,
RNF11,0.05769230769230771,0.192,0.61,0.507,3,hsa-miR-4803,hsa-miR-6756-5p,hsa-miR-1205,,,,
PPM1F,0.05769230769230771,0.0218,0.61,0.203,3,hsa-miR-6756-5p,hsa-miR-4727-5p,hsa-miR-6715b-5p,,,,
PRIM1,0.05769230769230771,0.0967,0.61,0.37,3,hsa-miR-520d-3p,hsa-miR-6715b-5p,hsa-miR-5582-5p,,,,
CHEK2,0.05769230769230771,0.0399,0.61,0.257,3,hsa-miR-4803,hsa-miR-548h-5p,hsa-miR-5582-5p,,,,
C18orf32,0.05769230769230771,0.0653,0.61,0.313,3,hsa-miR-4803,hsa-miR-520d-3p,hsa-miR-548ah-5p,,,,
CEP97,0.05769230769230771,0.115,0.61,0.4,3,hsa-miR-548ah-5p,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,,
PVR,0.05769230769230771,0.0209,0.61,0.2,3,hsa-miR-548ah-5p,hsa-miR-4727-5p,hsa-miR-139-3p,,,,
PRRC2B,0.05769230769230771,0.167,0.61,0.474,3,hsa-miR-4474-3p,hsa-miR-6756-5p,hsa-miR-3975,,,,
CCDC198,0.05769230769230771,0.0108,0.61,0.157,3,hsa-miR-520d-3p,hsa-miR-512-5p,hsa-miR-548ah-5p,,,,
CDH6,0.05769230769230771,0.0128,0.61,0.167,3,hsa-miR-6756-5p,hsa-miR-512-5p,hsa-miR-4511,,,,
PRRG4,0.05769230769230771,0.205,0.61,0.524,3,hsa-miR-520d-3p,hsa-miR-6715b-5p,hsa-miR-5582-5p,,,,
RPL17-C18orf32,0.05769230769230771,0.00247,0.61,0.0934,3,hsa-miR-4803,hsa-miR-520d-3p,hsa-miR-548ah-5p,,,,
CCDC80,0.05769230769230771,0.15,0.61,0.45,3,hsa-miR-4516,hsa-miR-6715b-5p,hsa-miR-548h-5p,,,,
PTGES3L,0.05769230769230771,0.0121,0.61,0.163,3,hsa-miR-4511,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,,
PTMA,0.05769230769230771,0.131,0.61,0.423,3,hsa-miR-512-5p,hsa-miR-29b-1-5p,hsa-miR-6756-5p,,,,
PTP4A1,0.05769230769230771,0.15,0.61,0.45,3,hsa-miR-4803,hsa-miR-548ah-5p,hsa-miR-548h-5p,,,,
RPRD2,0.05769230769230771,0.218,0.61,0.54,3,hsa-miR-520d-3p,hsa-miR-548ah-5p,hsa-miR-6815-5p,,,,
CCNT1,0.05769230769230771,0.0704,0.61,0.323,3,hsa-miR-3975,hsa-miR-6756-5p,hsa-miR-4516,,,,
AKR7A2,0.05769230769230771,0.133,0.61,0.427,3,hsa-miR-4511,hsa-miR-548ah-5p,hsa-miR-6715b-5p,,,,
C6orf223,0.05769230769230771,0.0128,0.61,0.167,3,hsa-miR-6769b-5p,hsa-miR-6734-3p,hsa-miR-6735-5p,,,,
C11orf54,0.05769230769230771,0.124,0.61,0.413,3,hsa-miR-512-5p,hsa-miR-6734-3p,hsa-miR-520d-3p,,,,
SCOC,0.05769230769230771,0.0135,0.61,0.17,3,hsa-miR-4516,hsa-miR-5582-5p,hsa-miR-134-3p,,,,
RBM23,0.05769230769230771,0.2,0.61,0.517,3,hsa-miR-6734-3p,hsa-miR-4516,hsa-miR-5582-5p,,,,
ANP32B,0.05769230769230771,0.0399,0.61,0.257,3,hsa-miR-548h-5p,hsa-miR-6769b-5p,hsa-miR-6756-5p,,,,
DCAF7,0.05769230769230771,0.251,0.61,0.58,3,hsa-miR-4516,hsa-miR-6769b-5p,hsa-miR-6715b-5p,,,,
RBM12B,0.05769230769230771,0.105,0.61,0.383,3,hsa-miR-548ah-5p,hsa-miR-520d-3p,hsa-miR-922,,,,
ALDOA,0.05769230769230771,0.295,0.61,0.634,3,hsa-miR-4727-5p,hsa-miR-6734-3p,hsa-miR-1225-3p,,,,
ZNF460,0.05769230769230771,0.718,0.738,1.2,3,hsa-miR-922,hsa-miR-1225-3p,hsa-miR-6715b-5p,,,,
C10orf76,0.05769230769230771,0.0412,0.61,0.26,3,hsa-miR-922,hsa-miR-6769b-5p,hsa-miR-6756-5p,,,,
PEA15,0.05769230769230771,0.0279,0.61,0.223,3,hsa-miR-548ah-5p,hsa-miR-1205,hsa-miR-6769b-5p,,,,
RFC2,0.05769230769230771,0.0511,0.61,0.283,3,hsa-miR-3975,hsa-miR-1225-3p,hsa-miR-512-5p,,,,
RGMB,0.05769230769230771,0.0279,0.61,0.223,3,hsa-miR-520d-3p,hsa-miR-6735-5p,hsa-miR-548ah-5p,,,,
CUL3,0.05769230769230771,0.0247,0.61,0.213,3,hsa-miR-1225-3p,hsa-miR-520d-3p,hsa-miR-6734-3p,,,,
PTPN14,0.05769230769230771,0.107,0.61,0.387,3,hsa-miR-4516,hsa-miR-5582-5p,hsa-miR-6734-3p,,,,
XIAP,0.05769230769230771,0.43,0.624,0.794,3,hsa-miR-548ah-5p,hsa-miR-4803,hsa-miR-548h-5p,,,,
SCAMP4,0.05769230769230771,0.143,0.61,0.44,3,hsa-miR-5582-5p,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,,
CRK,0.05769230769230771,0.234,0.61,0.56,3,hsa-miR-548ah-5p,hsa-miR-520d-3p,hsa-miR-512-5p,,,,
CSNK2A1,0.05769230769230771,0.101,0.61,0.377,3,hsa-miR-3975,hsa-miR-1205,hsa-miR-6734-3p,,,,
RHOG,0.038461538461538436,0.0622,0.61,0.205,2,hsa-miR-5582-5p,hsa-miR-6735-5p,,,,,
RPL14,0.038461538461538436,0.227,0.61,0.45,2,hsa-miR-520d-3p,hsa-miR-6769b-5p,,,,,
RPL41,0.038461538461538436,0.245,0.61,0.475,2,hsa-miR-6769b-5p,hsa-miR-6735-5p,,,,,
SPATA5,0.038461538461538436,0.186,0.61,0.395,2,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,,,
TBC1D13,0.038461538461538436,0.325,0.61,0.58,2,hsa-miR-548h-5p,hsa-miR-4516,,,,,
SSU72,0.038461538461538436,0.197,0.61,0.41,2,hsa-miR-5582-5p,hsa-miR-6715b-5p,,,,,
SOWAHA,0.038461538461538436,0.0353,0.61,0.15,2,hsa-miR-6769b-5p,hsa-miR-6756-5p,,,,,
AHCY,0.038461538461538436,0.079,0.61,0.235,2,hsa-miR-6715b-5p,hsa-miR-29b-1-5p,,,,,
TBL1XR1,0.038461538461538436,0.291,0.61,0.535,2,hsa-miR-4516,hsa-miR-548ah-5p,,,,,
TCF3,0.038461538461538436,0.0733,0.61,0.225,2,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,,,
RHOC,0.038461538461538436,0.137,0.61,0.325,2,hsa-miR-548ah-5p,hsa-miR-520d-3p,,,,,
SRSF1,0.038461538461538436,0.257,0.61,0.49,2,hsa-miR-6735-5p,hsa-miR-6734-3p,,,,,
