"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5"
"COMMD3-BMI1","0.208","0.458","0.231","1","hsa-miR-548h-5p","","","",""
"CORO2A","0.184","0.458","0.202","1","hsa-miR-937-5p","","","",""
"COX8A","0.135","0.458","0.144","1","hsa-miR-139-3p","","","",""
"CPLX1","0.0834","0.458","0.0866","1","hsa-miR-3178","","","",""
"CREB3L2","0.0599","0.458","0.202","2","hsa-miR-4472","hsa-miR-6769b-5p","","",""
"CRX","0.140","0.458","0.150","1","hsa-miR-3178","","","",""
"CSK","0.170","0.458","0.185","1","hsa-miR-6769b-5p","","","",""
"CTTN","0.180","0.458","0.196","1","hsa-miR-4749-5p","","","",""
"CTU1","0.0780","0.458","0.0808","1","hsa-miR-6895-3p","","","",""
"CXCL8","0.189","0.458","0.208","1","hsa-miR-4647","","","",""
"CYB561A3","0.135","0.458","0.144","1","hsa-miR-937-5p","","","",""
"CYP11A1","0.115","0.458","0.121","1","hsa-miR-6769b-5p","","","",""
"CYP4A11","0.203","0.458","0.225","1","hsa-miR-6769b-5p","","","",""
"CYP4A22","0.194","0.458","0.214","1","hsa-miR-6769b-5p","","","",""
"CYP4F11","0.0194","0.458","0.110","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"DAAM2","0.104","0.458","0.110","1","hsa-miR-4439","","","",""
"DBN1","0.0440","0.458","0.170","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"DCAKD","0.180","0.458","0.196","1","hsa-miR-4472","","","",""
"DCP2","0.0468","0.458","0.176","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"DDX39B","0.0482","0.458","0.179","2","hsa-miR-4472","hsa-miR-4647","","",""
"DDX53","0.0672","0.458","0.0693","1","hsa-miR-6895-3p","","","",""
"DENND6B","0.130","0.458","0.139","1","hsa-miR-3178","","","",""
"DGCR8","0.104","0.458","0.110","1","hsa-miR-4472","","","",""
"DIRAS1","0.160","0.458","0.173","1","hsa-miR-6769b-5p","","","",""
"DISC1","0.0289","0.458","0.136","2","hsa-miR-4749-5p","hsa-miR-6895-3p","","",""
"DMKN","0.208","0.458","0.231","1","hsa-miR-7846-3p","","","",""
"DNAAF2","0.0887","0.458","0.0923","1","hsa-miR-6857-3p","","","",""
"DNAJA2","0.0834","0.458","0.0866","1","hsa-miR-4647","","","",""
"DNPEP","0.170","0.458","0.185","1","hsa-miR-3155b","","","",""
"DTX1","0.0993","0.458","0.104","1","hsa-miR-6895-3p","","","",""
"DUSP14","0.170","0.458","0.185","1","hsa-miR-4749-5p","","","",""
"E2F4","0.175","0.458","0.190","1","hsa-miR-4472","","","",""
"EBNA1BP2","0.107","0.458","0.283","2","hsa-miR-6895-3p","hsa-miR-548h-5p","","",""
