Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5
CEP97,0.03448275862068961,0.509,0.549,0.693,1,hsa-miR-6769b-5p,,,,
KLHL28,0.03448275862068961,0.506,0.547,0.687,1,hsa-miR-548h-5p,,,,
PHLDA3,0.03448275862068961,0.503,0.544,0.681,1,hsa-miR-4472,,,,
E2F3,0.03448275862068961,0.549,0.574,0.773,1,hsa-miR-139-3p,,,,
RDH11,0.03448275862068961,0.491,0.538,0.658,1,hsa-miR-548h-5p,,,,
RBM28,0.03448275862068961,0.543,0.569,0.762,1,hsa-miR-4462,,,,
LUZP1,0.03448275862068961,0.491,0.538,0.658,1,hsa-miR-937-5p,,,,
ENPP5,0.03448275862068961,0.491,0.538,0.658,1,hsa-miR-548h-5p,,,,
DCTN6,0.03448275862068961,0.491,0.538,0.658,1,hsa-miR-937-5p,,,,
TMEM120B,0.03448275862068961,0.488,0.537,0.652,1,hsa-miR-3155b,,,,
SLC38A7,0.03448275862068961,0.488,0.537,0.652,1,hsa-miR-6769b-5p,,,,
AKAP11,0.03448275862068961,0.494,0.54,0.664,1,hsa-miR-548h-5p,,,,
MAFK,0.03448275862068961,0.488,0.537,0.652,1,hsa-miR-4749-5p,,,,
LARP1,0.03448275862068961,0.549,0.574,0.773,1,hsa-miR-6895-3p,,,,
HSPA1B,0.03448275862068961,0.488,0.537,0.652,1,hsa-miR-937-5p,,,,
FAHD1,0.03448275862068961,0.488,0.537,0.652,1,hsa-miR-4647,,,,
RACGAP1,0.03448275862068961,0.484,0.536,0.646,1,hsa-miR-3155b,,,,
OTUD7B,0.03448275862068961,0.484,0.536,0.646,1,hsa-miR-7846-3p,,,,
WASF2,0.03448275862068961,0.491,0.538,0.658,1,hsa-miR-3155b,,,,
EIF1AX,0.03448275862068961,0.494,0.54,0.664,1,hsa-miR-4647,,,,
PABPN1,0.03448275862068961,0.503,0.544,0.681,1,hsa-miR-6769b-5p,,,,
PHB2,0.03448275862068961,0.543,0.569,0.762,1,hsa-miR-548h-5p,,,,
NPR1,0.03448275862068961,0.503,0.544,0.681,1,hsa-miR-7846-3p,,,,
DYRK2,0.03448275862068961,0.503,0.544,0.681,1,hsa-miR-4472,,,,
C5orf51,0.03448275862068961,0.503,0.544,0.681,1,hsa-miR-4472,,,,
ZNF107,0.03448275862068961,0.5,0.543,0.675,1,hsa-miR-3178,,,,
ZBTB20,0.03448275862068961,0.5,0.543,0.675,1,hsa-miR-548h-5p,,,,
NAA50,0.03448275862068961,0.543,0.569,0.762,1,hsa-miR-4472,,,,
UHMK1,0.03448275862068961,0.5,0.543,0.675,1,hsa-miR-548h-5p,,,,
H3F3B,0.03448275862068961,0.494,0.54,0.664,1,hsa-miR-4647,,,,
RAB32,0.03448275862068961,0.5,0.543,0.675,1,hsa-miR-548h-5p,,,,
C16orf58,0.03448275862068961,0.5,0.543,0.675,1,hsa-miR-4472,,,,
TBC1D13,0.03448275862068961,0.497,0.542,0.669,1,hsa-miR-548h-5p,,,,
DDX6,0.03448275862068961,0.497,0.542,0.669,1,hsa-miR-4472,,,,
ABHD2,0.03448275862068961,0.497,0.542,0.669,1,hsa-miR-3155b,,,,
TRAPPC2,0.03448275862068961,0.494,0.54,0.664,1,hsa-miR-6769b-5p,,,,
AGTRAP,0.03448275862068961,0.439,0.511,0.566,1,hsa-miR-6895-3p,,,,
ZMYM1,0.03448275862068961,0.436,0.508,0.56,1,hsa-miR-3178,,,,
NOL9,0.03448275862068961,0.436,0.508,0.56,1,hsa-miR-3178,,,,
SOX4,0.03448275862068961,0.634,0.647,0.97,1,hsa-miR-139-3p,,,,
CYP20A1,0.03448275862068961,0.662,0.673,1.04,1,hsa-miR-548h-5p,,,,
RAB5B,0.03448275862068961,0.664,0.674,1.05,1,hsa-miR-6769b-5p,,,,
COL4A3BP,0.03448275862068961,0.397,0.494,0.496,1,hsa-miR-6769b-5p,,,,
SPCS3,0.03448275862068961,0.394,0.493,0.491,1,hsa-miR-548h-5p,,,,
LYRM7,0.03448275862068961,0.394,0.493,0.491,1,hsa-miR-3155b,,,,
INSIG1,0.03448275862068961,0.394,0.493,0.491,1,hsa-miR-937-5p,,,,
GIPC1,0.03448275862068961,0.394,0.493,0.491,1,hsa-miR-4749-5p,,,,
ATP5A1,0.03448275862068961,0.394,0.493,0.491,1,hsa-miR-139-3p,,,,
UBXN2A,0.03448275862068961,0.664,0.674,1.05,1,hsa-miR-937-5p,,,,
ACTN4,0.03448275862068961,0.394,0.493,0.491,1,hsa-miR-548h-5p,,,,
ZNRF2,0.03448275862068961,0.383,0.491,0.473,1,hsa-miR-548h-5p,,,,
