Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5
KLHL11,0.03448275862068961,0.408,0.499,0.514,1,hsa-miR-548h-5p,,,,
FAM208A,0.03448275862068961,0.411,0.5,0.519,1,hsa-miR-6895-3p,,,,
DDA1,0.03448275862068961,0.411,0.5,0.519,1,hsa-miR-4472,,,,
CHMP1B,0.03448275862068961,0.415,0.5,0.525,1,hsa-miR-6895-3p,,,,
MLLT1,0.03448275862068961,0.632,0.645,0.964,1,hsa-miR-4749-5p,,,,
CABP4,0.03448275862068961,0.415,0.5,0.525,1,hsa-miR-3155b,,,,
YAE1D1,0.03448275862068961,0.408,0.499,0.514,1,hsa-miR-139-3p,,,,
ITPRIPL2,0.03448275862068961,0.408,0.499,0.514,1,hsa-miR-6857-3p,,,,
NDUFV3,0.03448275862068961,0.415,0.5,0.525,1,hsa-miR-3155b,,,,
ETNK1,0.03448275862068961,0.408,0.499,0.514,1,hsa-miR-548h-5p,,,,
SP110,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-6769b-5p,,,,
TPM3,0.03448275862068961,0.632,0.645,0.964,1,hsa-miR-6895-3p,,,,
UBE2H,0.03448275862068961,0.404,0.497,0.508,1,hsa-miR-548h-5p,,,,
TERF2,0.03448275862068961,0.404,0.497,0.508,1,hsa-miR-139-3p,,,,
SYNCRIP,0.03448275862068961,0.404,0.497,0.508,1,hsa-miR-548h-5p,,,,
GPC4,0.03448275862068961,0.415,0.5,0.525,1,hsa-miR-548h-5p,,,,
OSTM1,0.03448275862068961,0.411,0.5,0.519,1,hsa-miR-6895-3p,,,,
TBC1D19,0.03448275862068961,0.418,0.502,0.531,1,hsa-miR-4647,,,,
SPRYD4,0.03448275862068961,0.411,0.5,0.519,1,hsa-miR-548h-5p,,,,
SETD7,0.03448275862068961,0.418,0.502,0.531,1,hsa-miR-548h-5p,,,,
MLF2,0.03448275862068961,0.418,0.502,0.531,1,hsa-miR-4647,,,,
ALG14,0.03448275862068961,0.418,0.502,0.531,1,hsa-miR-139-3p,,,,
CACNG8,0.03448275862068961,0.627,0.642,0.952,1,hsa-miR-6895-3p,,,,
ZCCHC3,0.03448275862068961,0.411,0.5,0.519,1,hsa-miR-4749-5p,,,,
STX4,0.03448275862068961,0.411,0.5,0.519,1,hsa-miR-3178,,,,
SLC35C2,0.03448275862068961,0.415,0.5,0.525,1,hsa-miR-4472,,,,
PAK2,0.03448275862068961,0.415,0.5,0.525,1,hsa-miR-7846-3p,,,,
SDE2,0.03448275862068961,0.415,0.5,0.525,1,hsa-miR-548h-5p,,,,
RHOA,0.03448275862068961,0.415,0.5,0.525,1,hsa-miR-6769b-5p,,,,
PTPRF,0.03448275862068961,0.411,0.5,0.519,1,hsa-miR-4472,,,,
POTED,0.03448275862068961,0.415,0.5,0.525,1,hsa-miR-6895-3p,,,,
PITPNM3,0.03448275862068961,0.415,0.5,0.525,1,hsa-miR-6769b-5p,,,,
VAV3,0.03448275862068961,0.627,0.642,0.952,1,hsa-miR-3178,,,,
SPATA6,0.03448275862068961,0.249,0.462,0.283,1,hsa-miR-4472,,,,
BBS10,0.03448275862068961,0.236,0.462,0.265,1,hsa-miR-548h-5p,,,,
SMIM15,0.03448275862068961,0.266,0.462,0.306,1,hsa-miR-548h-5p,,,,
LRRC45,0.03448275862068961,0.0834,0.458,0.0866,1,hsa-miR-139-3p,,,,
MAOB,0.03448275862068961,0.125,0.458,0.133,1,hsa-miR-4647,,,,
MAN1C1,0.03448275862068961,0.155,0.458,0.167,1,hsa-miR-6769b-5p,,,,
MALL,0.03448275862068961,0.125,0.458,0.133,1,hsa-miR-3178,,,,
LURAP1L,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-7846-3p,,,,
LTBP4,0.03448275862068961,0.135,0.458,0.144,1,hsa-miR-4749-5p,,,,
LRRTM2,0.03448275862068961,0.11,0.458,0.115,1,hsa-miR-6895-3p,,,,
LRRC4,0.03448275862068961,0.094,0.458,0.0981,1,hsa-miR-6895-3p,,,,
LILRB2,0.03448275862068961,0.16,0.458,0.173,1,hsa-miR-937-5p,,,,
LRRC1,0.03448275862068961,0.17,0.458,0.185,1,hsa-miR-4647,,,,
LRPPRC,0.03448275862068961,0.0993,0.458,0.104,1,hsa-miR-139-3p,,,,
LRP3,0.03448275862068961,0.17,0.458,0.185,1,hsa-miR-4472,,,,
LMOD3,0.03448275862068961,0.184,0.458,0.202,1,hsa-miR-3155b,,,,
LINC01556,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-6895-3p,,,,
LIMD2,0.03448275862068961,0.184,0.458,0.202,1,hsa-miR-139-3p,,,,
MAP1S,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-4472,,,,
MAPK8IP2,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-4472,,,,
MBOAT1,0.03448275862068961,0.0563,0.458,0.0577,1,hsa-miR-3178,,,,
MCU,0.03448275862068961,0.189,0.458,0.208,1,hsa-miR-139-3p,,,,
MDFI,0.03448275862068961,0.189,0.458,0.208,1,hsa-miR-6769b-5p,,,,
MDFIC,0.03448275862068961,0.199,0.458,0.219,1,hsa-miR-548h-5p,,,,
METAP1,0.03448275862068961,0.078,0.458,0.0808,1,hsa-miR-6895-3p,,,,
METRN,0.03448275862068961,0.0618,0.458,0.0635,1,hsa-miR-937-5p,,,,
MFRP,0.03448275862068961,0.189,0.458,0.208,1,hsa-miR-6769b-5p,,,,
MIOX,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-6769b-5p,,,,
MLH1,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-7846-3p,,,,
MMP11,0.03448275862068961,0.0229,0.458,0.0231,1,hsa-miR-139-3p,,,,
MPIG6B,0.03448275862068961,0.0563,0.458,0.0577,1,hsa-miR-3178,,,,
MRPL9,0.03448275862068961,0.078,0.458,0.0808,1,hsa-miR-139-3p,,,,
MRPS15,0.03448275862068961,0.184,0.458,0.202,1,hsa-miR-6895-3p,,,,
MRPS5,0.03448275862068961,0.17,0.458,0.185,1,hsa-miR-548h-5p,,,,
MSRB1,0.03448275862068961,0.145,0.458,0.156,1,hsa-miR-937-5p,,,,
LIMCH1,0.03448275862068961,0.155,0.458,0.167,1,hsa-miR-4462,,,,
LHX9,0.03448275862068961,0.0563,0.458,0.0577,1,hsa-miR-6895-3p,,,,
MUC17,0.03448275862068961,0.16,0.458,0.173,1,hsa-miR-6895-3p,,,,
HIST2H2BE,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-6769b-5p,,,,
HSPA14,0.03448275862068961,0.16,0.458,0.173,1,hsa-miR-4472,,,,
HOXD3,0.03448275862068961,0.15,0.458,0.162,1,hsa-miR-4749-5p,,,,
HOXD11,0.03448275862068961,0.194,0.458,0.214,1,hsa-miR-4749-5p,,,,
HOXC6,0.03448275862068961,0.17,0.458,0.185,1,hsa-miR-6769b-5p,,,,
HLA-A,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-139-3p,,,,
HIST3H3,0.03448275862068961,0.155,0.458,0.167,1,hsa-miR-6769b-5p,,,,
HIST1H4C,0.03448275862068961,0.104,0.458,0.11,1,hsa-miR-6895-3p,,,,
LHFPL3,0.03448275862068961,0.189,0.458,0.208,1,hsa-miR-4749-5p,,,,
HIST1H2BN,0.03448275862068961,0.104,0.458,0.11,1,hsa-miR-139-3p,,,,
HIST1H2AE,0.03448275862068961,0.165,0.458,0.179,1,hsa-miR-6769b-5p,,,,
HIC1,0.03448275862068961,0.0672,0.458,0.0693,1,hsa-miR-4749-5p,,,,
HHAT,0.03448275862068961,0.0887,0.458,0.0923,1,hsa-miR-6895-3p,,,,
HEMK1,0.03448275862068961,0.0887,0.458,0.0923,1,hsa-miR-4472,,,,
HELLS,0.03448275862068961,0.0618,0.458,0.0635,1,hsa-miR-6895-3p,,,,
HUS1,0.03448275862068961,0.155,0.458,0.167,1,hsa-miR-6769b-5p,,,,
ICK,0.03448275862068961,0.17,0.458,0.185,1,hsa-miR-4439,,,,
IFNGR2,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-6895-3p,,,,
IL17RA,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-4647,,,,
IVD,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-937-5p,,,,
JMJD1C,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-937-5p,,,,
JUN,0.03448275862068961,0.199,0.458,0.219,1,hsa-miR-3178,,,,
JUNB,0.03448275862068961,0.15,0.458,0.162,1,hsa-miR-3178,,,,
JUND,0.03448275862068961,0.145,0.458,0.156,1,hsa-miR-6869-3p,,,,
KANK2,0.03448275862068961,0.165,0.458,0.179,1,hsa-miR-139-3p,,,,
KCNE3,0.03448275862068961,0.104,0.458,0.11,1,hsa-miR-4472,,,,
KIAA1671,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-6895-3p,,,,
KLHL38,0.03448275862068961,0.0834,0.458,0.0866,1,hsa-miR-6857-3p,,,,
KLRC3,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-548h-5p,,,,
KRT78,0.03448275862068961,0.0342,0.458,0.0346,1,hsa-miR-4647,,,,
KRTAP9-6,0.03448275862068961,0.16,0.458,0.173,1,hsa-miR-4647,,,,
LARS,0.03448275862068961,0.184,0.458,0.202,1,hsa-miR-3155b,,,,
MTHFR,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-4472,,,,
NECTIN1,0.03448275862068961,0.199,0.458,0.219,1,hsa-miR-4749-5p,,,,
RTN4,0.03448275862068961,0.165,0.458,0.179,1,hsa-miR-4647,,,,
PTPN3,0.03448275862068961,0.14,0.458,0.15,1,hsa-miR-6895-3p,,,,
RANBP10,0.03448275862068961,0.104,0.458,0.11,1,hsa-miR-6857-3p,,,,
RAC3,0.03448275862068961,0.13,0.458,0.139,1,hsa-miR-3155b,,,,
RAB17,0.03448275862068961,0.104,0.458,0.11,1,hsa-miR-4749-5p,,,,
PYGO2,0.03448275862068961,0.094,0.458,0.0981,1,hsa-miR-3155b,,,,
PXN,0.03448275862068961,0.145,0.458,0.156,1,hsa-miR-139-3p,,,,
PTPN6,0.03448275862068961,0.13,0.458,0.139,1,hsa-miR-4472,,,,
PSAP,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-4472,,,,
PLSCR4,0.03448275862068961,0.078,0.458,0.0808,1,hsa-miR-6895-3p,,,,
PRSS8,0.03448275862068961,0.199,0.458,0.219,1,hsa-miR-4472,,,,
PRKG2,0.03448275862068961,0.175,0.458,0.19,1,hsa-miR-548h-5p,,,,
PREPL,0.03448275862068961,0.0887,0.458,0.0923,1,hsa-miR-3155b,,,,
PRELP,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-4472,,,,
PRCP,0.03448275862068961,0.0726,0.458,0.075,1,hsa-miR-6895-3p,,,,
PPFIA3,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-4462,,,,
RANBP2,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-4439,,,,
RASD1,0.03448275862068961,0.0834,0.458,0.0866,1,hsa-miR-139-3p,,,,
RASGRP3,0.03448275862068961,0.175,0.458,0.19,1,hsa-miR-3155b,,,,
RBCK1,0.03448275862068961,0.0887,0.458,0.0923,1,hsa-miR-6769b-5p,,,,
RBM22,0.03448275862068961,0.199,0.458,0.219,1,hsa-miR-3178,,,,
RCE1,0.03448275862068961,0.13,0.458,0.139,1,hsa-miR-4472,,,,
REG3A,0.03448275862068961,0.0618,0.458,0.0635,1,hsa-miR-4749-5p,,,,
RFWD3,0.03448275862068961,0.165,0.458,0.179,1,hsa-miR-6769b-5p,,,,
RHD,0.03448275862068961,0.194,0.458,0.214,1,hsa-miR-4647,,,,
RHEBP1,0.03448275862068961,0.125,0.458,0.133,1,hsa-miR-6857-3p,,,,
RHOXF2B,0.03448275862068961,0.13,0.458,0.139,1,hsa-miR-4472,,,,
RIMKLB,0.03448275862068961,0.145,0.458,0.156,1,hsa-miR-6895-3p,,,,
RND2,0.03448275862068961,0.155,0.458,0.167,1,hsa-miR-139-3p,,,,
RNF185,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-6769b-5p,,,,
RNF217,0.03448275862068961,0.199,0.458,0.219,1,hsa-miR-6895-3p,,,,
RPA1,0.03448275862068961,0.0887,0.458,0.0923,1,hsa-miR-139-3p,,,,
RPL22,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-6857-3p,,,,
PNPT1,0.03448275862068961,0.16,0.458,0.173,1,hsa-miR-3155b,,,,
PLPBP,0.03448275862068961,0.194,0.458,0.214,1,hsa-miR-937-5p,,,,
NECTIN3,0.03448275862068961,0.14,0.458,0.15,1,hsa-miR-548h-5p,,,,
NPVF,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-6895-3p,,,,
PADI1,0.03448275862068961,0.125,0.458,0.133,1,hsa-miR-4472,,,,
OLIG3,0.03448275862068961,0.14,0.458,0.15,1,hsa-miR-6895-3p,,,,
ODF2L,0.03448275862068961,0.194,0.458,0.214,1,hsa-miR-6895-3p,,,,
NUTM2E,0.03448275862068961,0.0285,0.458,0.0289,1,hsa-miR-937-5p,,,,
NUDT4,0.03448275862068961,0.094,0.458,0.0981,1,hsa-miR-6895-3p,,,,
NUBPL,0.03448275862068961,0.189,0.458,0.208,1,hsa-miR-3155b,,,,
NOB1,0.03448275862068961,0.11,0.458,0.115,1,hsa-miR-139-3p,,,,
PLET1,0.03448275862068961,0.165,0.458,0.179,1,hsa-miR-548h-5p,,,,
NLRP6,0.03448275862068961,0.115,0.458,0.121,1,hsa-miR-6769b-5p,,,,
NLRP12,0.03448275862068961,0.14,0.458,0.15,1,hsa-miR-4647,,,,
NLE1,0.03448275862068961,0.165,0.458,0.179,1,hsa-miR-4472,,,,
NKX6-1,0.03448275862068961,0.0618,0.458,0.0635,1,hsa-miR-937-5p,,,,
NICN1,0.03448275862068961,0.135,0.458,0.144,1,hsa-miR-3178,,,,
NFKBIB,0.03448275862068961,0.104,0.458,0.11,1,hsa-miR-4647,,,,
PALM,0.03448275862068961,0.0834,0.458,0.0866,1,hsa-miR-6895-3p,,,,
PAN2,0.03448275862068961,0.16,0.458,0.173,1,hsa-miR-3155b,,,,
PANX1,0.03448275862068961,0.165,0.458,0.179,1,hsa-miR-548h-5p,,,,
PAX5,0.03448275862068961,0.194,0.458,0.214,1,hsa-miR-139-3p,,,,
PBOV1,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-3155b,,,,
PBX2P1,0.03448275862068961,0.0993,0.458,0.104,1,hsa-miR-4647,,,,
PCBP1,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-7846-3p,,,,
PCYT1A,0.03448275862068961,0.189,0.458,0.208,1,hsa-miR-3155b,,,,
PDE7B,0.03448275862068961,0.155,0.458,0.167,1,hsa-miR-4647,,,,
PDZD11,0.03448275862068961,0.135,0.458,0.144,1,hsa-miR-4647,,,,
PEAK3,0.03448275862068961,0.0834,0.458,0.0866,1,hsa-miR-3178,,,,
PEX7,0.03448275862068961,0.14,0.458,0.15,1,hsa-miR-548h-5p,,,,
PHYKPL,0.03448275862068961,0.104,0.458,0.11,1,hsa-miR-6769b-5p,,,,
PIEZO1,0.03448275862068961,0.094,0.458,0.0981,1,hsa-miR-4472,,,,
PKNOX2,0.03448275862068961,0.184,0.458,0.202,1,hsa-miR-4472,,,,
PLD5,0.03448275862068961,0.14,0.458,0.15,1,hsa-miR-937-5p,,,,
PLEKHG7,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-548h-5p,,,,
HAUS5,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-6769b-5p,,,,
HAND2,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-139-3p,,,,
GZMM,0.03448275862068961,0.0453,0.458,0.0462,1,hsa-miR-139-3p,,,,
CASZ1,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-4749-5p,,,,
CD244,0.03448275862068961,0.0563,0.458,0.0577,1,hsa-miR-937-5p,,,,
CD1D,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-937-5p,,,,
CCNY,0.03448275862068961,0.16,0.458,0.173,1,hsa-miR-4472,,,,
CCNK,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-4647,,,,
CCDC36,0.03448275862068961,0.165,0.458,0.179,1,hsa-miR-139-3p,,,,
CCDC122,0.03448275862068961,0.0342,0.458,0.0346,1,hsa-miR-3178,,,,
CASKIN2,0.03448275862068961,0.135,0.458,0.144,1,hsa-miR-6769b-5p,,,,
C19orf44,0.03448275862068961,0.0672,0.458,0.0693,1,hsa-miR-4647,,,,
CARNMT1,0.03448275862068961,0.175,0.458,0.19,1,hsa-miR-937-5p,,,,
CAMK2A,0.03448275862068961,0.155,0.458,0.167,1,hsa-miR-4472,,,,
C9orf170,0.03448275862068961,0.175,0.458,0.19,1,hsa-miR-4647,,,,
C8orf44-SGK3,0.03448275862068961,0.125,0.458,0.133,1,hsa-miR-3155b,,,,
C5orf38,0.03448275862068961,0.078,0.458,0.0808,1,hsa-miR-6769b-5p,,,,
C2orf68,0.03448275862068961,0.0887,0.458,0.0923,1,hsa-miR-3155b,,,,
CD300E,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-6895-3p,,,,
CD3E,0.03448275862068961,0.11,0.458,0.115,1,hsa-miR-3155b,,,,
CDC6,0.03448275862068961,0.15,0.458,0.162,1,hsa-miR-6895-3p,,,,
CDK16,0.03448275862068961,0.175,0.458,0.19,1,hsa-miR-139-3p,,,,
CEBPD,0.03448275862068961,0.15,0.458,0.162,1,hsa-miR-4647,,,,
CEBPG,0.03448275862068961,0.194,0.458,0.214,1,hsa-miR-937-5p,,,,
CENPA,0.03448275862068961,0.184,0.458,0.202,1,hsa-miR-6895-3p,,,,
CEP350,0.03448275862068961,0.14,0.458,0.15,1,hsa-miR-4647,,,,
CFHR5,0.03448275862068961,0.11,0.458,0.115,1,hsa-miR-6895-3p,,,,
CLCN7,0.03448275862068961,0.165,0.458,0.179,1,hsa-miR-4749-5p,,,,
CLIC6,0.03448275862068961,0.11,0.458,0.115,1,hsa-miR-937-5p,,,,
CLPP,0.03448275862068961,0.135,0.458,0.144,1,hsa-miR-3155b,,,,
CNGA4,0.03448275862068961,0.0618,0.458,0.0635,1,hsa-miR-3155b,,,,
COL18A1,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-3155b,,,,
COL23A1,0.03448275862068961,0.0993,0.458,0.104,1,hsa-miR-3155b,,,,
COMMD3-BMI1,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-548h-5p,,,,
CORO2A,0.03448275862068961,0.184,0.458,0.202,1,hsa-miR-937-5p,,,,
C2CD2L,0.03448275862068961,0.14,0.458,0.15,1,hsa-miR-6895-3p,,,,
C14orf180,0.03448275862068961,0.0726,0.458,0.075,1,hsa-miR-139-3p,,,,
GRM5,0.03448275862068961,0.165,0.458,0.179,1,hsa-miR-548h-5p,,,,
AMPD3,0.03448275862068961,0.145,0.458,0.156,1,hsa-miR-4472,,,,
ARHGAP29,0.03448275862068961,0.189,0.458,0.208,1,hsa-miR-6895-3p,,,,
ARHGAP15,0.03448275862068961,0.13,0.458,0.139,1,hsa-miR-4647,,,,
APOC3,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-6895-3p,,,,
ANXA6,0.03448275862068961,0.135,0.458,0.144,1,hsa-miR-3155b,,,,
ANKRD46,0.03448275862068961,0.189,0.458,0.208,1,hsa-miR-937-5p,,,,
ANAPC7,0.03448275862068961,0.104,0.458,0.11,1,hsa-miR-3155b,,,,
AMH,0.03448275862068961,0.0993,0.458,0.104,1,hsa-miR-3178,,,,
BSND,0.03448275862068961,0.16,0.458,0.173,1,hsa-miR-6895-3p,,,,
AMDHD2,0.03448275862068961,0.104,0.458,0.11,1,hsa-miR-139-3p,,,,
ALOX15,0.03448275862068961,0.15,0.458,0.162,1,hsa-miR-139-3p,,,,
AKR1B10,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-4439,,,,
AKIP1,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-3178,,,,
ACSM2A,0.03448275862068961,0.155,0.458,0.167,1,hsa-miR-6895-3p,,,,
ACAD8,0.03448275862068961,0.155,0.458,0.167,1,hsa-miR-6895-3p,,,,
ARHGEF18,0.03448275862068961,0.125,0.458,0.133,1,hsa-miR-6857-3p,,,,
ARIH2,0.03448275862068961,0.165,0.458,0.179,1,hsa-miR-6769b-5p,,,,
ARL6IP4,0.03448275862068961,0.155,0.458,0.167,1,hsa-miR-3155b,,,,
ASCL2,0.03448275862068961,0.194,0.458,0.214,1,hsa-miR-4472,,,,
ASPH,0.03448275862068961,0.184,0.458,0.202,1,hsa-miR-4647,,,,
ATIC,0.03448275862068961,0.199,0.458,0.219,1,hsa-miR-6895-3p,,,,
ATP1A2,0.03448275862068961,0.15,0.458,0.162,1,hsa-miR-3155b,,,,
ATP6V1F,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-3155b,,,,
ATP8B4,0.03448275862068961,0.0563,0.458,0.0577,1,hsa-miR-6857-3p,,,,
ATPAF1,0.03448275862068961,0.15,0.458,0.162,1,hsa-miR-4472,,,,
AXL,0.03448275862068961,0.0993,0.458,0.104,1,hsa-miR-6895-3p,,,,
BAIAP3,0.03448275862068961,0.0229,0.458,0.0231,1,hsa-miR-4462,,,,
BAZ2B,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-3178,,,,
BCAR1,0.03448275862068961,0.094,0.458,0.0981,1,hsa-miR-139-3p,,,,
BCL3,0.03448275862068961,0.189,0.458,0.208,1,hsa-miR-4647,,,,
BSDC1,0.03448275862068961,0.135,0.458,0.144,1,hsa-miR-6895-3p,,,,
BSN,0.03448275862068961,0.165,0.458,0.179,1,hsa-miR-3155b,,,,
COX8A,0.03448275862068961,0.135,0.458,0.144,1,hsa-miR-139-3p,,,,
CPLX1,0.03448275862068961,0.0834,0.458,0.0866,1,hsa-miR-3178,,,,
CRX,0.03448275862068961,0.14,0.458,0.15,1,hsa-miR-3178,,,,
FASTK,0.03448275862068961,0.13,0.458,0.139,1,hsa-miR-4472,,,,
FRY,0.03448275862068961,0.199,0.458,0.219,1,hsa-miR-548h-5p,,,,
FGFR4,0.03448275862068961,0.15,0.458,0.162,1,hsa-miR-4472,,,,
FGF9,0.03448275862068961,0.155,0.458,0.167,1,hsa-miR-6895-3p,,,,
FGB,0.03448275862068961,0.0993,0.458,0.104,1,hsa-miR-3155b,,,,
FEZ2,0.03448275862068961,0.0834,0.458,0.0866,1,hsa-miR-4439,,,,
FBXO32,0.03448275862068961,0.0398,0.458,0.0404,1,hsa-miR-4647,,,,
FARSA,0.03448275862068961,0.17,0.458,0.185,1,hsa-miR-4472,,,,
CSK,0.03448275862068961,0.17,0.458,0.185,1,hsa-miR-6769b-5p,,,,
FAR2,0.03448275862068961,0.0993,0.458,0.104,1,hsa-miR-6895-3p,,,,
FAM222B,0.03448275862068961,0.184,0.458,0.202,1,hsa-miR-4462,,,,
FAM214B,0.03448275862068961,0.0508,0.458,0.0519,1,hsa-miR-6895-3p,,,,
FAM184B,0.03448275862068961,0.0453,0.458,0.0462,1,hsa-miR-139-3p,,,,
FAM162A,0.03448275862068961,0.0834,0.458,0.0866,1,hsa-miR-139-3p,,,,
FAM109A,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-937-5p,,,,
FTSJ3,0.03448275862068961,0.175,0.458,0.19,1,hsa-miR-6769b-5p,,,,
FXYD1,0.03448275862068961,0.15,0.458,0.162,1,hsa-miR-3178,,,,
G6PD,0.03448275862068961,0.14,0.458,0.15,1,hsa-miR-6769b-5p,,,,
GBP6,0.03448275862068961,0.13,0.458,0.139,1,hsa-miR-3155b,,,,
GCLM,0.03448275862068961,0.0993,0.458,0.104,1,hsa-miR-3155b,,,,
GDI2,0.03448275862068961,0.0563,0.458,0.0577,1,hsa-miR-4647,,,,
GEM,0.03448275862068961,0.13,0.458,0.139,1,hsa-miR-3155b,,,,
GEMIN2,0.03448275862068961,0.094,0.458,0.0981,1,hsa-miR-4647,,,,
GFER,0.03448275862068961,0.14,0.458,0.15,1,hsa-miR-4472,,,,
GFM1,0.03448275862068961,0.0285,0.458,0.0289,1,hsa-miR-4647,,,,
GFRA1,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-139-3p,,,,
GIMAP4,0.03448275862068961,0.189,0.458,0.208,1,hsa-miR-548h-5p,,,,
GLI2,0.03448275862068961,0.184,0.458,0.202,1,hsa-miR-6769b-5p,,,,
GNB2,0.03448275862068961,0.135,0.458,0.144,1,hsa-miR-4472,,,,
GPI,0.03448275862068961,0.145,0.458,0.156,1,hsa-miR-6895-3p,,,,
GPR20,0.03448275862068961,0.125,0.458,0.133,1,hsa-miR-4749-5p,,,,
GPR82,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-6769b-5p,,,,
F2R,0.03448275862068961,0.194,0.458,0.214,1,hsa-miR-4749-5p,,,,
EXOG,0.03448275862068961,0.0834,0.458,0.0866,1,hsa-miR-3155b,,,,
ESRRB,0.03448275862068961,0.0508,0.458,0.0519,1,hsa-miR-6769b-5p,,,,
DNAAF2,0.03448275862068961,0.0887,0.458,0.0923,1,hsa-miR-6857-3p,,,,
CTTN,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-4749-5p,,,,
CTU1,0.03448275862068961,0.078,0.458,0.0808,1,hsa-miR-6895-3p,,,,
CXCL8,0.03448275862068961,0.189,0.458,0.208,1,hsa-miR-4647,,,,
CYB561A3,0.03448275862068961,0.135,0.458,0.144,1,hsa-miR-937-5p,,,,
CYP11A1,0.03448275862068961,0.115,0.458,0.121,1,hsa-miR-6769b-5p,,,,
CYP4A11,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-6769b-5p,,,,
CYP4A22,0.03448275862068961,0.194,0.458,0.214,1,hsa-miR-6769b-5p,,,,
DAAM2,0.03448275862068961,0.104,0.458,0.11,1,hsa-miR-4439,,,,
DCAKD,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-4472,,,,
DDX53,0.03448275862068961,0.0672,0.458,0.0693,1,hsa-miR-6895-3p,,,,
DENND6B,0.03448275862068961,0.13,0.458,0.139,1,hsa-miR-3178,,,,
DGCR8,0.03448275862068961,0.104,0.458,0.11,1,hsa-miR-4472,,,,
DIRAS1,0.03448275862068961,0.16,0.458,0.173,1,hsa-miR-6769b-5p,,,,
DMKN,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-7846-3p,,,,
DNAJA2,0.03448275862068961,0.0834,0.458,0.0866,1,hsa-miR-4647,,,,
ERP44,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-937-5p,,,,
DNPEP,0.03448275862068961,0.17,0.458,0.185,1,hsa-miR-3155b,,,,
DTX1,0.03448275862068961,0.0993,0.458,0.104,1,hsa-miR-6895-3p,,,,
DUSP14,0.03448275862068961,0.17,0.458,0.185,1,hsa-miR-4749-5p,,,,
E2F4,0.03448275862068961,0.175,0.458,0.19,1,hsa-miR-4472,,,,
EED,0.03448275862068961,0.145,0.458,0.156,1,hsa-miR-3155b,,,,
EFHC1,0.03448275862068961,0.175,0.458,0.19,1,hsa-miR-3155b,,,,
EFNA3,0.03448275862068961,0.17,0.458,0.185,1,hsa-miR-4472,,,,
ELAVL1,0.03448275862068961,0.125,0.458,0.133,1,hsa-miR-139-3p,,,,
ELN,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-4472,,,,
ELOVL7,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-6895-3p,,,,
EN1,0.03448275862068961,0.125,0.458,0.133,1,hsa-miR-139-3p,,,,
