Gene Symbol,gene_score
SP110,0.04347826086956519
OTUB1,0.04347826086956519
MIOX,0.04347826086956519
TMEM50A,0.04347826086956519
HMGA1,0.04347826086956519
SMCR8,0.04347826086956519
HMGB1,0.04347826086956519
GDI1,0.04347826086956519
YWHAE,0.04347826086956519
TCF3,0.04347826086956519
MED7,0.04347826086956519
ABHD17B,0.04347826086956519
CDH6,0.04347826086956519
ONECUT3,0.04347826086956519
EVI5L,0.04347826086956519
PRRC2B,0.04347826086956519
VEGFA,0.04347826086956519
ARHGAP39,0.04347826086956519
IGFBP5,0.04347826086956519
CASTOR2,0.04347826086956519
LSG1,0.04347826086956519
DSN1,0.04347826086956519
TIMM8A,0.04347826086956519
HCFC1,0.04347826086956519
CBX5,0.04347826086956519
DOT1L,0.04347826086956519
HPCAL1,0.04347826086956519
