Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11
EIF1AD,0.02409638554216864,0.391,0.722,0.671,2,hsa-miR-3940-5p,hsa-miR-4728-5p,,,,,,,,,
HOXA10,0.02409638554216864,0.391,0.722,0.671,2,hsa-miR-320a,hsa-miR-4783-3p,,,,,,,,,
HSD17B12,0.02409638554216864,0.613,0.777,1.02,2,hsa-miR-1307-3p,hsa-miR-4728-5p,,,,,,,,,
KPNA2,0.02409638554216864,0.391,0.722,0.671,2,hsa-miR-4276,hsa-miR-1203,,,,,,,,,
NCKIPSD,0.02409638554216864,0.391,0.722,0.671,2,hsa-miR-4728-5p,hsa-miR-6090,,,,,,,,,
SSR1,0.02409638554216864,0.391,0.722,0.671,2,hsa-miR-4728-5p,hsa-miR-1343-3p,,,,,,,,,
SURF4,0.02409638554216864,0.391,0.722,0.671,2,hsa-miR-3940-5p,hsa-miR-575,,,,,,,,,
ZNF607,0.02409638554216864,0.391,0.722,0.671,2,hsa-miR-320a,hsa-miR-6131,,,,,,,,,
GLUL,0.02409638554216864,0.613,0.777,1.02,2,hsa-miR-320a,hsa-miR-4728-5p,,,,,,,,,
ZNF284,0.02409638554216864,0.379,0.72,0.654,2,hsa-miR-1307-3p,hsa-miR-4728-5p,,,,,,,,,
CRY2,0.02409638554216864,0.532,0.759,0.881,2,hsa-miR-1233-5p,hsa-miR-4728-5p,,,,,,,,,
TCF23,0.02409638554216864,0.373,0.72,0.646,2,hsa-miR-6746-5p,hsa-miR-4728-5p,,,,,,,,,
ZNF747,0.02409638554216864,0.355,0.717,0.622,2,hsa-miR-6756-5p,hsa-miR-6766-5p,,,,,,,,,
PHB2,0.02409638554216864,0.639,0.779,1.07,2,hsa-miR-4525,hsa-miR-4728-5p,,,,,,,,,
TOMM20,0.02409638554216864,0.355,0.717,0.622,2,hsa-miR-1233-5p,hsa-miR-4728-5p,,,,,,,,,
SETD5,0.02409638554216864,0.63,0.779,1.05,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
TPRG1L,0.02409638554216864,0.349,0.717,0.614,2,hsa-miR-3940-5p,hsa-miR-1343-3p,,,,,,,,,
ARL5B,0.02409638554216864,0.63,0.779,1.05,2,hsa-miR-4728-5p,hsa-miR-6131,,,,,,,,,
ZBTB3,0.02409638554216864,0.355,0.717,0.622,2,hsa-miR-4728-5p,hsa-miR-4532,,,,,,,,,
ARPP19,0.02409638554216864,0.808,0.849,1.48,2,hsa-miR-320a,hsa-miR-4525,,,,,,,,,
ZBTB7B,0.02409638554216864,0.361,0.717,0.63,2,hsa-miR-4728-5p,hsa-miR-6090,,,,,,,,,
ARF1,0.02409638554216864,0.373,0.72,0.646,2,hsa-miR-320a,hsa-miR-3940-5p,,,,,,,,,
RGP1,0.02409638554216864,0.379,0.72,0.654,2,hsa-miR-4525,hsa-miR-6800-5p,,,,,,,,,
AS3MT,0.02409638554216864,0.379,0.72,0.654,2,hsa-miR-1343-3p,hsa-miR-6746-5p,,,,,,,,,
TIMM8A,0.02409638554216864,0.621,0.779,1.03,2,hsa-miR-1343-3p,hsa-miR-4783-3p,,,,,,,,,
CHST6,0.02409638554216864,0.379,0.72,0.654,2,hsa-miR-575,hsa-miR-4525,,,,,,,,,
CNOT6L,0.02409638554216864,0.379,0.72,0.654,2,hsa-miR-4728-5p,hsa-miR-4687-5p,,,,,,,,,
EEF2,0.02409638554216864,0.373,0.72,0.646,2,hsa-miR-320a,hsa-miR-6090,,,,,,,,,
IRF2BP2,0.02409638554216864,0.373,0.72,0.646,2,hsa-miR-320a,hsa-miR-3940-5p,,,,,,,,,
MRRF,0.02409638554216864,0.379,0.72,0.654,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
POLR2E,0.02409638554216864,0.373,0.72,0.646,2,hsa-miR-1343-3p,hsa-miR-1233-5p,,,,,,,,,
TNPO2,0.02409638554216864,0.608,0.776,1.01,2,hsa-miR-197-5p,hsa-miR-4690-5p,,,,,,,,,
SSBP2,0.02409638554216864,0.608,0.776,1.01,2,hsa-miR-4728-5p,hsa-miR-1343-3p,,,,,,,,,
HOOK3,0.02409638554216864,0.808,0.849,1.48,2,hsa-miR-4728-5p,hsa-miR-1307-3p,,,,,,,,,
CDC5L,0.02409638554216864,0.419,0.731,0.711,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
PHF12,0.02409638554216864,0.599,0.775,0.994,2,hsa-miR-1233-5p,hsa-miR-4728-5p,,,,,,,,,
MAP3K9,0.02409638554216864,0.599,0.775,0.994,2,hsa-miR-3184-5p,hsa-miR-6746-5p,,,,,,,,,
EIF2S3,0.02409638554216864,0.414,0.73,0.703,2,hsa-miR-4532,hsa-miR-4276,,,,,,,,,
NCBP3,0.02409638554216864,0.414,0.73,0.703,2,hsa-miR-642b-3p,hsa-miR-575,,,,,,,,,
PCNP,0.02409638554216864,0.414,0.73,0.703,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
ZNF585B,0.02409638554216864,0.414,0.73,0.703,2,hsa-miR-6746-5p,hsa-miR-6800-5p,,,,,,,,,
ACVR2B,0.02409638554216864,0.419,0.731,0.711,2,hsa-miR-6800-5p,hsa-miR-6802-5p,,,,,,,,,
LINC00598,0.02409638554216864,0.864,0.882,1.69,2,hsa-miR-4728-5p,hsa-miR-1307-3p,,,,,,,,,
MOB4,0.02409638554216864,0.419,0.731,0.711,2,hsa-miR-4532,hsa-miR-6131,,,,,,,,,
ZNF554,0.02409638554216864,0.402,0.727,0.687,2,hsa-miR-4532,hsa-miR-6131,,,,,,,,,
SYNCRIP,0.02409638554216864,0.419,0.731,0.711,2,hsa-miR-320a,hsa-miR-642b-3p,,,,,,,,,
TERF2,0.02409638554216864,0.419,0.731,0.711,2,hsa-miR-1228-5p,hsa-miR-6746-5p,,,,,,,,,
ZNF394,0.02409638554216864,0.595,0.773,0.986,2,hsa-miR-4728-5p,hsa-miR-320a,,,,,,,,,
FADS6,0.02409638554216864,0.425,0.732,0.719,2,hsa-miR-4728-5p,hsa-miR-4675,,,,,,,,,
IMP4,0.02409638554216864,0.425,0.732,0.719,2,hsa-miR-320a,hsa-miR-8073,,,,,,,,,
POFUT2,0.02409638554216864,0.425,0.732,0.719,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
ALG14,0.02409638554216864,0.442,0.733,0.743,2,hsa-miR-575,hsa-miR-8073,,,,,,,,,
SMC1A,0.02409638554216864,0.595,0.773,0.986,2,hsa-miR-320a,hsa-miR-6805-5p,,,,,,,,,
C11orf54,0.02409638554216864,0.604,0.776,1.0,2,hsa-miR-8073,hsa-miR-4728-5p,,,,,,,,,
SUSD1,0.02409638554216864,0.408,0.727,0.695,2,hsa-miR-4728-5p,hsa-miR-6131,,,,,,,,,
UBN2,0.02409638554216864,0.808,0.849,1.48,2,hsa-miR-4276,hsa-miR-575,,,,,,,,,
FAM151B,0.02409638554216864,0.408,0.727,0.695,2,hsa-miR-1343-3p,hsa-miR-4728-5p,,,,,,,,,
ICA1L,0.02409638554216864,0.396,0.725,0.679,2,hsa-miR-575,hsa-miR-1203,,,,,,,,,
XRCC6,0.02409638554216864,0.396,0.725,0.679,2,hsa-miR-1233-5p,hsa-miR-4728-5p,,,,,,,,,
NUDT3,0.02409638554216864,0.815,0.853,1.5,2,hsa-miR-8073,hsa-miR-1233-5p,,,,,,,,,
AHCYL2,0.02409638554216864,0.408,0.727,0.695,2,hsa-miR-197-5p,hsa-miR-4532,,,,,,,,,
ATP5A1,0.02409638554216864,0.402,0.727,0.687,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
E2F2,0.02409638554216864,0.408,0.727,0.695,2,hsa-miR-1343-3p,hsa-miR-6746-5p,,,,,,,,,
ECE1,0.02409638554216864,0.408,0.727,0.695,2,hsa-miR-4728-5p,hsa-miR-4787-5p,,,,,,,,,
ELMSAN1,0.02409638554216864,0.402,0.727,0.687,2,hsa-miR-6800-5p,hsa-miR-1228-5p,,,,,,,,,
GPR107,0.02409638554216864,0.408,0.727,0.695,2,hsa-miR-1343-3p,hsa-miR-4728-5p,,,,,,,,,
SPCS3,0.02409638554216864,0.402,0.727,0.687,2,hsa-miR-1238-5p,hsa-miR-4758-5p,,,,,,,,,
POTEG,0.02409638554216864,0.608,0.776,1.01,2,hsa-miR-4525,hsa-miR-4728-5p,,,,,,,,,
HSPE1-MOB4,0.02409638554216864,0.408,0.727,0.695,2,hsa-miR-4532,hsa-miR-6131,,,,,,,,,
INSIG1,0.02409638554216864,0.402,0.727,0.687,2,hsa-miR-642b-3p,hsa-miR-8073,,,,,,,,,
LPP,0.02409638554216864,0.608,0.776,1.01,2,hsa-miR-8073,hsa-miR-6746-5p,,,,,,,,,
LYRM7,0.02409638554216864,0.402,0.727,0.687,2,hsa-miR-1343-3p,hsa-miR-6131,,,,,,,,,
POTEM,0.02409638554216864,0.604,0.776,1.0,2,hsa-miR-4525,hsa-miR-4728-5p,,,,,,,,,
NCS1,0.02409638554216864,0.402,0.727,0.687,2,hsa-miR-3184-5p,hsa-miR-6805-5p,,,,,,,,,
MRNIP,0.02409638554216864,0.604,0.776,1.0,2,hsa-miR-4728-5p,hsa-miR-6746-5p,,,,,,,,,
TUBD1,0.02409638554216864,0.379,0.72,0.654,2,hsa-miR-1343-3p,hsa-miR-1307-3p,,,,,,,,,
PKHD1,0.02409638554216864,0.147,0.631,0.339,2,hsa-miR-1233-5p,hsa-miR-6090,,,,,,,,,
QDPR,0.02409638554216864,0.277,0.7,0.517,2,hsa-miR-4728-5p,hsa-miR-6746-5p,,,,,,,,,
PTCHD1,0.02409638554216864,0.265,0.7,0.501,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
LETM2,0.02409638554216864,0.0834,0.532,0.242,2,hsa-miR-1343-3p,hsa-miR-197-5p,,,,,,,,,
RNF121,0.02409638554216864,0.0834,0.532,0.242,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
ZNF436,0.02409638554216864,0.0834,0.532,0.242,2,hsa-miR-320a,hsa-miR-4690-5p,,,,,,,,,
APOBEC3C,0.02409638554216864,0.0933,0.544,0.259,2,hsa-miR-3184-5p,hsa-miR-4732-5p,,,,,,,,,
COL5A1,0.02409638554216864,0.0883,0.544,0.25,2,hsa-miR-1233-5p,hsa-miR-4728-5p,,,,,,,,,
DCX,0.02409638554216864,0.0933,0.544,0.259,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
EFNA3,0.02409638554216864,0.0933,0.544,0.259,2,hsa-miR-1233-5p,hsa-miR-4525,,,,,,,,,
GABRB2,0.02409638554216864,0.0933,0.544,0.259,2,hsa-miR-4758-5p,hsa-miR-1238-5p,,,,,,,,,
HIST1H2AE,0.02409638554216864,0.0883,0.544,0.25,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
MTHFD1L,0.02409638554216864,0.0883,0.544,0.25,2,hsa-miR-887-3p,hsa-miR-6131,,,,,,,,,
ORMDL2,0.02409638554216864,0.0883,0.544,0.25,2,hsa-miR-320a,hsa-miR-6131,,,,,,,,,
PPIB,0.02409638554216864,0.0933,0.544,0.259,2,hsa-miR-6784-5p,hsa-miR-3184-5p,,,,,,,,,
PTK7,0.02409638554216864,0.0933,0.544,0.259,2,hsa-miR-6756-5p,hsa-miR-6766-5p,,,,,,,,,
RPRM,0.02409638554216864,0.0933,0.544,0.259,2,hsa-miR-1233-5p,hsa-miR-6090,,,,,,,,,
SLC46A1,0.02409638554216864,0.0883,0.544,0.25,2,hsa-miR-4758-5p,hsa-miR-1238-5p,,,,,,,,,
SNU13,0.02409638554216864,0.0883,0.544,0.25,2,hsa-miR-4525,hsa-miR-4728-5p,,,,,,,,,
TAGLN,0.02409638554216864,0.0883,0.544,0.25,2,hsa-miR-4728-5p,hsa-miR-3184-5p,,,,,,,,,
THAP5,0.02409638554216864,0.0883,0.544,0.25,2,hsa-miR-6802-5p,hsa-miR-4728-5p,,,,,,,,,
THY1,0.02409638554216864,0.0933,0.544,0.259,2,hsa-miR-1228-5p,hsa-miR-4706,,,,,,,,,
FZD7,0.02409638554216864,0.0983,0.561,0.267,2,hsa-miR-4728-5p,hsa-miR-6805-5p,,,,,,,,,
GLIS2,0.02409638554216864,0.0983,0.561,0.267,2,hsa-miR-6756-5p,hsa-miR-6766-5p,,,,,,,,,
HAAO,0.02409638554216864,0.0834,0.532,0.242,2,hsa-miR-197-5p,hsa-miR-4787-5p,,,,,,,,,
DPH2,0.02409638554216864,0.0834,0.532,0.242,2,hsa-miR-4525,hsa-miR-4728-5p,,,,,,,,,
CTSA,0.02409638554216864,0.0834,0.532,0.242,2,hsa-miR-6805-5p,hsa-miR-8073,,,,,,,,,
MRPL36,0.02409638554216864,0.074,0.519,0.226,2,hsa-miR-1307-3p,hsa-miR-4532,,,,,,,,,
USP49,0.02409638554216864,0.0694,0.511,0.218,2,hsa-miR-1343-3p,hsa-miR-1307-3p,,,,,,,,,
ALOX15,0.02409638554216864,0.074,0.519,0.226,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
ALPI,0.02409638554216864,0.074,0.519,0.226,2,hsa-miR-4758-5p,hsa-miR-1238-5p,,,,,,,,,
ANXA11,0.02409638554216864,0.0787,0.519,0.234,2,hsa-miR-320a,hsa-miR-4675,,,,,,,,,
CAMK2A,0.02409638554216864,0.0787,0.519,0.234,2,hsa-miR-4525,hsa-miR-4728-5p,,,,,,,,,
CAVIN4,0.02409638554216864,0.074,0.519,0.226,2,hsa-miR-1343-3p,hsa-miR-1307-3p,,,,,,,,,
CPNE5,0.02409638554216864,0.0787,0.519,0.234,2,hsa-miR-6784-5p,hsa-miR-4532,,,,,,,,,
DPF1,0.02409638554216864,0.074,0.519,0.226,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
HIST3H3,0.02409638554216864,0.0787,0.519,0.234,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
NANOG,0.02409638554216864,0.074,0.519,0.226,2,hsa-miR-320a,hsa-miR-8073,,,,,,,,,
COL1A2,0.02409638554216864,0.0834,0.532,0.242,2,hsa-miR-4525,hsa-miR-6090,,,,,,,,,
PAX2,0.02409638554216864,0.074,0.519,0.226,2,hsa-miR-6805-5p,hsa-miR-3184-5p,,,,,,,,,
PDE7B,0.02409638554216864,0.0787,0.519,0.234,2,hsa-miR-1233-5p,hsa-miR-4728-5p,,,,,,,,,
RIMBP3C,0.02409638554216864,0.074,0.519,0.226,2,hsa-miR-6090,hsa-miR-4690-5p,,,,,,,,,
SGMS2,0.02409638554216864,0.074,0.519,0.226,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
SLFN12,0.02409638554216864,0.074,0.519,0.226,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
TMEM135,0.02409638554216864,0.074,0.519,0.226,2,hsa-miR-4758-5p,hsa-miR-1238-5p,,,,,,,,,
UBLCP1,0.02409638554216864,0.074,0.519,0.226,2,hsa-miR-1233-5p,hsa-miR-4728-5p,,,,,,,,,
VOPP1,0.02409638554216864,0.0787,0.519,0.234,2,hsa-miR-320a,hsa-miR-1343-3p,,,,,,,,,
ACADSB,0.02409638554216864,0.0834,0.532,0.242,2,hsa-miR-4648,hsa-miR-1233-5p,,,,,,,,,
HIST2H2AA4,0.02409638554216864,0.0983,0.561,0.267,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
NDRG3,0.02409638554216864,0.0983,0.561,0.267,2,hsa-miR-6805-5p,hsa-miR-6746-5p,,,,,,,,,
PTAFR,0.02409638554216864,0.0983,0.561,0.267,2,hsa-miR-8073,hsa-miR-1307-3p,,,,,,,,,
ASCL2,0.02409638554216864,0.119,0.597,0.299,2,hsa-miR-4728-5p,hsa-miR-3184-5p,,,,,,,,,
TJP3,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-6746-5p,hsa-miR-4728-5p,,,,,,,,,
UBA1,0.02409638554216864,0.103,0.568,0.275,2,hsa-miR-4525,hsa-miR-6805-5p,,,,,,,,,
VAV2,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-320a,hsa-miR-6090,,,,,,,,,
GCFC2,0.02409638554216864,0.114,0.585,0.291,2,hsa-miR-1233-5p,hsa-miR-4728-5p,,,,,,,,,
MFRP,0.02409638554216864,0.114,0.585,0.291,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
SRM,0.02409638554216864,0.114,0.585,0.291,2,hsa-miR-320a,hsa-miR-3184-5p,,,,,,,,,
TAS2R5,0.02409638554216864,0.114,0.585,0.291,2,hsa-miR-1307-3p,hsa-miR-4532,,,,,,,,,
ZDHHC6,0.02409638554216864,0.114,0.585,0.291,2,hsa-miR-8059,hsa-miR-8073,,,,,,,,,
ZNF419,0.02409638554216864,0.114,0.585,0.291,2,hsa-miR-1307-3p,hsa-miR-4532,,,,,,,,,
BMP2,0.02409638554216864,0.119,0.597,0.299,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
SNX19,0.02409638554216864,0.103,0.568,0.275,2,hsa-miR-4728-5p,hsa-miR-4787-5p,,,,,,,,,
KIAA0895,0.02409638554216864,0.119,0.597,0.299,2,hsa-miR-4758-5p,hsa-miR-1238-5p,,,,,,,,,
MGAT5B,0.02409638554216864,0.119,0.597,0.299,2,hsa-miR-4728-5p,hsa-miR-6805-5p,,,,,,,,,
OXA1L,0.02409638554216864,0.119,0.597,0.299,2,hsa-miR-1343-3p,hsa-miR-1307-3p,,,,,,,,,
RAD18,0.02409638554216864,0.119,0.597,0.299,2,hsa-miR-3184-5p,hsa-miR-8073,,,,,,,,,
RNF222,0.02409638554216864,0.119,0.597,0.299,2,hsa-miR-1307-3p,hsa-miR-4532,,,,,,,,,
STPG1,0.02409638554216864,0.119,0.597,0.299,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
TMEM51,0.02409638554216864,0.119,0.597,0.299,2,hsa-miR-320a,hsa-miR-6090,,,,,,,,,
TRIM59,0.02409638554216864,0.119,0.597,0.299,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
WDR75,0.02409638554216864,0.119,0.597,0.299,2,hsa-miR-1228-5p,hsa-miR-4728-5p,,,,,,,,,
SYK,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-642b-3p,hsa-miR-1343-3p,,,,,,,,,
SHROOM4,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-575,hsa-miR-1343-3p,,,,,,,,,
SEC14L5,0.02409638554216864,0.0983,0.561,0.267,2,hsa-miR-4732-5p,hsa-miR-6131,,,,,,,,,
DCAKD,0.02409638554216864,0.103,0.568,0.275,2,hsa-miR-4728-5p,hsa-miR-6805-5p,,,,,,,,,
STOML3,0.02409638554216864,0.0983,0.561,0.267,2,hsa-miR-4525,hsa-miR-4728-5p,,,,,,,,,
TMEM11,0.02409638554216864,0.0983,0.561,0.267,2,hsa-miR-4728-5p,hsa-miR-3184-5p,,,,,,,,,
ASPH,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-4728-5p,hsa-miR-3184-5p,,,,,,,,,
BHLHE40,0.02409638554216864,0.103,0.568,0.275,2,hsa-miR-8059,hsa-miR-6784-5p,,,,,,,,,
C11orf1,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-6802-5p,hsa-miR-6800-5p,,,,,,,,,
C20orf144,0.02409638554216864,0.103,0.568,0.275,2,hsa-miR-575,hsa-miR-1343-3p,,,,,,,,,
C9orf62,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-4728-5p,hsa-miR-6090,,,,,,,,,
CCDC69,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-575,hsa-miR-1343-3p,,,,,,,,,
CD40LG,0.02409638554216864,0.103,0.568,0.275,2,hsa-miR-4525,hsa-miR-4728-5p,,,,,,,,,
DSCR3,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-8059,hsa-miR-6746-5p,,,,,,,,,
SF3B1,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-4532,hsa-miR-1307-3p,,,,,,,,,
EIF2A,0.02409638554216864,0.103,0.568,0.275,2,hsa-miR-320a,hsa-miR-6131,,,,,,,,,
EPHB2,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-1233-5p,hsa-miR-4728-5p,,,,,,,,,
FAM222B,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-4525,hsa-miR-4787-5p,,,,,,,,,
HOXA5,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-4758-5p,hsa-miR-1238-5p,,,,,,,,,
IFITM3,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-6784-5p,hsa-miR-8073,,,,,,,,,
OGFOD1,0.02409638554216864,0.103,0.568,0.275,2,hsa-miR-1343-3p,hsa-miR-1307-3p,,,,,,,,,
PKNOX2,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-4525,hsa-miR-4728-5p,,,,,,,,,
PLXNA2,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-6131,hsa-miR-1343-3p,,,,,,,,,
PRPF4B,0.02409638554216864,0.109,0.568,0.283,2,hsa-miR-4525,hsa-miR-4728-5p,,,,,,,,,
SNRNP48,0.02409638554216864,0.0694,0.511,0.218,2,hsa-miR-320a,hsa-miR-575,,,,,,,,,
JUND,0.02409638554216864,0.0694,0.511,0.218,2,hsa-miR-663a,hsa-miR-6787-5p,,,,,,,,,
IL10RB,0.02409638554216864,0.0694,0.511,0.218,2,hsa-miR-1307-3p,hsa-miR-4532,,,,,,,,,
MPI,0.02409638554216864,0.0297,0.377,0.137,2,hsa-miR-320a,hsa-miR-8073,,,,,,,,,
RTN4R,0.02409638554216864,0.0234,0.354,0.121,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
BANP,0.02409638554216864,0.0265,0.377,0.129,2,hsa-miR-320a,hsa-miR-3184-5p,,,,,,,,,
CBWD1,0.02409638554216864,0.0331,0.377,0.145,2,hsa-miR-4758-5p,hsa-miR-1238-5p,,,,,,,,,
DBNDD1,0.02409638554216864,0.0265,0.377,0.129,2,hsa-miR-1233-5p,hsa-miR-6090,,,,,,,,,
DENND4B,0.02409638554216864,0.0265,0.377,0.129,2,hsa-miR-320a,hsa-miR-4783-3p,,,,,,,,,
EGFLAM,0.02409638554216864,0.0265,0.377,0.129,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
ERAP2,0.02409638554216864,0.0331,0.377,0.145,2,hsa-miR-1307-3p,hsa-miR-4532,,,,,,,,,
HDAC7,0.02409638554216864,0.0331,0.377,0.145,2,hsa-miR-1203,hsa-miR-575,,,,,,,,,
HIST1H2BB,0.02409638554216864,0.0331,0.377,0.145,2,hsa-miR-3940-5p,hsa-miR-6802-5p,,,,,,,,,
NAT9,0.02409638554216864,0.0331,0.377,0.145,2,hsa-miR-4728-5p,hsa-miR-8059,,,,,,,,,
MPPED1,0.02409638554216864,0.0234,0.354,0.121,2,hsa-miR-1343-3p,hsa-miR-6131,,,,,,,,,
NKX2-5,0.02409638554216864,0.0331,0.377,0.145,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
PIEZO1,0.02409638554216864,0.0297,0.377,0.137,2,hsa-miR-4525,hsa-miR-92b-5p,,,,,,,,,
SDF4,0.02409638554216864,0.0331,0.377,0.145,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
SERPINA1,0.02409638554216864,0.0331,0.377,0.145,2,hsa-miR-1343-3p,hsa-miR-4690-5p,,,,,,,,,
SLC9A3,0.02409638554216864,0.0297,0.377,0.137,2,hsa-miR-1228-5p,hsa-miR-4706,,,,,,,,,
SNRPA1,0.02409638554216864,0.0265,0.377,0.129,2,hsa-miR-4758-5p,hsa-miR-1238-5p,,,,,,,,,
ZNF843,0.02409638554216864,0.0331,0.377,0.145,2,hsa-miR-6746-5p,hsa-miR-4532,,,,,,,,,
BAIAP2L1,0.02409638554216864,0.0366,0.4,0.154,2,hsa-miR-1238-5p,hsa-miR-4758-5p,,,,,,,,,
GPT2,0.02409638554216864,0.0366,0.4,0.154,2,hsa-miR-320a,hsa-miR-4783-3p,,,,,,,,,
MRPS18A,0.02409638554216864,0.0234,0.354,0.121,2,hsa-miR-1238-5p,hsa-miR-4758-5p,,,,,,,,,
CST9,0.02409638554216864,0.0234,0.354,0.121,2,hsa-miR-4728-5p,hsa-miR-6805-5p,,,,,,,,,
TMIGD2,0.02409638554216864,0.0366,0.4,0.154,2,hsa-miR-6131,hsa-miR-1307-3p,,,,,,,,,
PMP22,0.02409638554216864,0.0152,0.311,0.097,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
NPW,0.02409638554216864,0.00247,0.132,0.0404,2,hsa-miR-663a,hsa-miR-6787-5p,,,,,,,,,
GRK5,0.02409638554216864,0.00367,0.153,0.0485,2,hsa-miR-4758-5p,hsa-miR-1238-5p,,,,,,,,,
MIF,0.02409638554216864,0.00367,0.153,0.0485,2,hsa-miR-320a,hsa-miR-1228-5p,,,,,,,,,
CHRNE,0.02409638554216864,0.00854,0.239,0.0727,2,hsa-miR-4732-5p,hsa-miR-4687-5p,,,,,,,,,
CTDP1,0.02409638554216864,0.00854,0.239,0.0727,2,hsa-miR-6131,hsa-miR-6784-5p,,,,,,,,,
PRSS12,0.02409638554216864,0.00854,0.239,0.0727,2,hsa-miR-4758-5p,hsa-miR-1238-5p,,,,,,,,,
PCSK4,0.02409638554216864,0.0128,0.311,0.0889,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
PNMA8A,0.02409638554216864,0.0128,0.311,0.0889,2,hsa-miR-642b-3p,hsa-miR-1307-3p,,,,,,,,,
TONSL,0.02409638554216864,0.0128,0.311,0.0889,2,hsa-miR-320a,hsa-miR-1203,,,,,,,,,
VGF,0.02409638554216864,0.0152,0.311,0.097,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
CBWD5,0.02409638554216864,0.0234,0.354,0.121,2,hsa-miR-4758-5p,hsa-miR-1238-5p,,,,,,,,,
ADIRF,0.02409638554216864,0.0178,0.317,0.105,2,hsa-miR-3184-5p,hsa-miR-6805-5p,,,,,,,,,
DSG3,0.02409638554216864,0.0178,0.317,0.105,2,hsa-miR-1307-3p,hsa-miR-4532,,,,,,,,,
FAM234A,0.02409638554216864,0.0178,0.317,0.105,2,hsa-miR-320a,hsa-miR-4728-5p,,,,,,,,,
INVS,0.02409638554216864,0.0178,0.317,0.105,2,hsa-miR-4648,hsa-miR-92b-5p,,,,,,,,,
FAM19A3,0.02409638554216864,0.0205,0.337,0.113,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
HIST1H2BH,0.02409638554216864,0.0205,0.337,0.113,2,hsa-miR-320a,hsa-miR-3940-5p,,,,,,,,,
HIST1H3C,0.02409638554216864,0.0205,0.337,0.113,2,hsa-miR-4758-5p,hsa-miR-1238-5p,,,,,,,,,
LRIT3,0.02409638554216864,0.0205,0.337,0.113,2,hsa-miR-4758-5p,hsa-miR-1238-5p,,,,,,,,,
CACNA2D2,0.02409638554216864,0.0234,0.354,0.121,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
SLITRK5,0.02409638554216864,0.0366,0.4,0.154,2,hsa-miR-4728-5p,hsa-miR-3184-5p,,,,,,,,,
AKR1D1,0.02409638554216864,0.0403,0.415,0.162,2,hsa-miR-1307-3p,hsa-miR-4532,,,,,,,,,
