Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5
RPL14,0.093,0.458,0.26,2,hsa-miR-3178,hsa-miR-6769b-5p,,,
SCRT1,0.00402,0.332,0.0491,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
TMEM54,0.00933,0.405,0.075,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
SIX5,0.0157,0.448,0.0981,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
ZBTB47,0.0157,0.448,0.0981,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
ABCC6,0.0349,0.458,0.15,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
ACOX1,0.136,0.458,0.326,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
AP2M1,0.0584,0.458,0.199,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
ATXN2,0.0413,0.458,0.164,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
BCL7A,0.0645,0.458,0.211,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
BRPF1,0.0175,0.458,0.104,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
CD276,0.0204,0.458,0.113,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
CREB3L2,0.0599,0.458,0.202,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
GDI1,0.044,0.458,0.17,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
MEF2D,0.181,0.458,0.39,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
MEX3A,0.102,0.458,0.274,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
PLEKHA3,0.106,0.458,0.28,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
RICTOR,0.0349,0.458,0.15,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
SETD1B,0.194,0.458,0.407,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
SPRY4,0.185,0.458,0.395,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
TCF3,0.0267,0.458,0.13,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
ZBTB46,0.125,0.458,0.309,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
MIDN,0.362,0.484,0.629,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
NACC1,0.476,0.531,0.785,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
CHERP,0.0984,0.458,0.268,2,hsa-miR-4749-5p,hsa-miR-6769b-5p,,,
SCAMP4,0.175,0.458,0.381,2,hsa-miR-4749-5p,hsa-miR-6769b-5p,,,
ANP32B,0.0709,0.458,0.222,2,hsa-miR-548h-5p,hsa-miR-6769b-5p,,,
CELSR3,0.0614,0.458,0.205,2,hsa-miR-548h-5p,hsa-miR-6769b-5p,,,
ACACA,0.086,0.458,0.248,2,hsa-miR-6857-3p,hsa-miR-6769b-5p,,,
C6orf223,0.0325,0.458,0.144,2,hsa-miR-6869-3p,hsa-miR-6769b-5p,,,
