Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7
ZNF654,0.017857142857142905,0.16,0.592,0.172,1,hsa-miR-4282,,,,,,
ZNF251,0.017857142857142905,0.317,0.592,0.377,1,hsa-miR-6769b-5p,,,,,,
ZNF257,0.017857142857142905,0.332,0.592,0.399,1,hsa-miR-412-3p,,,,,,
ZNF283,0.017857142857142905,0.15,0.592,0.162,1,hsa-miR-4722-3p,,,,,,
ZNF285,0.017857142857142905,0.317,0.592,0.377,1,hsa-miR-371b-5p,,,,,,
ZNF321P,0.017857142857142905,0.339,0.592,0.409,1,hsa-miR-371b-5p,,,,,,
ZNF326,0.017857142857142905,0.255,0.592,0.291,1,hsa-miR-412-3p,,,,,,
ZNF395,0.017857142857142905,0.31,0.592,0.366,1,hsa-miR-548h-5p,,,,,,
ZNF436,0.017857142857142905,0.279,0.592,0.323,1,hsa-miR-4524b-5p,,,,,,
ZNF469,0.017857142857142905,0.103,0.592,0.108,1,hsa-miR-5591-5p,,,,,,
ZNF517,0.017857142857142905,0.178,0.592,0.194,1,hsa-miR-6829-3p,,,,,,
ZNF518B,0.017857142857142905,0.279,0.592,0.323,1,hsa-miR-412-3p,,,,,,
ZNF550,0.017857142857142905,0.213,0.592,0.237,1,hsa-miR-412-3p,,,,,,
ZNF576,0.017857142857142905,0.23,0.592,0.259,1,hsa-miR-371b-5p,,,,,,
ZNF582,0.017857142857142905,0.279,0.592,0.323,1,hsa-miR-4282,,,,,,
ZNF622,0.017857142857142905,0.287,0.592,0.334,1,hsa-miR-4524b-5p,,,,,,
COL8A1,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-6847-3p,,,,,,
CYP4A11,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-6769b-5p,,,,,,
DUSP10,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-7151-5p,,,,,,
ATAT1,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-7703,,,,,,
AVPR1A,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-7703,,,,,,
C1orf21,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-4524b-5p,,,,,,
CABLES1,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-6802-3p,,,,,,
CECR2,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-1253,,,,,,
COL18A1,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-1227-5p,,,,,,
COMMD3-BMI1,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-548h-5p,,,,,,
DNAJA1,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-4282,,,,,,
FBXL19,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-6722-3p,,,,,,
FITM2,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-6829-3p,,,,,,
HIST2H2BE,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-6769b-5p,,,,,,
MAP3K1,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-5585-3p,,,,,,
MLH1,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-7703,,,,,,
MSI1,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-6722-3p,,,,,,
ORMDL3,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-1229-3p,,,,,,
PLEKHG7,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-548h-5p,,,,,,
ATP13A3,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-4282,,,,,,
APOC3,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-7703,,,,,,
HAUS5,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-6769b-5p,,,,,,
ZNF491,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-3130-3p,,,,,,
HUWE1,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-660-5p,,,,,,
KIAA1468,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-4282,,,,,,
KLRC3,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-548h-5p,,,,,,
MIOX,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-6769b-5p,,,,,,
NPTN,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-4282,,,,,,
PEBP1,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-4282,,,,,,
POU3F1,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-6722-3p,,,,,,
PSMG1,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-371b-5p,,,,,,
PTPRG,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-4282,,,,,,
RAB19,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-4722-3p,,,,,,
TIGD2,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-4722-3p,,,,,,
VPS52,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-6829-3p,,,,,,
WARS,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-4741,,,,,,
WWC2,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-6829-3p,,,,,,
ZBTB22,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-6769b-5p,,,,,,
SVIP,0.017857142857142905,0.246,0.592,0.28,1,hsa-miR-6847-3p,,,,,,
SURF2,0.017857142857142905,0.15,0.592,0.162,1,hsa-miR-3130-3p,,,,,,
SUPT5H,0.017857142857142905,0.122,0.592,0.129,1,hsa-miR-1229-3p,,,,,,
PTAFR,0.017857142857142905,0.302,0.592,0.356,1,hsa-miR-6829-3p,,,,,,
PRSS8,0.017857142857142905,0.339,0.592,0.409,1,hsa-miR-6847-3p,,,,,,
PRY,0.017857142857142905,0.178,0.592,0.194,1,hsa-miR-1229-3p,,,,,,
PRY2,0.017857142857142905,0.178,0.592,0.194,1,hsa-miR-1229-3p,,,,,,
PSMC5,0.017857142857142905,0.0424,0.592,0.0431,1,hsa-miR-1229-3p,,,,,,
PSMD1,0.017857142857142905,0.213,0.592,0.237,1,hsa-miR-371b-5p,,,,,,
PSMD9,0.017857142857142905,0.221,0.592,0.248,1,hsa-miR-7703,,,,,,
PSMG4,0.017857142857142905,0.23,0.592,0.259,1,hsa-miR-7703,,,,,,
PTDSS1,0.017857142857142905,0.113,0.592,0.119,1,hsa-miR-1229-3p,,,,,,
PON1,0.017857142857142905,0.246,0.592,0.28,1,hsa-miR-7703,,,,,,
PTGDR2,0.017857142857142905,0.279,0.592,0.323,1,hsa-miR-371b-5p,,,,,,
PTGS1,0.017857142857142905,0.271,0.592,0.312,1,hsa-miR-4741,,,,,,
PTPN3,0.017857142857142905,0.246,0.592,0.28,1,hsa-miR-7854-3p,,,,,,
PTPRD,0.017857142857142905,0.279,0.592,0.323,1,hsa-miR-4524b-5p,,,,,,
PTPRM,0.017857142857142905,0.15,0.592,0.162,1,hsa-miR-1253,,,,,,
