Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7
FBXO28,0.0357142857142857,0.121,0.592,0.302,2,hsa-miR-660-5p,hsa-miR-371b-5p,,,,,
CERS4,0.0357142857142857,0.281,0.592,0.523,2,hsa-miR-4722-3p,hsa-miR-660-5p,,,,,
FBXO45,0.0357142857142857,0.132,0.592,0.318,2,hsa-miR-6769b-5p,hsa-miR-7854-3p,,,,,
ZNF317,0.0357142857142857,0.289,0.592,0.533,2,hsa-miR-7703,hsa-miR-371b-5p,,,,,
ZNF292,0.0357142857142857,0.0481,0.592,0.178,2,hsa-miR-7703,hsa-miR-7151-5p,,,,,
NPR1,0.0357142857142857,0.366,0.595,0.636,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
RAB5B,0.0357142857142857,0.594,0.659,0.98,2,hsa-miR-6722-3p,hsa-miR-6769b-5p,,,,,
FEN1,0.0357142857142857,0.0649,0.592,0.21,2,hsa-miR-1229-3p,hsa-miR-1253,,,,,
ZNF268,0.0357142857142857,0.197,0.592,0.409,2,hsa-miR-218-2-3p,hsa-miR-1229-3p,,,,,
CENPM,0.0357142857142857,0.146,0.592,0.339,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
C5orf51,0.0357142857142857,0.366,0.595,0.636,2,hsa-miR-7854-3p,hsa-miR-4282,,,,,
CNNM1,0.0357142857142857,0.0108,0.592,0.0808,2,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,,
ZNF711,0.0357142857142857,0.177,0.592,0.382,2,hsa-miR-548h-5p,hsa-miR-6847-3p,,,,,
GINM1,0.0357142857142857,0.346,0.593,0.609,2,hsa-miR-6847-3p,hsa-miR-7703,,,,,
DHTKD1,0.0357142857142857,0.169,0.592,0.372,2,hsa-miR-5585-3p,hsa-miR-4722-3p,,,,,
DIO2,0.0357142857142857,0.0207,0.592,0.113,2,hsa-miR-4282,hsa-miR-6829-3p,,,,,
SPPL2A,0.0357142857142857,0.35,0.595,0.614,2,hsa-miR-548h-5p,hsa-miR-4722-3p,,,,,
CTC1,0.0357142857142857,0.273,0.592,0.512,2,hsa-miR-4749-5p,hsa-miR-5585-3p,,,,,
HIST1H2BD,0.0357142857142857,0.342,0.593,0.603,2,hsa-miR-4282,hsa-miR-548h-5p,,,,,
DLC1,0.0357142857142857,0.212,0.592,0.431,2,hsa-miR-6722-3p,hsa-miR-412-3p,,,,,
DMRT2,0.0357142857142857,0.0932,0.592,0.259,2,hsa-miR-1253,hsa-miR-4741,,,,,
FEM1C,0.0357142857142857,0.342,0.593,0.603,2,hsa-miR-548h-5p,hsa-miR-1253,,,,,
EMC7,0.0357142857142857,0.146,0.592,0.339,2,hsa-miR-4282,hsa-miR-4722-3p,,,,,
FAXC,0.0357142857142857,0.342,0.593,0.603,2,hsa-miR-371b-5p,hsa-miR-3130-3p,,,,,
C3orf36,0.0357142857142857,0.158,0.592,0.356,2,hsa-miR-4282,hsa-miR-4749-5p,,,,,
FAHD1,0.0357142857142857,0.346,0.593,0.609,2,hsa-miR-6802-3p,hsa-miR-7703,,,,,
CSDE1,0.0357142857142857,0.158,0.592,0.356,2,hsa-miR-1229-3p,hsa-miR-412-3p,,,,,
CRTAP,0.0357142857142857,0.162,0.592,0.361,2,hsa-miR-7854-3p,hsa-miR-134-3p,,,,,
DNASE2,0.0357142857142857,0.0679,0.592,0.215,2,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,,
WASF2,0.0357142857142857,0.35,0.595,0.614,2,hsa-miR-412-3p,hsa-miR-5591-5p,,,,,
DFFA,0.0357142857142857,0.277,0.592,0.517,2,hsa-miR-371b-5p,hsa-miR-6829-3p,,,,,
CRCP,0.0357142857142857,0.63,0.679,1.05,2,hsa-miR-4722-3p,hsa-miR-7854-3p,,,,,
CTNS,0.0357142857142857,0.0649,0.592,0.21,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
DENND5B,0.0357142857142857,0.249,0.592,0.479,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
DCAF10,0.0357142857142857,0.0455,0.592,0.172,2,hsa-miR-1253,hsa-miR-6829-3p,,,,,
DCAF17,0.0357142857142857,0.0771,0.592,0.232,2,hsa-miR-371b-5p,hsa-miR-4524b-5p,,,,,
CEP104,0.0357142857142857,0.35,0.595,0.614,2,hsa-miR-6829-3p,hsa-miR-7703,,,,,
DNAJC28,0.0357142857142857,0.35,0.595,0.614,2,hsa-miR-4282,hsa-miR-7703,,,,,
CFHR3,0.0357142857142857,0.00301,0.585,0.0431,2,hsa-miR-5585-3p,hsa-miR-7151-5p,,,,,
DCP1A,0.0357142857142857,0.0591,0.592,0.199,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
MRNIP,0.0357142857142857,0.389,0.597,0.668,2,hsa-miR-4282,hsa-miR-4722-3p,,,,,
SIX4,0.0357142857142857,0.389,0.597,0.668,2,hsa-miR-7703,hsa-miR-548h-5p,,,,,
EIF1AX,0.0357142857142857,0.354,0.595,0.619,2,hsa-miR-371b-5p,hsa-miR-1253,,,,,
TXNDC16,0.0357142857142857,0.342,0.593,0.603,2,hsa-miR-7703,hsa-miR-371b-5p,,,,,
EBF4,0.0357142857142857,0.00301,0.585,0.0431,2,hsa-miR-3130-3p,hsa-miR-7151-5p,,,,,
LRRC58,0.0357142857142857,0.644,0.689,1.07,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
C1orf56,0.0357142857142857,0.0246,0.592,0.124,2,hsa-miR-7151-5p,hsa-miR-660-5p,,,,,
MAP3K9,0.0357142857142857,0.385,0.596,0.663,2,hsa-miR-3130-3p,hsa-miR-6829-3p,,,,,
CTTN,0.0357142857142857,0.0508,0.592,0.183,2,hsa-miR-6847-3p,hsa-miR-4749-5p,,,,,
DNTTIP2,0.0357142857142857,0.338,0.592,0.598,2,hsa-miR-5585-3p,hsa-miR-371b-5p,,,,,
DOCK7,0.0357142857142857,0.146,0.592,0.339,2,hsa-miR-5585-3p,hsa-miR-7703,,,,,
C1orf229,0.0357142857142857,0.00811,0.592,0.07,2,hsa-miR-6722-3p,hsa-miR-134-3p,,,,,
ALDOA,0.0357142857142857,0.618,0.672,1.02,2,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,,
ZNF573,0.0357142857142857,0.377,0.595,0.652,2,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,,
EEF2,0.0357142857142857,0.212,0.592,0.431,2,hsa-miR-1229-3p,hsa-miR-4282,,,,,
ZNF207,0.0357142857142857,0.393,0.597,0.673,2,hsa-miR-548h-5p,hsa-miR-1229-3p,,,,,
EFNA5,0.0357142857142857,0.132,0.592,0.318,2,hsa-miR-548h-5p,hsa-miR-6829-3p,,,,,
ZNF786,0.0357142857142857,0.216,0.592,0.436,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
EHD4,0.0357142857142857,0.0679,0.592,0.215,2,hsa-miR-371b-5p,hsa-miR-7703,,,,,
ZNF785,0.0357142857142857,0.139,0.592,0.329,2,hsa-miR-6802-3p,hsa-miR-412-3p,,,,,
COMMD2,0.0357142857142857,0.0834,0.592,0.242,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
COL4A3BP,0.0357142857142857,0.237,0.592,0.463,2,hsa-miR-660-5p,hsa-miR-6769b-5p,,,,,
ZNF394,0.0357142857142857,0.381,0.595,0.657,2,hsa-miR-6722-3p,hsa-miR-7703,,,,,
EIF5A2,0.0357142857142857,0.193,0.592,0.404,2,hsa-miR-412-3p,hsa-miR-7703,,,,,
ZNF764,0.0357142857142857,0.0154,0.592,0.097,2,hsa-miR-6769b-5p,hsa-miR-5587-5p,,,,,
ELFN2,0.0357142857142857,0.281,0.592,0.523,2,hsa-miR-5591-5p,hsa-miR-6722-3p,,,,,
ZNF749,0.0357142857142857,0.293,0.592,0.539,2,hsa-miR-7703,hsa-miR-4282,,,,,
ZNF716,0.0357142857142857,0.143,0.592,0.334,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
COPS8,0.0357142857142857,0.0679,0.592,0.215,2,hsa-miR-4282,hsa-miR-7703,,,,,
ZNF844,0.0357142857142857,0.193,0.592,0.404,2,hsa-miR-4722-3p,hsa-miR-7703,,,,,
DPY19L1,0.0357142857142857,0.11,0.592,0.285,2,hsa-miR-5585-3p,hsa-miR-1227-5p,,,,,
EDEM3,0.0357142857142857,0.208,0.592,0.426,2,hsa-miR-412-3p,hsa-miR-4282,,,,,
CPM,0.0357142857142857,0.338,0.592,0.598,2,hsa-miR-4722-3p,hsa-miR-371b-5p,,,,,
DSEL,0.0357142857142857,0.232,0.592,0.458,2,hsa-miR-4282,hsa-miR-7703,,,,,
CPE,0.0357142857142857,0.285,0.592,0.528,2,hsa-miR-7703,hsa-miR-6847-3p,,,,,
ABHD2,0.0357142857142857,0.358,0.595,0.625,2,hsa-miR-449c-3p,hsa-miR-7854-3p,,,,,
C3orf62,0.0357142857142857,0.0771,0.592,0.232,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
DTX3L,0.0357142857142857,0.103,0.592,0.275,2,hsa-miR-7703,hsa-miR-4282,,,,,
ZWINT,0.0357142857142857,0.285,0.592,0.528,2,hsa-miR-548h-5p,hsa-miR-4722-3p,,,,,
DUSP3,0.0357142857142857,0.0591,0.592,0.199,2,hsa-miR-6847-3p,hsa-miR-4282,,,,,
ZSWIM1,0.0357142857142857,0.173,0.592,0.377,2,hsa-miR-1253,hsa-miR-371b-5p,,,,,
MARCH7,0.0357142857142857,0.00301,0.585,0.0431,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
ZNRF2,0.0357142857142857,0.22,0.592,0.442,2,hsa-miR-4524b-5p,hsa-miR-548h-5p,,,,,
DYNLL2,0.0357142857142857,0.245,0.592,0.474,2,hsa-miR-660-5p,hsa-miR-4524b-5p,,,,,
ZNF91,0.0357142857142857,0.0356,0.592,0.151,2,hsa-miR-5585-3p,hsa-miR-4722-3p,,,,,
MDM2,0.0357142857142857,0.656,0.696,1.09,2,hsa-miR-7703,hsa-miR-4282,,,,,
ZSCAN21,0.0357142857142857,0.00227,0.585,0.0377,2,hsa-miR-5585-3p,hsa-miR-4282,,,,,
CDT1,0.0357142857142857,0.0932,0.592,0.259,2,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,,
ZNF383,0.0357142857142857,0.169,0.592,0.372,2,hsa-miR-1229-3p,hsa-miR-7703,,,,,
VEGFA,0.0357142857142857,0.397,0.599,0.679,2,hsa-miR-4524b-5p,hsa-miR-6769b-5p,,,,,
GFPT1,0.0357142857142857,0.237,0.592,0.463,2,hsa-miR-4282,hsa-miR-1229-3p,,,,,
CCDC171,0.0357142857142857,0.031,0.592,0.14,2,hsa-miR-4282,hsa-miR-3130-3p,,,,,
WT1,0.0357142857142857,0.189,0.592,0.399,2,hsa-miR-371b-5p,hsa-miR-7703,,,,,
XKR7,0.0357142857142857,0.0999,0.592,0.269,2,hsa-miR-660-5p,hsa-miR-4524b-5p,,,,,
GLRX2,0.0357142857142857,0.0899,0.592,0.253,2,hsa-miR-371b-5p,hsa-miR-4282,,,,,
KLHL21,0.0357142857142857,0.381,0.595,0.657,2,hsa-miR-6847-3p,hsa-miR-5587-5p,,,,,
ABL2,0.0357142857142857,0.314,0.592,0.566,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
XIAP,0.0357142857142857,0.742,0.76,1.28,2,hsa-miR-412-3p,hsa-miR-548h-5p,,,,,
GJC1,0.0357142857142857,0.0965,0.592,0.264,2,hsa-miR-4722-3p,hsa-miR-7703,,,,,
ABL1,0.0357142857142857,0.15,0.592,0.345,2,hsa-miR-7854-3p,hsa-miR-5591-5p,,,,,
GIPC1,0.0357142857142857,0.232,0.592,0.458,2,hsa-miR-4749-5p,hsa-miR-6774-3p,,,,,
GIMAP4,0.0357142857142857,0.0563,0.592,0.194,2,hsa-miR-548h-5p,hsa-miR-4282,,,,,
GGPS1,0.0357142857142857,0.0288,0.592,0.135,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
TBC1D13,0.0357142857142857,0.358,0.595,0.625,2,hsa-miR-548h-5p,hsa-miR-1253,,,,,
GMPR,0.0357142857142857,0.0771,0.592,0.232,2,hsa-miR-7703,hsa-miR-4722-3p,,,,,
CCNB1,0.0357142857142857,0.228,0.592,0.452,2,hsa-miR-548h-5p,hsa-miR-7703,,,,,
ZBTB43,0.0357142857142857,0.181,0.592,0.388,2,hsa-miR-548h-5p,hsa-miR-5587-5p,,,,,
ZBTB46,0.0357142857142857,0.322,0.592,0.576,2,hsa-miR-3130-3p,hsa-miR-6769b-5p,,,,,
SPRED1,0.0357142857142857,0.362,0.595,0.63,2,hsa-miR-4524b-5p,hsa-miR-6722-3p,,,,,
GCLM,0.0357142857142857,0.0154,0.592,0.097,2,hsa-miR-5587-5p,hsa-miR-371b-5p,,,,,
ZBTB5,0.0357142857142857,0.146,0.592,0.339,2,hsa-miR-7703,hsa-miR-4282,,,,,
ZBTB8A,0.0357142857142857,0.212,0.592,0.431,2,hsa-miR-7854-3p,hsa-miR-7703,,,,,
RNF115,0.0357142857142857,0.366,0.595,0.636,2,hsa-miR-371b-5p,hsa-miR-7703,,,,,
ZC3HAV1L,0.0357142857142857,0.338,0.592,0.598,2,hsa-miR-449c-3p,hsa-miR-6847-3p,,,,,
ZDHHC15,0.0357142857142857,0.0999,0.592,0.269,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
GALNT7,0.0357142857142857,0.0508,0.592,0.183,2,hsa-miR-660-5p,hsa-miR-4282,,,,,
GALNT4,0.0357142857142857,0.0508,0.592,0.183,2,hsa-miR-6847-3p,hsa-miR-4282,,,,,
WNK3,0.0357142857142857,0.185,0.592,0.393,2,hsa-miR-660-5p,hsa-miR-4524b-5p,,,,,
CC2D1B,0.0357142857142857,0.0709,0.592,0.221,2,hsa-miR-4749-5p,hsa-miR-6722-3p,,,,,
ZDHHC22,0.0357142857142857,0.0481,0.592,0.178,2,hsa-miR-218-2-3p,hsa-miR-1229-3p,,,,,
DHODH,0.0357142857142857,0.37,0.595,0.641,2,hsa-miR-371b-5p,hsa-miR-4722-3p,,,,,
CACUL1,0.0357142857142857,0.132,0.592,0.318,2,hsa-miR-4524b-5p,hsa-miR-4282,,,,,
GRK3,0.0357142857142857,0.173,0.592,0.377,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
CALCOCO2,0.0357142857142857,0.165,0.592,0.366,2,hsa-miR-1229-3p,hsa-miR-6802-3p,,,,,
CALM3,0.0357142857142857,0.334,0.592,0.593,2,hsa-miR-1253,hsa-miR-6722-3p,,,,,
CDCP1,0.0357142857142857,0.381,0.595,0.657,2,hsa-miR-7854-3p,hsa-miR-7703,,,,,
GREB1,0.0357142857142857,0.0508,0.592,0.183,2,hsa-miR-7151-5p,hsa-miR-6847-3p,,,,,
ARSK,0.0357142857142857,0.377,0.595,0.652,2,hsa-miR-5585-3p,hsa-miR-6847-3p,,,,,
GPRC5B,0.0357142857142857,0.074,0.592,0.226,2,hsa-miR-5591-5p,hsa-miR-7854-3p,,,,,
WDR26,0.0357142857142857,0.165,0.592,0.366,2,hsa-miR-4282,hsa-miR-4722-3p,,,,,
GPR27,0.0357142857142857,0.0932,0.592,0.259,2,hsa-miR-4524b-5p,hsa-miR-548h-5p,,,,,
DAZAP2,0.0357142857142857,0.377,0.595,0.652,2,hsa-miR-1253,hsa-miR-1227-5p,,,,,
WDR31,0.0357142857142857,0.0709,0.592,0.221,2,hsa-miR-371b-5p,hsa-miR-4722-3p,,,,,
C9orf3,0.0357142857142857,0.128,0.592,0.312,2,hsa-miR-6722-3p,hsa-miR-4722-3p,,,,,
CBX3,0.0357142857142857,0.212,0.592,0.431,2,hsa-miR-548h-5p,hsa-miR-4282,,,,,
GPR173,0.0357142857142857,0.0932,0.592,0.259,2,hsa-miR-6769b-5p,hsa-miR-1253,,,,,
GPR137C,0.0357142857142857,0.281,0.592,0.523,2,hsa-miR-3130-3p,hsa-miR-4282,,,,,
NACC2,0.0357142857142857,0.579,0.653,0.953,2,hsa-miR-548h-5p,hsa-miR-7854-3p,,,,,
FAM83F,0.0357142857142857,0.381,0.595,0.657,2,hsa-miR-7703,hsa-miR-6769b-5p,,,,,
CASP16P,0.0357142857142857,0.224,0.592,0.447,2,hsa-miR-4282,hsa-miR-7151-5p,,,,,
ACAD8,0.0357142857142857,0.038,0.592,0.156,2,hsa-miR-7703,hsa-miR-4722-3p,,,,,
WDR81,0.0357142857142857,0.0563,0.592,0.194,2,hsa-miR-6722-3p,hsa-miR-1253,,,,,
GOSR1,0.0357142857142857,0.265,0.592,0.501,2,hsa-miR-3130-3p,hsa-miR-7703,,,,,
ZNF566,0.0357142857142857,0.409,0.603,0.695,2,hsa-miR-4722-3p,hsa-miR-7703,,,,,
GOLGA3,0.0357142857142857,0.154,0.592,0.35,2,hsa-miR-4282,hsa-miR-371b-5p,,,,,
GOLGA2,0.0357142857142857,0.124,0.592,0.307,2,hsa-miR-412-3p,hsa-miR-4722-3p,,,,,
UGGT1,0.0357142857142857,0.358,0.595,0.625,2,hsa-miR-7703,hsa-miR-6829-3p,,,,,
SCD,0.0357142857142857,0.588,0.657,0.97,2,hsa-miR-1229-3p,hsa-miR-5591-5p,,,,,
YTHDF3,0.0357142857142857,0.0333,0.592,0.145,2,hsa-miR-4282,hsa-miR-6802-3p,,,,,
DARS2,0.0357142857142857,0.216,0.592,0.436,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
AKR7A2,0.0357142857142857,0.405,0.603,0.689,2,hsa-miR-5585-3p,hsa-miR-6829-3p,,,,,
GABPB2,0.0357142857142857,0.0333,0.592,0.145,2,hsa-miR-4722-3p,hsa-miR-1229-3p,,,,,
CDCA4,0.0357142857142857,0.338,0.592,0.598,2,hsa-miR-7854-3p,hsa-miR-4524b-5p,,,,,
BRIX1,0.0357142857142857,0.277,0.592,0.517,2,hsa-miR-548h-5p,hsa-miR-5585-3p,,,,,
FOXO1,0.0357142857142857,0.165,0.592,0.366,2,hsa-miR-1253,hsa-miR-4282,,,,,
NUFIP2,0.0357142857142857,0.888,0.89,1.78,2,hsa-miR-6722-3p,hsa-miR-4524b-5p,,,,,
FOXRED2,0.0357142857142857,0.197,0.592,0.409,2,hsa-miR-6769b-5p,hsa-miR-1253,,,,,
FUT11,0.0357142857142857,0.318,0.592,0.571,2,hsa-miR-6829-3p,hsa-miR-371b-5p,,,,,
CDC14B,0.0357142857142857,0.318,0.592,0.571,2,hsa-miR-7703,hsa-miR-4722-3p,,,,,
ABCF3,0.0357142857142857,0.169,0.592,0.372,2,hsa-miR-7703,hsa-miR-1229-3p,,,,,
CDC25A,0.0357142857142857,0.0999,0.592,0.269,2,hsa-miR-4524b-5p,hsa-miR-6829-3p,,,,,
PLEKHA1,0.0357142857142857,0.362,0.595,0.63,2,hsa-miR-371b-5p,hsa-miR-4524b-5p,,,,,
FUT9,0.0357142857142857,0.0207,0.592,0.113,2,hsa-miR-7703,hsa-miR-3130-3p,,,,,
ZFP14,0.0357142857142857,0.314,0.592,0.566,2,hsa-miR-371b-5p,hsa-miR-4722-3p,,,,,
AGO3,0.0357142857142857,0.594,0.659,0.98,2,hsa-miR-6829-3p,hsa-miR-6847-3p,,,,,
C8orf37,0.0357142857142857,0.114,0.592,0.291,2,hsa-miR-371b-5p,hsa-miR-4282,,,,,
ARPP19,0.0357142857142857,0.597,0.659,0.986,2,hsa-miR-4524b-5p,hsa-miR-7854-3p,,,,,
ZNF117,0.0357142857142857,0.314,0.592,0.566,2,hsa-miR-412-3p,hsa-miR-218-2-3p,,,,,
RAB32,0.0357142857142857,0.362,0.595,0.63,2,hsa-miR-548h-5p,hsa-miR-6847-3p,,,,,
CDK5R1,0.0357142857142857,0.0288,0.592,0.135,2,hsa-miR-7703,hsa-miR-5587-5p,,,,,
CDC37L1,0.0357142857142857,0.038,0.592,0.156,2,hsa-miR-4524b-5p,hsa-miR-4282,,,,,
ZNF106,0.0357142857142857,0.197,0.592,0.409,2,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,,
CDC42EP4,0.0357142857142857,0.143,0.592,0.334,2,hsa-miR-1229-3p,hsa-miR-1227-5p,,,,,
FRMD8,0.0357142857142857,0.0455,0.592,0.172,2,hsa-miR-7703,hsa-miR-4722-3p,,,,,
FBXO44,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-3130-3p,,,,,,
TIGAR,0.017857142857142905,0.458,0.614,0.603,1,hsa-miR-4722-3p,,,,,,
CEP55,0.017857142857142905,0.464,0.616,0.614,1,hsa-miR-1229-3p,,,,,,
FBXO31,0.017857142857142905,0.375,0.595,0.463,1,hsa-miR-371b-5p,,,,,,
HINFP,0.017857142857142905,0.375,0.595,0.463,1,hsa-miR-4722-3p,,,,,,
PAWR,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-4282,,,,,,
CBX6,0.017857142857142905,0.835,0.84,1.73,1,hsa-miR-5591-5p,,,,,,
PSMD3,0.017857142857142905,0.382,0.595,0.474,1,hsa-miR-6722-3p,,,,,,
FAM227A,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-4722-3p,,,,,,
U2AF2,0.017857142857142905,0.458,0.614,0.603,1,hsa-miR-6722-3p,,,,,,
POGK,0.017857142857142905,0.47,0.619,0.625,1,hsa-miR-6722-3p,,,,,,
ARFGEF3,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-4722-3p,,,,,,
SLC35F6,0.017857142857142905,0.829,0.835,1.7,1,hsa-miR-6847-3p,,,,,,
HIST1H1E,0.017857142857142905,0.375,0.595,0.463,1,hsa-miR-6769b-5p,,,,,,
SCUBE3,0.017857142857142905,0.47,0.619,0.625,1,hsa-miR-6847-3p,,,,,,
GOLIM4,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-4282,,,,,,
UBE2D2,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-548h-5p,,,,,,
TNFSF9,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-4722-3p,,,,,,
RNASEH2B,0.017857142857142905,0.47,0.619,0.625,1,hsa-miR-7703,,,,,,
CTCFL,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-548h-5p,,,,,,
CMTM4,0.017857142857142905,0.464,0.616,0.614,1,hsa-miR-5587-5p,,,,,,
SYT2,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-134-3p,,,,,,
ARHGAP18,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-4282,,,,,,
GRAMD1B,0.017857142857142905,0.382,0.595,0.474,1,hsa-miR-1227-5p,,,,,,
SINHCAF,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-371b-5p,,,,,,
RETSAT,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-4282,,,,,,
PSMB9,0.017857142857142905,0.382,0.595,0.474,1,hsa-miR-6829-3p,,,,,,
THSD4,0.017857142857142905,0.458,0.614,0.603,1,hsa-miR-4749-5p,,,,,,
OCRL,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-4524b-5p,,,,,,
DENR,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-7854-3p,,,,,,
TMEM241,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-548h-5p,,,,,,
PEX2,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-6847-3p,,,,,,
E2F7,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-4282,,,,,,
PRPF38A,0.017857142857142905,0.47,0.619,0.625,1,hsa-miR-4722-3p,,,,,,
RAD54L2,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-4741,,,,,,
HBS1L,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-5587-5p,,,,,,
NR2F2,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-7703,,,,,,
C1RL,0.017857142857142905,0.464,0.616,0.614,1,hsa-miR-6829-3p,,,,,,
RGPD4,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-548h-5p,,,,,,
PTPN9,0.017857142857142905,0.382,0.595,0.474,1,hsa-miR-6769b-5p,,,,,,
SFXN1,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-4282,,,,,,
ANKEF1,0.017857142857142905,0.464,0.616,0.614,1,hsa-miR-548h-5p,,,,,,
CLUH,0.017857142857142905,0.382,0.595,0.474,1,hsa-miR-6722-3p,,,,,,
CISD2,0.017857142857142905,0.375,0.595,0.463,1,hsa-miR-6829-3p,,,,,,
LCOR,0.017857142857142905,0.827,0.833,1.69,1,hsa-miR-4282,,,,,,
FAM212B,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-4749-5p,,,,,,
CEP57L1,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-6847-3p,,,,,,
PTPRB,0.017857142857142905,0.382,0.595,0.474,1,hsa-miR-7854-3p,,,,,,
ZNF449,0.017857142857142905,0.458,0.614,0.603,1,hsa-miR-4524b-5p,,,,,,
SLC8A1,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-4282,,,,,,
SMAD9,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-5585-3p,,,,,,
TCF3,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-6769b-5p,,,,,,
C18orf25,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-660-5p,,,,,,
CD47,0.017857142857142905,0.375,0.595,0.463,1,hsa-miR-548h-5p,,,,,,
TMEM100,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-4524b-5p,,,,,,
TOX4,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-6847-3p,,,,,,
ANKRD45,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-4749-5p,,,,,,
RABL3,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-4722-3p,,,,,,
FBXL2,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-371b-5p,,,,,,
GRK4,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-4722-3p,,,,,,
PTPN1,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-548h-5p,,,,,,
FAM234B,0.017857142857142905,0.382,0.595,0.474,1,hsa-miR-7703,,,,,,
EFTUD2,0.017857142857142905,0.382,0.595,0.474,1,hsa-miR-5591-5p,,,,,,
UBXN7,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-6829-3p,,,,,,
VDAC2,0.017857142857142905,0.458,0.614,0.603,1,hsa-miR-548h-5p,,,,,,
HSPA4,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-4282,,,,,,
DYRK1A,0.017857142857142905,0.382,0.595,0.474,1,hsa-miR-7151-5p,,,,,,
NEK7,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-548h-5p,,,,,,
LIAS,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-6829-3p,,,,,,
TBC1D24,0.017857142857142905,0.47,0.619,0.625,1,hsa-miR-7703,,,,,,
YAP1,0.017857142857142905,0.458,0.614,0.603,1,hsa-miR-548h-5p,,,,,,
IER3IP1,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-1229-3p,,,,,,
CARM1,0.017857142857142905,0.464,0.616,0.614,1,hsa-miR-6722-3p,,,,,,
IFRD1,0.017857142857142905,0.388,0.596,0.485,1,hsa-miR-371b-5p,,,,,,
CPEB2,0.017857142857142905,0.382,0.595,0.474,1,hsa-miR-4282,,,,,,
LETM1,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-7703,,,,,,
IGFBP4,0.017857142857142905,0.452,0.612,0.593,1,hsa-miR-6722-3p,,,,,,
