"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7","microRNA 8","microRNA 9"
"OLA1","0.0567","0.514","0.294","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"PADI1","0.0589","0.514","0.199","2","hsa-miR-4472","hsa-miR-5698","","","","","","",""
"PCSK1","0.0589","0.514","0.199","2","hsa-miR-1185-2-3p","hsa-miR-5100","","","","","","",""
"PGBD4","0.0554","0.514","0.364","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6780a-5p","","","","",""
"PIGG","0.0567","0.514","0.294","3","hsa-miR-4313","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"POLDIP3","0.0589","0.514","0.199","2","hsa-miR-6730-5p","hsa-miR-4313","","","","","","",""
"RNF216","0.0567","0.514","0.294","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"SELPLG","0.0589","0.514","0.199","2","hsa-miR-1470","hsa-miR-6877-5p","","","","","","",""
"SLC25A12","0.0595","0.514","0.300","3","hsa-miR-320b","hsa-miR-320d","hsa-miR-646","","","","","",""
"SRPRA","0.0567","0.514","0.294","3","hsa-miR-646","hsa-miR-5572","hsa-miR-6819-5p","","","","","",""
"TAL1","0.0589","0.514","0.199","2","hsa-miR-320d","hsa-miR-320b","","","","","","",""
"TEX261","0.0595","0.514","0.372","4","hsa-miR-4472","hsa-miR-7110-5p","hsa-miR-185-3p","hsa-miR-4489","","","","",""
"TFDP2","0.0555","0.514","0.419","5","hsa-miR-940","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","hsa-miR-6805-3p","","","",""
"TIAL1","0.0555","0.514","0.419","5","hsa-miR-504-3p","hsa-miR-5698","hsa-miR-3652","hsa-miR-6780a-5p","hsa-miR-940","","","",""
"TM6SF2","0.0589","0.514","0.199","2","hsa-miR-6780a-5p","hsa-miR-4769-5p","","","","","","",""
"UCK1","0.0589","0.514","0.199","2","hsa-miR-6819-5p","hsa-miR-342-5p","","","","","","",""
"VPS37D","0.0589","0.514","0.199","2","hsa-miR-4472","hsa-miR-5698","","","","","","",""
"ZNF394","0.0572","0.514","0.422","5","hsa-miR-6780a-5p","hsa-miR-4456","hsa-miR-320b","hsa-miR-320d","hsa-miR-6776-5p","","","",""
"KCNA7","0.0623","0.530","0.306","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"LIN52","0.0623","0.530","0.306","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"LRCH3","0.0623","0.530","0.306","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"MAPK8IP3","0.0623","0.530","0.306","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"NMNAT1","0.0623","0.530","0.306","3","hsa-miR-6741-5p","hsa-miR-6776-5p","hsa-miR-1227-3p","","","","","",""
"ORC1","0.0623","0.530","0.306","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6805-3p","","","","","",""
"PNMA8B","0.0623","0.530","0.306","3","hsa-miR-4443","hsa-miR-940","hsa-miR-1470","","","","","",""
"CALML3","0.0636","0.530","0.208","2","hsa-miR-5698","hsa-miR-940","","","","","","",""
"COMMD9","0.0636","0.530","0.208","2","hsa-miR-5698","hsa-miR-504-3p","","","","","","",""
"FAM46B","0.0636","0.530","0.208","2","hsa-miR-320d","hsa-miR-320b","","","","","","",""
"FOSL1","0.0637","0.530","0.381","4","hsa-miR-4472","hsa-miR-5698","hsa-miR-4483","hsa-miR-6741-5p","","","","",""
"KCNK12","0.0636","0.530","0.208","2","hsa-miR-6076","hsa-miR-1470","","","","","","",""
"RCE1","0.0636","0.530","0.208","2","hsa-miR-4472","hsa-miR-7110-5p","","","","","","",""
"RHOXF2B","0.0636","0.530","0.208","2","hsa-miR-4472","hsa-miR-7110-5p","","","","","","",""
"TERF2","0.0637","0.530","0.381","4","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-940","hsa-miR-6776-5p","","","","",""
"UBTF","0.0637","0.530","0.381","4","hsa-miR-6819-5p","hsa-miR-4483","hsa-miR-342-5p","hsa-miR-5698","","","","",""
"VSIG1","0.0636","0.530","0.208","2","hsa-miR-5698","hsa-miR-504-3p","","","","","","",""
"ACADVL","0.0675","0.534","0.0693","1","hsa-miR-31-3p","","","","","","","",""
"BAG5","0.0684","0.534","0.216","2","hsa-miR-5572","hsa-miR-6877-5p","","","","","","",""
"ELK1","0.0652","0.534","0.312","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"HIST2H2AC","0.0684","0.534","0.216","2","hsa-miR-6741-5p","hsa-miR-4483","","","","","","",""
"HOXB2","0.0675","0.534","0.0693","1","hsa-miR-17-3p","","","","","","","",""
"IL17RC","0.0675","0.534","0.0693","1","hsa-miR-940","","","","","","","",""
"LMOD2","0.0675","0.534","0.0693","1","hsa-miR-944","","","","","","","",""
"LYRM4","0.0681","0.534","0.390","4","hsa-miR-6776-5p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"MLLT1","0.0651","0.534","0.482","6","hsa-miR-6730-5p","hsa-miR-6780a-5p","hsa-miR-342-5p","hsa-miR-646","hsa-miR-6819-5p","hsa-miR-940","","",""
"MREG","0.0684","0.534","0.216","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"NEURL4","0.0684","0.534","0.216","2","hsa-miR-4443","hsa-miR-6076","","","","","","",""
"NOP14","0.0684","0.534","0.216","2","hsa-miR-1227-3p","hsa-miR-940","","","","","","",""
"NUCB1","0.0681","0.534","0.390","4","hsa-miR-4483","hsa-miR-6730-5p","hsa-miR-940","hsa-miR-31-3p","","","","",""
"PEX2","0.0681","0.534","0.317","3","hsa-miR-6741-5p","hsa-miR-3652","hsa-miR-6776-5p","","","","","",""
"PITPNM2","0.0675","0.534","0.0693","1","hsa-miR-1185-2-3p","","","","","","","",""
"PLOD3","0.0675","0.534","0.0693","1","hsa-miR-320b","","","","","","","",""
"PNN","0.0684","0.534","0.216","2","hsa-miR-320b","hsa-miR-320d","","","","","","",""
"PTPRF","0.0681","0.534","0.390","4","hsa-miR-4472","hsa-miR-5698","hsa-miR-7110-5p","hsa-miR-646","","","","",""
"RPAIN","0.0675","0.534","0.0693","1","hsa-miR-940","","","","","","","",""
"RPP25","0.0681","0.534","0.317","3","hsa-miR-4472","hsa-miR-5698","hsa-miR-1290","","","","","",""
"SEC23B","0.0652","0.534","0.312","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"SLCO1B3","0.0684","0.534","0.216","2","hsa-miR-4685-3p","hsa-miR-1470","","","","","","",""
"SUPT7L","0.0652","0.534","0.312","3","hsa-miR-31-3p","hsa-miR-6730-5p","hsa-miR-6780a-5p","","","","","",""
"TANGO6","0.0675","0.534","0.0693","1","hsa-miR-320b","","","","","","","",""
"TECPR1","0.0652","0.534","0.312","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"TMEM50A","0.0681","0.534","0.317","3","hsa-miR-4472","hsa-miR-1224-5p","hsa-miR-4769-5p","","","","","",""
"TMOD1","0.0675","0.534","0.0693","1","hsa-miR-1185-2-3p","","","","","","","",""
"TRDMT1","0.0675","0.534","0.0693","1","hsa-miR-1227-3p","","","","","","","",""
"VWA8","0.0675","0.534","0.0693","1","hsa-miR-1227-3p","","","","","","","",""
"ZBTB44","0.0681","0.534","0.317","3","hsa-miR-646","hsa-miR-4685-3p","hsa-miR-1290","","","","","",""
"CRKL","0.0694","0.541","0.447","5","hsa-miR-31-3p","hsa-miR-17-3p","hsa-miR-944","hsa-miR-6780a-5p","hsa-miR-940","","","",""
"RHOA","0.0704","0.547","0.394","4","hsa-miR-31-3p","hsa-miR-504-3p","hsa-miR-6877-5p","hsa-miR-4456","","","","",""
"FBXO28","0.0712","0.549","0.323","3","hsa-miR-504-3p","hsa-miR-320b","hsa-miR-320d","","","","","",""
"SESTD1","0.0712","0.549","0.323","3","hsa-miR-4483","hsa-miR-7110-5p","hsa-miR-646","","","","","",""
"SIT1","0.0712","0.549","0.323","3","hsa-miR-1470","hsa-miR-1202","hsa-miR-6780a-5p","","","","","",""
"STK40","0.0712","0.549","0.323","3","hsa-miR-940","hsa-miR-4313","hsa-miR-1470","","","","","",""
"RHOB","0.0726","0.559","0.398","4","hsa-miR-1470","hsa-miR-342-5p","hsa-miR-6819-5p","hsa-miR-7110-5p","","","","",""
"KDM6B","0.0732","0.562","0.454","5","hsa-miR-941","hsa-miR-4472","hsa-miR-3652","hsa-miR-185-3p","hsa-miR-4489","","","",""
"NAA10","0.0733","0.562","0.225","2","hsa-miR-342-5p","hsa-miR-3652","","","","","","",""
"AKT1S1","0.0742","0.565","0.329","3","hsa-miR-3652","hsa-miR-4440","hsa-miR-6730-5p","","","","","",""
"HEATR5A","0.0742","0.565","0.329","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"MORN4","0.0742","0.565","0.329","3","hsa-miR-940","hsa-miR-6780a-5p","hsa-miR-495-5p","","","","","",""
"SYNM","0.0742","0.565","0.329","3","hsa-miR-6741-5p","hsa-miR-320d","hsa-miR-320b","","","","","",""
"SPIB","0.0750","0.569","0.403","4","hsa-miR-4685-3p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"SLC1A5","0.0764","0.579","0.502","6","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-4313","hsa-miR-6780a-5p","hsa-miR-1227-3p","","",""
"ABCA6","0.0834","0.580","0.242","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"ADD1","0.0838","0.580","0.346","3","hsa-miR-320b","hsa-miR-320d","hsa-miR-6743-3p","","","","","",""
"ANO8","0.0834","0.580","0.242","2","hsa-miR-1290","hsa-miR-6793-5p","","","","","","",""
"ARL17B","0.0834","0.580","0.242","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"ATPAF1","0.0834","0.580","0.242","2","hsa-miR-4472","hsa-miR-5698","","","","","","",""
"BNC2","0.0838","0.580","0.346","3","hsa-miR-17-3p","hsa-miR-516a-5p","hsa-miR-4685-3p","","","","","",""
"C1orf198","0.0837","0.580","0.0866","1","hsa-miR-31-3p","","","","","","","",""
"C21orf58","0.0834","0.580","0.242","2","hsa-miR-1227-3p","hsa-miR-940","","","","","","",""
"CACUL1","0.0805","0.580","0.341","3","hsa-miR-646","hsa-miR-6819-5p","hsa-miR-342-5p","","","","","",""
"CCDC170","0.0834","0.580","0.242","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"CMAS","0.0837","0.580","0.0866","1","hsa-miR-320b","","","","","","","",""
"CXorf21","0.0783","0.580","0.234","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"DCLRE1B","0.0837","0.580","0.0866","1","hsa-miR-320b","","","","","","","",""
"EHMT2","0.0837","0.580","0.0866","1","hsa-miR-320b","","","","","","","",""
"EIF3D","0.0837","0.580","0.0866","1","hsa-miR-342-5p","","","","","","","",""
"EPN1","0.0834","0.580","0.242","2","hsa-miR-6819-5p","hsa-miR-342-5p","","","","","","",""
"FAM169B","0.0837","0.580","0.0866","1","hsa-miR-6730-5p","","","","","","","",""
"FAM208B","0.0783","0.580","0.234","2","hsa-miR-320b","hsa-miR-320d","","","","","","",""
"FGFR4","0.0834","0.580","0.242","2","hsa-miR-4472","hsa-miR-5698","","","","","","",""
"GAPDH","0.0783","0.580","0.234","2","hsa-miR-342-5p","hsa-miR-17-3p","","","","","","",""
"GINS3","0.0834","0.580","0.242","2","hsa-miR-342-5p","hsa-miR-6819-5p","","","","","","",""
"GPR155","0.0773","0.580","0.407","4","hsa-miR-5698","hsa-miR-6805-3p","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"HM13","0.0838","0.580","0.346","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-1290","","","","","",""
"LRRC47","0.0838","0.580","0.346","3","hsa-miR-4685-3p","hsa-miR-1470","hsa-miR-6780a-5p","","","","","",""
"MED7","0.0805","0.580","0.341","3","hsa-miR-5698","hsa-miR-504-3p","hsa-miR-6076","","","","","",""
"MEX3A","0.0798","0.580","0.411","4","hsa-miR-4472","hsa-miR-5698","hsa-miR-4456","hsa-miR-4685-3p","","","","",""
"MFSD14C","0.0783","0.580","0.234","2","hsa-miR-6743-3p","hsa-miR-6776-5p","","","","","","",""
"MICAL2","0.0838","0.580","0.346","3","hsa-miR-342-5p","hsa-miR-5572","hsa-miR-6819-5p","","","","","",""
"MTFR1","0.0834","0.580","0.242","2","hsa-miR-1227-3p","hsa-miR-1185-2-3p","","","","","","",""
"NPW","0.0837","0.580","0.0866","1","hsa-miR-1290","","","","","","","",""
"PAQR3","0.0834","0.580","0.242","2","hsa-miR-5572","hsa-miR-6819-5p","","","","","","",""
"PDYN","0.0837","0.580","0.0866","1","hsa-miR-6743-3p","","","","","","","",""
"PHC1","0.0834","0.580","0.242","2","hsa-miR-6780a-5p","hsa-miR-5698","","","","","","",""
"PPIC","0.0798","0.580","0.411","4","hsa-miR-31-3p","hsa-miR-5698","hsa-miR-504-3p","hsa-miR-4456","","","","",""
"PRPF38A","0.0774","0.580","0.335","3","hsa-miR-31-3p","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"PTGDR","0.0837","0.580","0.0866","1","hsa-miR-495-5p","","","","","","","",""
"PYGO1","0.0805","0.580","0.341","3","hsa-miR-4472","hsa-miR-7110-5p","hsa-miR-1290","","","","","",""
"RNF40","0.0798","0.580","0.411","4","hsa-miR-185-3p","hsa-miR-4472","hsa-miR-6076","hsa-miR-7110-5p","","","","",""
"SDHA","0.0837","0.580","0.0866","1","hsa-miR-31-3p","","","","","","","",""
"SGMS2","0.0834","0.580","0.242","2","hsa-miR-6741-5p","hsa-miR-4483","","","","","","",""
"SIAH1","0.0837","0.580","0.0866","1","hsa-miR-944","","","","","","","",""
"SLFN12","0.0834","0.580","0.242","2","hsa-miR-4472","hsa-miR-5698","","","","","","",""
"TIMM10B","0.0834","0.580","0.242","2","hsa-miR-4443","hsa-miR-6776-5p","","","","","","",""
"TMEM8A","0.0837","0.580","0.0866","1","hsa-miR-940","","","","","","","",""
"TNRC18","0.0783","0.580","0.234","2","hsa-miR-5572","hsa-miR-6819-5p","","","","","","",""
"UBQLN4","0.0834","0.580","0.242","2","hsa-miR-6877-5p","hsa-miR-646","","","","","","",""
"USP1","0.0805","0.580","0.341","3","hsa-miR-1185-2-3p","hsa-miR-6776-5p","hsa-miR-940","","","","","",""
"WSB1","0.0822","0.580","0.416","4","hsa-miR-5698","hsa-miR-504-3p","hsa-miR-6780a-5p","hsa-miR-940","","","","",""
"RAB11FIP1","0.0847","0.585","0.420","4","hsa-miR-6805-3p","hsa-miR-5100","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"DNAJB13","0.0871","0.595","0.352","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"PARVB","0.0871","0.595","0.352","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"SEC14L4","0.0871","0.595","0.352","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"SLC16A10","0.0871","0.595","0.352","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"SLC4A1","0.0871","0.595","0.352","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"VDR","0.0871","0.595","0.352","3","hsa-miR-4483","hsa-miR-504-3p","hsa-miR-6741-5p","","","","","",""
"ASCC1","0.0886","0.596","0.251","2","hsa-miR-646","hsa-miR-944","","","","","","",""
"CAMK2A","0.0886","0.596","0.251","2","hsa-miR-4472","hsa-miR-5698","","","","","","",""
"GLCCI1","0.0886","0.596","0.251","2","hsa-miR-1227-3p","hsa-miR-4443","","","","","","",""
"GSG1","0.0886","0.596","0.251","2","hsa-miR-1227-3p","hsa-miR-646","","","","","","",""
"KLF16","0.0886","0.596","0.251","2","hsa-miR-4483","hsa-miR-7110-5p","","","","","","",""
"NAPG","0.0886","0.596","0.251","2","hsa-miR-944","hsa-miR-646","","","","","","",""
"PDE7B","0.0886","0.596","0.251","2","hsa-miR-6780a-5p","hsa-miR-940","","","","","","",""
"SMG7","0.0886","0.596","0.251","2","hsa-miR-4685-3p","hsa-miR-1470","","","","","","",""
"VOPP1","0.0886","0.596","0.251","2","hsa-miR-320b","hsa-miR-646","","","","","","",""
"ABL1","0.0973","0.596","0.369","3","hsa-miR-5698","hsa-miR-17-3p","hsa-miR-185-3p","","","","","",""
"ACADSB","0.0939","0.596","0.260","2","hsa-miR-4769-5p","hsa-miR-5100","","","","","","",""
"ANAPC5","0.0996","0.596","0.104","1","hsa-miR-1227-3p","","","","","","","",""
"ANKRD36","0.0904","0.596","0.358","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"BICDL1","0.0973","0.596","0.369","3","hsa-miR-4483","hsa-miR-6776-5p","hsa-miR-6780a-5p","","","","","",""
"BTNL9","0.0996","0.596","0.104","1","hsa-miR-646","","","","","","","",""
"C15orf52","0.0939","0.596","0.364","3","hsa-miR-4483","hsa-miR-4685-3p","hsa-miR-1470","","","","","",""
"CCNY","0.0939","0.596","0.260","2","hsa-miR-4472","hsa-miR-7110-5p","","","","","","",""
"CHCHD2","0.0996","0.596","0.104","1","hsa-miR-320b","","","","","","","",""
"CLASP1","0.0973","0.596","0.369","3","hsa-miR-7110-5p","hsa-miR-4456","hsa-miR-4769-5p","","","","","",""
"CLK4","0.0939","0.596","0.260","2","hsa-miR-5698","hsa-miR-504-3p","","","","","","",""
"COPA","0.0993","0.596","0.268","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"DIABLO","0.0993","0.596","0.268","2","hsa-miR-6741-5p","hsa-miR-646","","","","","","",""
"DLX5","0.0996","0.596","0.104","1","hsa-miR-320b","","","","","","","",""
"DSG2","0.0939","0.596","0.260","2","hsa-miR-944","hsa-miR-1185-2-3p","","","","","","",""
"EPM2AIP1","0.0939","0.596","0.364","3","hsa-miR-320b","hsa-miR-1290","hsa-miR-940","","","","","",""
"FBXL5","0.0939","0.596","0.260","2","hsa-miR-31-3p","hsa-miR-6076","","","","","","",""
"FGF19","0.0904","0.596","0.358","3","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-4456","","","","","",""
"FSCN1","0.0898","0.596","0.429","4","hsa-miR-17-3p","hsa-miR-185-3p","hsa-miR-3652","hsa-miR-4489","","","","",""
"GRK5","0.0996","0.596","0.104","1","hsa-miR-941","","","","","","","",""
"HAVCR2","0.0939","0.596","0.260","2","hsa-miR-6780a-5p","hsa-miR-940","","","","","","",""
"HIST1H2AE","0.0993","0.596","0.268","2","hsa-miR-940","hsa-miR-4483","","","","","","",""
"HIST1H3G","0.0996","0.596","0.104","1","hsa-miR-495-5p","","","","","","","",""
"HIST1H3H","0.0993","0.596","0.268","2","hsa-miR-6793-5p","hsa-miR-4483","","","","","","",""
"IAPP","0.0996","0.596","0.104","1","hsa-miR-1185-2-3p","","","","","","","",""
"IPO4","0.0996","0.596","0.104","1","hsa-miR-940","","","","","","","",""
"KIF26A","0.0996","0.596","0.104","1","hsa-miR-1470","","","","","","","",""
"LMNB2","0.0989","0.596","0.571","7","hsa-miR-504-3p","hsa-miR-31-3p","hsa-miR-342-5p","hsa-miR-3652","hsa-miR-4769-5p","hsa-miR-6819-5p","hsa-miR-7110-5p","",""
"MAPK1","0.0925","0.596","0.528","6","hsa-miR-185-3p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-4685-3p","hsa-miR-1470","","",""
"MRPS18C","0.0996","0.596","0.104","1","hsa-miR-495-5p","","","","","","","",""
"MRPS27","0.0939","0.596","0.364","3","hsa-miR-4769-5p","hsa-miR-4685-3p","hsa-miR-1470","","","","","",""
"MUC17","0.0939","0.596","0.260","2","hsa-miR-6819-5p","hsa-miR-342-5p","","","","","","",""
"MYOM2","0.0904","0.596","0.358","3","hsa-miR-1227-3p","hsa-miR-6780a-5p","hsa-miR-940","","","","","",""
"NAGK","0.0904","0.596","0.358","3","hsa-miR-5698","hsa-miR-504-3p","hsa-miR-3652","","","","","",""
"NCOR2","0.0973","0.596","0.369","3","hsa-miR-6780a-5p","hsa-miR-4313","hsa-miR-4443","","","","","",""
"NLE1","0.0993","0.596","0.268","2","hsa-miR-4472","hsa-miR-7110-5p","","","","","","",""
"ODF4","0.0939","0.596","0.260","2","hsa-miR-4685-3p","hsa-miR-504-3p","","","","","","",""
"OMD","0.0993","0.596","0.268","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"ONECUT3","0.0937","0.596","0.488","5","hsa-miR-5698","hsa-miR-6780a-5p","hsa-miR-4685-3p","hsa-miR-4472","hsa-miR-6793-5p","","","",""
"ORMDL2","0.0993","0.596","0.268","2","hsa-miR-320d","hsa-miR-320b","","","","","","",""
"PDLIM5","0.0904","0.596","0.358","3","hsa-miR-1470","hsa-miR-5572","hsa-miR-6819-5p","","","","","",""
"PGPEP1","0.0894","0.596","0.481","5","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-5698","hsa-miR-940","hsa-miR-6780a-5p","","","",""
"PNPT1","0.0939","0.596","0.260","2","hsa-miR-3652","hsa-miR-31-3p","","","","","","",""
"PPP2R5C","0.0993","0.596","0.268","2","hsa-miR-31-3p","hsa-miR-646","","","","","","",""
"PRDM11","0.0996","0.596","0.104","1","hsa-miR-17-3p","","","","","","","",""
"PTBP1","0.0950","0.596","0.437","4","hsa-miR-17-3p","hsa-miR-940","hsa-miR-4440","hsa-miR-6076","","","","",""
"RAB5C","0.0924","0.596","0.433","4","hsa-miR-6730-5p","hsa-miR-342-5p","hsa-miR-5572","hsa-miR-6819-5p","","","","",""
"RAP2B","0.0898","0.596","0.429","4","hsa-miR-6780a-5p","hsa-miR-4685-3p","hsa-miR-1470","hsa-miR-6776-5p","","","","",""
"RBM38","0.0904","0.596","0.358","3","hsa-miR-31-3p","hsa-miR-940","hsa-miR-504-3p","","","","","",""
"RNF103","0.0996","0.596","0.104","1","hsa-miR-320b","","","","","","","",""
"RNF19B","0.0898","0.596","0.429","4","hsa-miR-516a-5p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"RPL28","0.0904","0.596","0.358","3","hsa-miR-4443","hsa-miR-17-3p","hsa-miR-940","","","","","",""
"SEC63","0.0939","0.596","0.364","3","hsa-miR-1470","hsa-miR-4685-3p","hsa-miR-1227-3p","","","","","",""
"SFMBT2","0.0939","0.596","0.364","3","hsa-miR-1202","hsa-miR-17-3p","hsa-miR-940","","","","","",""
"SGO1","0.0939","0.596","0.364","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"SKOR1","0.0996","0.596","0.104","1","hsa-miR-4483","","","","","","","",""
"SLC25A40","0.0996","0.596","0.104","1","hsa-miR-944","","","","","","","",""
"TCEANC","0.0996","0.596","0.104","1","hsa-miR-1224-5p","","","","","","","",""
"TLL2","0.0996","0.596","0.104","1","hsa-miR-944","","","","","","","",""
"TRAPPC1","0.0996","0.596","0.104","1","hsa-miR-1224-5p","","","","","","","",""
"UTP4","0.0939","0.596","0.364","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"VAT1L","0.0996","0.596","0.104","1","hsa-miR-1185-2-3p","","","","","","","",""
"XK","0.0996","0.596","0.104","1","hsa-miR-31-3p","","","","","","","",""
"XPNPEP3","0.0973","0.596","0.369","3","hsa-miR-6741-5p","hsa-miR-6776-5p","hsa-miR-1470","","","","","",""
"YIPF4","0.0925","0.596","0.528","6","hsa-miR-5572","hsa-miR-940","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6805-3p","","",""
"ZNF320","0.0993","0.596","0.268","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"ZNF442","0.0993","0.596","0.268","2","hsa-miR-17-3p","hsa-miR-6743-3p","","","","","","",""
"ZNF581","0.0939","0.596","0.364","3","hsa-miR-320b","hsa-miR-6877-5p","hsa-miR-940","","","","","",""
"ZNF649","0.0996","0.596","0.104","1","hsa-miR-4313","","","","","","","",""
"ZNF749","0.0924","0.596","0.433","4","hsa-miR-940","hsa-miR-941","hsa-miR-6780a-5p","hsa-miR-1227-3p","","","","",""
"GATAD2A","0.100","0.598","0.446","4","hsa-miR-4472","hsa-miR-5698","hsa-miR-4443","hsa-miR-6730-5p","","","","",""
"LIMS1","0.101","0.598","0.375","3","hsa-miR-5698","hsa-miR-504-3p","hsa-miR-3652","","","","","",""
"NOL10","0.101","0.598","0.375","3","hsa-miR-1227-3p","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"PLEKHM1","0.100","0.598","0.446","4","hsa-miR-342-5p","hsa-miR-4472","hsa-miR-5698","hsa-miR-6819-5p","","","","",""
"QSOX2","0.101","0.598","0.375","3","hsa-miR-17-3p","hsa-miR-4472","hsa-miR-5698","","","","","",""
"RNPS1","0.101","0.598","0.375","3","hsa-miR-342-5p","hsa-miR-4483","hsa-miR-6776-5p","","","","","",""
"ALDH1A3","0.105","0.607","0.277","2","hsa-miR-1185-2-3p","hsa-miR-1224-5p","","","","","","",""
"ALOX5AP","0.105","0.607","0.277","2","hsa-miR-504-3p","hsa-miR-5698","","","","","","",""
"APOBEC3C","0.105","0.607","0.277","2","hsa-miR-185-3p","hsa-miR-4489","","","","","","",""
"EFNA3","0.105","0.607","0.277","2","hsa-miR-4472","hsa-miR-5698","","","","","","",""
"ESYT2","0.104","0.607","0.381","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"FARSA","0.105","0.607","0.277","2","hsa-miR-4472","hsa-miR-185-3p","","","","","","",""
"PATZ1","0.105","0.607","0.277","2","hsa-miR-4443","hsa-miR-504-3p","","","","","","",""
"PIGO","0.103","0.607","0.450","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-1227-3p","","","","",""
"PKNOX1","0.104","0.607","0.381","3","hsa-miR-5698","hsa-miR-504-3p","hsa-miR-940","","","","","",""
"PROSER2","0.104","0.607","0.381","3","hsa-miR-944","hsa-miR-5698","hsa-miR-504-3p","","","","","",""
"SBNO1","0.105","0.607","0.506","5","hsa-miR-646","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-17-3p","","","",""
"SH3BP1","0.105","0.607","0.277","2","hsa-miR-342-5p","hsa-miR-7110-5p","","","","","","",""
"SUV39H1","0.105","0.607","0.277","2","hsa-miR-4472","hsa-miR-5698","","","","","","",""
"THY1","0.105","0.607","0.277","2","hsa-miR-4685-3p","hsa-miR-940","","","","","","",""
"TMEM189-UBE2V1","0.103","0.607","0.502","5","hsa-miR-940","hsa-miR-1224-5p","hsa-miR-4472","hsa-miR-5698","hsa-miR-4456","","","",""
"ZNF500","0.104","0.607","0.381","3","hsa-miR-17-3p","hsa-miR-6780a-5p","hsa-miR-940","","","","","",""
"NFE2L1","0.106","0.610","0.455","4","hsa-miR-342-5p","hsa-miR-4685-3p","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"SLC25A33","0.106","0.610","0.455","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6741-5p","","","","",""
"TMCO1","0.106","0.610","0.455","4","hsa-miR-5100","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-940","","","","",""
