Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9
ATXN7,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-4685-3p,,,,,,,,
WIPI2,0.011111111111111072,0.399,0.704,0.502,1,hsa-miR-646,,,,,,,,
WDR55,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-6780a-5p,,,,,,,,
WDR37,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-1470,,,,,,,,
TRPC4AP,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-320b,,,,,,,,
TMC7,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-1227-3p,,,,,,,,
TMEM11,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-6780a-5p,,,,,,,,
TMEM145,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-940,,,,,,,,
TMEM209,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-6780a-5p,,,,,,,,
TNNI1,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-6780a-5p,,,,,,,,
TPST2,0.011111111111111072,0.399,0.704,0.502,1,hsa-miR-941,,,,,,,,
TRPV1,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-495-5p,,,,,,,,
VWA1,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-4313,,,,,,,,
TTC28,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-6741-5p,,,,,,,,
TUFT1,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-6776-5p,,,,,,,,
UBD,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-4685-3p,,,,,,,,
UBR3,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-646,,,,,,,,
VIM,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-17-3p,,,,,,,,
VPS33A,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-940,,,,,,,,
BCKDK,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-940,,,,,,,,
C1orf52,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-1185-2-3p,,,,,,,,
THAP5,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-6780a-5p,,,,,,,,
CBY1,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-6743-3p,,,,,,,,
PIAS4,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-185-3p,,,,,,,,
PLEKHH1,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-6780a-5p,,,,,,,,
RBM47,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-504-3p,,,,,,,,
SEMA4G,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-4685-3p,,,,,,,,
SNAP23,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-940,,,,,,,,
SNAPIN,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-4483,,,,,,,,
SNX19,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-5698,,,,,,,,
SOX6,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-6780a-5p,,,,,,,,
TIGD5,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-5698,,,,,,,,
TLX1,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-4685-3p,,,,,,,,
UBA1,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-17-3p,,,,,,,,
AIP,0.011111111111111072,0.46,0.713,0.606,1,hsa-miR-5698,,,,,,,,
ARID4B,0.011111111111111072,0.46,0.713,0.606,1,hsa-miR-17-3p,,,,,,,,
CA6,0.011111111111111072,0.46,0.713,0.606,1,hsa-miR-6776-5p,,,,,,,,
