Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9
TMEM54,0.033333333333333326,0.00955,0.301,0.15,3,hsa-miR-4472,hsa-miR-4483,hsa-miR-5698,,,,,,
PKNOX2,0.033333333333333326,0.0216,0.39,0.202,3,hsa-miR-1185-2-3p,hsa-miR-4472,hsa-miR-5698,,,,,,
XPO5,0.033333333333333326,0.00955,0.301,0.15,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
INO80,0.033333333333333326,0.0216,0.39,0.202,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
IYD,0.033333333333333326,0.0567,0.514,0.294,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
UBXN2A,0.033333333333333326,0.621,0.753,1.05,3,hsa-miR-6780a-5p,hsa-miR-940,hsa-miR-6776-5p,,,,,,
HIST3H2BB,0.033333333333333326,0.0216,0.39,0.202,3,hsa-miR-6793-5p,hsa-miR-4483,hsa-miR-4769-5p,,,,,,
WEE1,0.033333333333333326,0.621,0.753,1.05,3,hsa-miR-4769-5p,hsa-miR-5698,hsa-miR-646,,,,,,
GLI2,0.033333333333333326,0.0216,0.39,0.202,3,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-342-5p,,,,,,
SRARP,0.033333333333333326,0.037,0.456,0.248,3,hsa-miR-6730-5p,hsa-miR-4685-3p,hsa-miR-1470,,,,,,
STEAP2,0.033333333333333326,0.037,0.456,0.248,3,hsa-miR-940,hsa-miR-1227-3p,hsa-miR-6776-5p,,,,,,
ACPP,0.033333333333333326,0.0106,0.319,0.156,3,hsa-miR-7110-5p,hsa-miR-320d,hsa-miR-320b,,,,,,
MSRB1,0.033333333333333326,0.0106,0.319,0.156,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
HAVCR1,0.033333333333333326,0.0567,0.514,0.294,3,hsa-miR-944,hsa-miR-940,hsa-miR-1227-3p,,,,,,
GP2,0.033333333333333326,0.0595,0.514,0.3,3,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,,,,,,
GALNT6,0.033333333333333326,0.0595,0.514,0.3,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
TMEM250,0.033333333333333326,0.0106,0.319,0.156,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
CLDN1,0.033333333333333326,0.0216,0.39,0.202,3,hsa-miR-5100,hsa-miR-1224-5p,hsa-miR-1470,,,,,,
PTPN14,0.033333333333333326,0.326,0.7,0.669,3,hsa-miR-4685-3p,hsa-miR-4443,hsa-miR-940,,,,,,
ESS2,0.033333333333333326,0.0567,0.514,0.294,3,hsa-miR-342-5p,hsa-miR-6819-5p,hsa-miR-940,,,,,,
UBE2G2,0.033333333333333326,0.037,0.456,0.248,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
LYN,0.033333333333333326,0.0595,0.514,0.3,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
BLOC1S4,0.033333333333333326,0.0233,0.393,0.208,3,hsa-miR-6877-5p,hsa-miR-31-3p,hsa-miR-940,,,,,,
DGKE,0.033333333333333326,0.0595,0.514,0.3,3,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,,,,,,
CKS1B,0.033333333333333326,0.0233,0.393,0.208,3,hsa-miR-941,hsa-miR-320d,hsa-miR-320b,,,,,,
PNMA8B,0.033333333333333326,0.0623,0.53,0.306,3,hsa-miR-4443,hsa-miR-940,hsa-miR-1470,,,,,,
ORC1,0.033333333333333326,0.0623,0.53,0.306,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6805-3p,,,,,,
NMNAT1,0.033333333333333326,0.0623,0.53,0.306,3,hsa-miR-6741-5p,hsa-miR-6776-5p,hsa-miR-1227-3p,,,,,,
MAPK8IP3,0.033333333333333326,0.0623,0.53,0.306,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
RHBDL2,0.033333333333333326,0.00762,0.282,0.139,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
RPTN,0.033333333333333326,0.00762,0.282,0.139,3,hsa-miR-5572,hsa-miR-6805-3p,hsa-miR-6776-5p,,,,,,
LRCH3,0.033333333333333326,0.0623,0.53,0.306,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
LIN52,0.033333333333333326,0.0623,0.53,0.306,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
UROS,0.033333333333333326,0.00674,0.282,0.133,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
E2F4,0.033333333333333326,0.0184,0.378,0.19,3,hsa-miR-4472,hsa-miR-5698,hsa-miR-7110-5p,,,,,,
MAPK10,0.033333333333333326,0.00855,0.299,0.144,3,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-342-5p,,,,,,
SNRPD3,0.033333333333333326,0.282,0.7,0.618,3,hsa-miR-4456,hsa-miR-6780a-5p,hsa-miR-940,,,,,,
PLD6,0.033333333333333326,0.0233,0.393,0.208,3,hsa-miR-4685-3p,hsa-miR-1470,hsa-miR-6780a-5p,,,,,,
MARCH9,0.033333333333333326,0.037,0.456,0.248,3,hsa-miR-6819-5p,hsa-miR-1202,hsa-miR-342-5p,,,,,,
PIK3R2,0.033333333333333326,0.00855,0.299,0.144,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
C16orf45,0.033333333333333326,0.00955,0.301,0.15,3,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,,,,,,
SRPRA,0.033333333333333326,0.0567,0.514,0.294,3,hsa-miR-646,hsa-miR-5572,hsa-miR-6819-5p,,,,,,
SLC25A12,0.033333333333333326,0.0595,0.514,0.3,3,hsa-miR-320b,hsa-miR-320d,hsa-miR-646,,,,,,
PRMT3,0.033333333333333326,0.00955,0.301,0.15,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
RNF216,0.033333333333333326,0.0567,0.514,0.294,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
RNF170,0.033333333333333326,0.00955,0.301,0.15,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
ZNF562,0.033333333333333326,0.301,0.7,0.641,3,hsa-miR-5698,hsa-miR-1470,hsa-miR-940,,,,,,
PIGG,0.033333333333333326,0.0567,0.514,0.294,3,hsa-miR-4313,hsa-miR-3652,hsa-miR-504-3p,,,,,,
DLGAP3,0.033333333333333326,0.0595,0.514,0.3,3,hsa-miR-4472,hsa-miR-5698,hsa-miR-646,,,,,,
ALOX15,0.033333333333333326,0.0117,0.335,0.162,3,hsa-miR-940,hsa-miR-4483,hsa-miR-6776-5p,,,,,,
TAS2R5,0.033333333333333326,0.0233,0.393,0.208,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
FMN1,0.033333333333333326,0.0169,0.37,0.185,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
DOT1L,0.033333333333333326,0.0439,0.484,0.265,3,hsa-miR-4443,hsa-miR-4472,hsa-miR-7110-5p,,,,,,
LRP3,0.033333333333333326,0.0169,0.37,0.185,3,hsa-miR-4472,hsa-miR-5698,hsa-miR-504-3p,,,,,,
LEAP2,0.033333333333333326,0.0439,0.484,0.265,3,hsa-miR-6776-5p,hsa-miR-6819-5p,hsa-miR-342-5p,,,,,,
FIBCD1,0.033333333333333326,0.0514,0.513,0.283,3,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-940,,,,,,
ZNF460,0.033333333333333326,0.959,0.961,2.07,3,hsa-miR-944,hsa-miR-4769-5p,hsa-miR-6780a-5p,,,,,,
PROSER3,0.033333333333333326,0.02,0.383,0.196,3,hsa-miR-1202,hsa-miR-185-3p,hsa-miR-4489,,,,,,
FBXL13,0.033333333333333326,0.0514,0.513,0.283,3,hsa-miR-320d,hsa-miR-320b,hsa-miR-941,,,,,,
SMOX,0.033333333333333326,0.0169,0.37,0.185,3,hsa-miR-3652,hsa-miR-4472,hsa-miR-940,,,,,,
STIM1,0.033333333333333326,0.0169,0.37,0.185,3,hsa-miR-17-3p,hsa-miR-6776-5p,hsa-miR-185-3p,,,,,,
RAB2B,0.033333333333333326,0.0439,0.484,0.265,3,hsa-miR-6780a-5p,hsa-miR-6730-5p,hsa-miR-6805-3p,,,,,,
SGSM2,0.033333333333333326,0.0439,0.484,0.265,3,hsa-miR-4443,hsa-miR-7110-5p,hsa-miR-940,,,,,,
ZMIZ1,0.033333333333333326,0.0439,0.484,0.265,3,hsa-miR-1185-2-3p,hsa-miR-4769-5p,hsa-miR-4313,,,,,,
MCAM,0.033333333333333326,0.02,0.383,0.196,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
ABHD12,0.033333333333333326,0.0463,0.493,0.271,3,hsa-miR-320b,hsa-miR-320d,hsa-miR-6730-5p,,,,,,
HOOK3,0.033333333333333326,0.625,0.757,1.06,3,hsa-miR-6780a-5p,hsa-miR-17-3p,hsa-miR-940,,,,,,
CNDP1,0.033333333333333326,0.0514,0.513,0.283,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
BTN3A2,0.033333333333333326,0.054,0.513,0.289,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
LRAT,0.033333333333333326,0.0463,0.493,0.271,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
SLC2A3,0.033333333333333326,0.0463,0.493,0.271,3,hsa-miR-4769-5p,hsa-miR-504-3p,hsa-miR-646,,,,,,
STXBP2,0.033333333333333326,0.0463,0.493,0.271,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
BORCS7,0.033333333333333326,0.0184,0.378,0.19,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
ZNF638,0.033333333333333326,0.0463,0.493,0.271,3,hsa-miR-6743-3p,hsa-miR-4685-3p,hsa-miR-940,,,,,,
COX6B1,0.033333333333333326,0.628,0.757,1.06,3,hsa-miR-320b,hsa-miR-6780a-5p,hsa-miR-6776-5p,,,,,,
C9orf64,0.033333333333333326,0.0439,0.484,0.265,3,hsa-miR-31-3p,hsa-miR-516a-5p,hsa-miR-1227-3p,,,,,,
C11orf58,0.033333333333333326,0.0439,0.484,0.265,3,hsa-miR-6730-5p,hsa-miR-6780a-5p,hsa-miR-4483,,,,,,
CEP89,0.033333333333333326,0.0567,0.514,0.294,3,hsa-miR-3652,hsa-miR-5698,hsa-miR-504-3p,,,,,,
SIK2,0.033333333333333326,0.0415,0.471,0.26,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
COL13A1,0.033333333333333326,0.0117,0.335,0.162,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-940,,,,,,
NRGN,0.033333333333333326,0.0392,0.465,0.254,3,hsa-miR-5698,hsa-miR-4769-5p,hsa-miR-940,,,,,,
ABCC6,0.033333333333333326,0.0595,0.514,0.3,3,hsa-miR-4472,hsa-miR-5698,hsa-miR-4456,,,,,,
NUDT16,0.033333333333333326,0.0392,0.465,0.254,3,hsa-miR-4456,hsa-miR-5100,hsa-miR-4685-3p,,,,,,
PTPN9,0.033333333333333326,0.0392,0.465,0.254,3,hsa-miR-4483,hsa-miR-6741-5p,hsa-miR-940,,,,,,
ANG,0.033333333333333326,0.0415,0.471,0.26,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
CCDC142,0.033333333333333326,0.0129,0.35,0.167,3,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,,,,,,
LUC7L,0.033333333333333326,0.0129,0.35,0.167,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
DAB2IP,0.033333333333333326,0.0348,0.443,0.242,3,hsa-miR-4483,hsa-miR-6805-3p,hsa-miR-7110-5p,,,,,,
HSPA14,0.033333333333333326,0.0142,0.367,0.173,3,hsa-miR-4472,hsa-miR-185-3p,hsa-miR-4489,,,,,,
ZNF655,0.033333333333333326,0.0142,0.367,0.173,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
SLC4A2,0.033333333333333326,0.054,0.513,0.289,3,hsa-miR-4472,hsa-miR-5698,hsa-miR-944,,,,,,
TXNRD3NB,0.033333333333333326,0.02,0.383,0.196,3,hsa-miR-4472,hsa-miR-185-3p,hsa-miR-4489,,,,,,
PTCD3,0.033333333333333326,0.054,0.513,0.289,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
TSHZ2,0.033333333333333326,0.02,0.383,0.196,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
RACGAP1,0.033333333333333326,0.306,0.7,0.646,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
NDUFB11,0.033333333333333326,0.0514,0.513,0.283,3,hsa-miR-6805-3p,hsa-miR-7110-5p,hsa-miR-940,,,,,,
NAB2,0.033333333333333326,0.054,0.513,0.289,3,hsa-miR-4472,hsa-miR-4769-5p,hsa-miR-7110-5p,,,,,,
MAN2B2,0.033333333333333326,0.0514,0.513,0.283,3,hsa-miR-185-3p,hsa-miR-3652,hsa-miR-4489,,,,,,
MTAP,0.033333333333333326,0.0415,0.471,0.26,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
SCD,0.033333333333333326,0.613,0.752,1.04,3,hsa-miR-944,hsa-miR-6730-5p,hsa-miR-646,,,,,,
DNPEP,0.033333333333333326,0.0169,0.37,0.185,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
ARPP19,0.033333333333333326,0.625,0.757,1.06,3,hsa-miR-940,hsa-miR-6730-5p,hsa-miR-5698,,,,,,
LRRC47,0.033333333333333326,0.0838,0.58,0.346,3,hsa-miR-4685-3p,hsa-miR-1470,hsa-miR-6780a-5p,,,,,,
KCNA7,0.033333333333333326,0.0623,0.53,0.306,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
SLC22A6,0.033333333333333326,0.0184,0.378,0.19,3,hsa-miR-6793-5p,hsa-miR-4685-3p,hsa-miR-1470,,,,,,
SH3GL1,0.033333333333333326,0.0268,0.411,0.219,3,hsa-miR-320b,hsa-miR-1227-3p,hsa-miR-504-3p,,,,,,
SYNM,0.033333333333333326,0.0742,0.565,0.329,3,hsa-miR-6741-5p,hsa-miR-320d,hsa-miR-320b,,,,,,
MORN4,0.033333333333333326,0.0742,0.565,0.329,3,hsa-miR-940,hsa-miR-6780a-5p,hsa-miR-495-5p,,,,,,
HEATR5A,0.033333333333333326,0.0742,0.565,0.329,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
MYCBP,0.033333333333333326,0.0348,0.443,0.242,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
GLRX,0.033333333333333326,0.00762,0.282,0.139,3,hsa-miR-6819-5p,hsa-miR-4769-5p,hsa-miR-342-5p,,,,,,
AKT1S1,0.033333333333333326,0.0742,0.565,0.329,3,hsa-miR-3652,hsa-miR-4440,hsa-miR-6730-5p,,,,,,
HIST1H1B,0.033333333333333326,0.0033,0.231,0.104,3,hsa-miR-5572,hsa-miR-185-3p,hsa-miR-4489,,,,,,
KRI1,0.033333333333333326,0.000957,0.183,0.0693,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
SLC16A5,0.033333333333333326,0.0268,0.411,0.219,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
ARSA,0.033333333333333326,0.0307,0.437,0.231,3,hsa-miR-940,hsa-miR-3652,hsa-miR-504-3p,,,,,,
VEGFA,0.033333333333333326,0.374,0.7,0.727,3,hsa-miR-646,hsa-miR-6793-5p,hsa-miR-4483,,,,,,
MFSD4B,0.033333333333333326,0.0268,0.411,0.219,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
STK40,0.033333333333333326,0.0712,0.549,0.323,3,hsa-miR-940,hsa-miR-4313,hsa-miR-1470,,,,,,
SIT1,0.033333333333333326,0.0712,0.549,0.323,3,hsa-miR-1470,hsa-miR-1202,hsa-miR-6780a-5p,,,,,,
SESTD1,0.033333333333333326,0.0712,0.549,0.323,3,hsa-miR-4483,hsa-miR-7110-5p,hsa-miR-646,,,,,,
KRT32,0.033333333333333326,0.00278,0.231,0.0981,3,hsa-miR-4685-3p,hsa-miR-1470,hsa-miR-944,,,,,,
FBXO28,0.033333333333333326,0.0712,0.549,0.323,3,hsa-miR-504-3p,hsa-miR-320b,hsa-miR-320d,,,,,,
NFX1,0.033333333333333326,0.00387,0.231,0.11,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
RPL7L1,0.033333333333333326,0.605,0.751,1.03,3,hsa-miR-31-3p,hsa-miR-6780a-5p,hsa-miR-1227-3p,,,,,,
STMN3,0.033333333333333326,0.0348,0.443,0.242,3,hsa-miR-4472,hsa-miR-7110-5p,hsa-miR-5698,,,,,,
PDP2,0.033333333333333326,0.306,0.7,0.646,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-940,,,,,,
ADD1,0.033333333333333326,0.0838,0.58,0.346,3,hsa-miR-320b,hsa-miR-320d,hsa-miR-6743-3p,,,,,,
PIGX,0.033333333333333326,0.0045,0.231,0.115,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
FFAR1,0.033333333333333326,0.00155,0.2,0.0808,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
TMEM56,0.033333333333333326,0.00155,0.2,0.0808,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
OCIAD2,0.033333333333333326,0.374,0.7,0.727,3,hsa-miR-1227-3p,hsa-miR-6776-5p,hsa-miR-6780a-5p,,,,,,
SIGLEC6,0.033333333333333326,0.00191,0.214,0.0866,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
CACUL1,0.033333333333333326,0.0805,0.58,0.341,3,hsa-miR-646,hsa-miR-6819-5p,hsa-miR-342-5p,,,,,,
HIST2H3A,0.033333333333333326,0.0287,0.425,0.225,3,hsa-miR-320b,hsa-miR-6793-5p,hsa-miR-4483,,,,,,
ZC3H15,0.033333333333333326,0.00191,0.214,0.0866,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
BNC2,0.033333333333333326,0.0838,0.58,0.346,3,hsa-miR-17-3p,hsa-miR-516a-5p,hsa-miR-4685-3p,,,,,,
PGBD5,0.033333333333333326,0.00232,0.227,0.0923,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
ACTR5,0.033333333333333326,0.00387,0.231,0.11,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
WNK1,0.033333333333333326,0.297,0.7,0.635,3,hsa-miR-1185-2-3p,hsa-miR-6076,hsa-miR-944,,,,,,
FBXO27,0.033333333333333326,0.00278,0.231,0.0981,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
ARHGEF5,0.033333333333333326,0.00387,0.231,0.11,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
C4orf19,0.033333333333333326,0.0045,0.231,0.115,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
ZNF226,0.033333333333333326,0.0287,0.425,0.225,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
CHDH,0.033333333333333326,0.0045,0.231,0.115,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
TIGD6,0.033333333333333326,0.000957,0.183,0.0693,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
ARL2,0.033333333333333326,0.0287,0.425,0.225,3,hsa-miR-342-5p,hsa-miR-5698,hsa-miR-6819-5p,,,,,,
POLD4,0.033333333333333326,0.000957,0.183,0.0693,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
ZNF321P,0.033333333333333326,0.0268,0.411,0.219,3,hsa-miR-6776-5p,hsa-miR-6819-5p,hsa-miR-342-5p,,,,,,
PEX26,0.033333333333333326,0.605,0.751,1.03,3,hsa-miR-940,hsa-miR-185-3p,hsa-miR-5698,,,,,,
PIEZO1,0.033333333333333326,0.00278,0.231,0.0981,3,hsa-miR-940,hsa-miR-4472,hsa-miR-5698,,,,,,
ZBTB44,0.033333333333333326,0.0681,0.534,0.317,3,hsa-miR-646,hsa-miR-4685-3p,hsa-miR-1290,,,,,,
PPP1R3G,0.033333333333333326,0.0287,0.425,0.225,3,hsa-miR-4685-3p,hsa-miR-1470,hsa-miR-6780a-5p,,,,,,
ELK1,0.033333333333333326,0.0652,0.534,0.312,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
ADCY2,0.033333333333333326,0.00594,0.258,0.127,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
CISD2,0.033333333333333326,0.037,0.456,0.248,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
UBXN2B,0.033333333333333326,0.292,0.7,0.629,3,hsa-miR-5100,hsa-miR-6780a-5p,hsa-miR-940,,,,,,
TMEM40,0.033333333333333326,0.000535,0.157,0.0577,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
HIST2H2AB,0.033333333333333326,0.00594,0.258,0.127,3,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-342-5p,,,,,,
PEX2,0.033333333333333326,0.0681,0.534,0.317,3,hsa-miR-6741-5p,hsa-miR-3652,hsa-miR-6776-5p,,,,,,
POM121L7P,0.033333333333333326,0.0045,0.231,0.115,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
TESPA1,0.033333333333333326,0.025,0.406,0.214,3,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-940,,,,,,
TMEM63C,0.033333333333333326,0.0327,0.443,0.237,3,hsa-miR-6780a-5p,hsa-miR-185-3p,hsa-miR-6877-5p,,,,,,
BMS1,0.033333333333333326,0.00762,0.282,0.139,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
ARMCX6,0.033333333333333326,0.00674,0.282,0.133,3,hsa-miR-6741-5p,hsa-miR-4754,hsa-miR-4483,,,,,,
SPECC1,0.033333333333333326,0.00594,0.258,0.127,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
FANCC,0.033333333333333326,0.0327,0.443,0.237,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
YKT6,0.033333333333333326,0.0327,0.443,0.237,3,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-5100,,,,,,
PLEKHA1,0.033333333333333326,0.33,0.7,0.675,3,hsa-miR-646,hsa-miR-6780a-5p,hsa-miR-4483,,,,,,
RPS6KA1,0.033333333333333326,0.00594,0.258,0.127,3,hsa-miR-4769-5p,hsa-miR-320d,hsa-miR-320b,,,,,,
SLC38A7,0.033333333333333326,0.311,0.7,0.652,3,hsa-miR-516a-5p,hsa-miR-6741-5p,hsa-miR-6780a-5p,,,,,,
VWC2,0.033333333333333326,0.000727,0.171,0.0635,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,,
ANKRD13B,0.033333333333333326,0.0348,0.443,0.242,3,hsa-miR-4472,hsa-miR-5698,hsa-miR-185-3p,,,,,,
MFSD13A,0.033333333333333326,0.000535,0.157,0.0577,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
SUPT7L,0.033333333333333326,0.0652,0.534,0.312,3,hsa-miR-31-3p,hsa-miR-6730-5p,hsa-miR-6780a-5p,,,,,,
TMEM50A,0.033333333333333326,0.0681,0.534,0.317,3,hsa-miR-4472,hsa-miR-1224-5p,hsa-miR-4769-5p,,,,,,
ITPA,0.033333333333333326,0.0268,0.411,0.219,3,hsa-miR-342-5p,hsa-miR-6741-5p,hsa-miR-7110-5p,,,,,,
POTEM,0.033333333333333326,0.364,0.7,0.716,3,hsa-miR-1227-3p,hsa-miR-5698,hsa-miR-6780a-5p,,,,,,
TECPR1,0.033333333333333326,0.0652,0.534,0.312,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
AGO3,0.033333333333333326,0.621,0.753,1.05,3,hsa-miR-940,hsa-miR-3652,hsa-miR-504-3p,,,,,,
POTEG,0.033333333333333326,0.369,0.7,0.721,3,hsa-miR-1227-3p,hsa-miR-5698,hsa-miR-6780a-5p,,,,,,
CYP2B6,0.033333333333333326,0.037,0.456,0.248,3,hsa-miR-7110-5p,hsa-miR-4685-3p,hsa-miR-1470,,,,,,
TDRD1,0.033333333333333326,0.0033,0.231,0.104,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
SPATA2,0.033333333333333326,0.379,0.702,0.733,3,hsa-miR-1227-3p,hsa-miR-4685-3p,hsa-miR-6780a-5p,,,,,,
TOMM70,0.033333333333333326,0.0033,0.231,0.104,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
ZNF841,0.033333333333333326,0.0033,0.231,0.104,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
SEC23B,0.033333333333333326,0.0652,0.534,0.312,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
HM13,0.033333333333333326,0.0838,0.58,0.346,3,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-1290,,,,,,
FLG2,0.033333333333333326,0.00674,0.282,0.133,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
RPP25,0.033333333333333326,0.0681,0.534,0.317,3,hsa-miR-4472,hsa-miR-5698,hsa-miR-1290,,,,,,
ARIH2OS,0.033333333333333326,0.00519,0.251,0.121,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
C3orf62,0.033333333333333326,0.037,0.456,0.248,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
FAM117B,0.022222222222222254,0.253,0.696,0.485,2,hsa-miR-320d,hsa-miR-320b,,,,,,,
FOXP4,0.022222222222222254,0.259,0.696,0.493,2,hsa-miR-4313,hsa-miR-6780a-5p,,,,,,,
RBPJ,0.022222222222222254,0.412,0.704,0.701,2,hsa-miR-320b,hsa-miR-320d,,,,,,,
RNF115,0.022222222222222254,0.614,0.752,1.02,2,hsa-miR-940,hsa-miR-1227-3p,,,,,,,
RORA,0.022222222222222254,0.61,0.752,1.01,2,hsa-miR-1185-2-3p,hsa-miR-1290,,,,,,,
FLYWCH2,0.022222222222222254,0.253,0.696,0.485,2,hsa-miR-3652,hsa-miR-504-3p,,,,,,,
ICOSLG,0.022222222222222254,0.619,0.753,1.03,2,hsa-miR-6780a-5p,hsa-miR-6805-3p,,,,,,,
SLC38A9,0.022222222222222254,0.369,0.7,0.641,2,hsa-miR-3652,hsa-miR-504-3p,,,,,,,
FIG4,0.022222222222222254,0.259,0.696,0.493,2,hsa-miR-3652,hsa-miR-504-3p,,,,,,,
RGP1,0.022222222222222254,0.412,0.704,0.701,2,hsa-miR-4472,hsa-miR-5698,,,,,,,
RFC2,0.022222222222222254,0.437,0.704,0.736,2,hsa-miR-3652,hsa-miR-504-3p,,,,,,,
